series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.789272,1.57854,,1.57854,1.68927,0,0,0,0,0,0,0.789272,1.57854,,1.57854,1.68927,0,0,0,0,0,0
store_0_prod_117,smooth,7,1.32443,2.64887,,2.64887,2.9284,0,0,0,0,0,0,1.32443,2.64887,,2.64887,2.9284,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.392428,0.784856,,0.784856,0.892669,0,0,0,0,1,0,0.392428,0.784856,,0.784856,0.892669,0,0,0,0,1,0
store_0_prod_122,smooth,7,0.680887,1.36177,,1.36177,1.47205,0,0,0,0,0,0,0.680887,1.36177,,1.36177,1.47205,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.342181,0.684362,,0.687309,0.689048,0,0,0,0,0,1,0.476191,0.952382,,0.687309,0.689048,0,0,0,0,6,1
store_0_prod_129,intermittent,7,0.167478,0.334956,,0.781563,0.840399,0.666667,1,0.8,4,2,0,0.167478,0.334956,,0.781563,0.840399,0.666667,1,0.8,4,2,0
store_0_prod_136,intermittent,7,0.318516,0.637033,,0.771979,0.89238,0,0,0,0,0,3,0.356047,0.712094,,0.771979,0.89238,0.4,0.666667,0.5,2,3,1
store_0_prod_166,smooth,7,0.560109,1.12022,,1.12022,1.35097,0,0,0,0,0,0,0.560109,1.12022,,1.12022,1.35097,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.37201,0.74402,,1.10693,1.19117,0,0,0,0,1,3,0.357143,0.714286,,1.10693,1.19117,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.336751,0.673502,,0.604798,0.700827,0,0,0,0,0,1,0.336751,0.673502,,0.604798,0.700827,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.251025,0.50205,,0.328907,0.352964,0,0,0,0,0,3,0.251025,0.50205,,0.328907,0.352964,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.31329,0.626579,,0.671985,0.691513,0,0,0,0,1,1,0.392441,0.784881,,0.671985,0.691513,0.166667,1,0.285714,1,5,0
store_0_prod_194,intermittent,7,0.242946,0.485892,,0.447515,0.454321,0,0,0,0,0,2,0.274894,0.549787,,0.447515,0.454321,0.333333,0.5,0.4,1,2,1
store_0_prod_201,intermittent,7,0.303915,0.60783,,0.517294,0.721543,0,0,0,0,0,3,0.303915,0.60783,,0.517294,0.721543,0,0,0,0,0,3
store_0_prod_207,smooth,7,0.352397,0.704794,,0.704794,0.873584,0,0,0,0,0,0,0.352397,0.704794,,0.704794,0.873584,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.128717,0.257433,,0.257433,0.302766,0,0,0,0,0,0,0.128717,0.257433,,0.257433,0.302766,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.124594,0.249188,,0.0943663,0.0943663,0,0,0,0,0,6,0.00674045,0.0134809,,0.0943663,0.0943663,1,1,1,6,0,0
store_0_prod_215,smooth,7,0.710875,1.42175,,1.42175,1.84499,0,0,0,0,0,0,0.710875,1.42175,,1.42175,1.84499,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.213116,0.426233,,0.426233,0.453508,0,0,0,0,0,0,0.213116,0.426233,,0.426233,0.453508,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.49662,0.99324,,0.99324,1.10471,0,0,0,0,1,0,0.603533,1.20707,,0.99324,1.10471,0,0,0,0,6,0
store_0_prod_253,intermittent,7,0.156547,0.313094,,1,1,0.75,0.5,0.6,3,1,3,0.13871,0.27742,,1,1,0.833333,0.833333,0.833333,5,1,1
store_0_prod_259,intermittent,7,0.245119,0.490239,,,,0,0,0,0,0,7,0.173259,0.346518,,,,1,0.428571,0.6,3,0,4
store_0_prod_26,intermittent,7,0.191997,0.383993,,0.173586,0.189395,0,0,0,0,0,2,0.191997,0.383993,,0.173586,0.189395,0,0,0,0,0,2
store_0_prod_291,smooth,7,0.171031,0.342062,,0.0679785,0.0826412,0,0,0,0,0,3,0.136448,0.272896,,0.0679785,0.0826412,1,0.333333,0.5,1,0,2
store_0_prod_296,smooth,7,0.277328,0.554655,,0.554655,0.65956,0,0,0,0,0,0,0.277328,0.554655,,0.554655,0.65956,0,0,0,0,0,0
store_0_prod_300,smooth,7,0.93633,1.87266,,1.87266,2.44396,0,0,0,0,1,0,0.93633,1.87266,,1.87266,2.44396,0,0,0,0,1,0
store_0_prod_310,smooth,7,0.353647,0.707293,,0.707293,0.786779,0,0,0,0,0,0,0.353647,0.707293,,0.707293,0.786779,0,0,0,0,0,0
store_0_prod_345,intermittent,7,0.124156,0.248312,,0.45665,0.45665,1,0.333333,0.5,2,0,4,0.0706773,0.141355,,0.45665,0.45665,1,0.833333,0.909091,5,0,1
store_0_prod_370,intermittent,7,0.398179,0.796359,,0.796359,0.905218,0,0,0,0,0,0,0.49185,0.9837,,0.796359,0.905218,0,0,0,0,5,0
store_0_prod_379,intermittent,7,0.244334,0.488668,,0.555741,0.583147,0,0,0,0,0,4,0.164934,0.329868,,0.555741,0.583147,0.666667,1,0.8,4,2,0
store_0_prod_38,intermittent,7,0.30483,0.609661,,2.82572,2.82572,0,0,0,0,0,6,0.253178,0.506357,,2.82572,2.82572,0.833333,0.833333,0.833333,5,1,1
store_0_prod_4,erratic,7,1.26003,2.52007,,2.25875,2.26132,0,0,0,0,0,4,1.26003,2.52007,,2.25875,2.26132,0,0,0,0,0,4
store_0_prod_41,intermittent,7,0.280039,0.560078,,0.644094,0.723215,0,0,0,0,1,2,0.273158,0.546316,,0.644094,0.723215,0.5,0.5,0.5,1,1,1
store_0_prod_411,intermittent,7,0.249605,0.499211,,0.102534,0.102579,0,0,0,0,0,4,0.215984,0.431968,,0.102534,0.102579,1,0.25,0.4,1,0,3
store_0_prod_419,intermittent,7,0.286075,0.57215,,0.80101,0.841678,0.5,1,0.666667,2,2,0,0.307711,0.615422,,0.80101,0.841678,0.333333,1,0.5,2,4,0
store_0_prod_439,intermittent,7,0.227896,0.455792,,1.06351,1.29567,0.666667,1,0.8,4,2,0,0.227896,0.455792,,1.06351,1.29567,0.666667,1,0.8,4,2,0
store_0_prod_486,smooth,7,0.211597,0.423195,,0.423195,0.467704,0,0,0,0,0,0,0.211597,0.423195,,0.423195,0.467704,0,0,0,0,0,0
store_0_prod_489,intermittent,7,0.296278,0.592555,,0.465438,0.551767,0,0,0,0,1,2,0.296278,0.592555,,0.465438,0.551767,0,0,0,0,1,2
store_0_prod_496,intermittent,7,0.247712,0.495424,,0.490817,0.500572,0,0,0,0,0,1,0.340784,0.681568,,0.490817,0.500572,0,0,0,0,3,1
store_0_prod_500,intermittent,7,0.27488,0.54976,,0.938119,0.942192,0.333333,0.25,0.285714,1,2,3,0.271273,0.542546,,0.938119,0.942192,0.5,0.75,0.6,3,3,1
store_0_prod_548,intermittent,7,0.248364,0.496728,,0.20678,0.24436,0,0,0,0,0,4,0.226485,0.452969,,0.20678,0.24436,1,0.25,0.4,1,0,3
store_0_prod_554,intermittent,7,0.191833,0.383666,,0.268746,0.391856,0,0,0,0,0,1,0.191833,0.383666,,0.268746,0.391856,0,0,0,0,0,1
store_0_prod_567,smooth,7,0.349539,0.699078,,0.51604,0.559296,0,0,0,0,0,1,0.349539,0.699078,,0.51604,0.559296,0,0,0,0,0,1
store_0_prod_578,intermittent,7,0.197628,0.395256,,0.316118,0.427869,0,0,0,0,0,1,0.242152,0.484303,,0.316118,0.427869,0,0,0,0,2,1
store_0_prod_580,smooth,7,0.211777,0.423554,,0.423554,0.525998,0,0,0,0,0,0,0.211777,0.423554,,0.423554,0.525998,0,0,0,0,0,0
store_0_prod_596,smooth,7,0.386603,0.773206,,0.509402,0.640642,0,0,0,0,0,1,0.386603,0.773206,,0.509402,0.640642,0,0,0,0,0,1
store_0_prod_6,intermittent,7,0.261505,0.523011,,0.523011,0.687358,0,0,0,0,0,0,0.261505,0.523011,,0.523011,0.687358,0,0,0,0,0,0
store_0_prod_600,intermittent,7,0.438208,0.876416,,0.876416,1.00218,0,0,0,0,0,0,0.438208,0.876416,,0.876416,1.00218,0,0,0,0,0,0
store_0_prod_631,smooth,7,0.243907,0.487814,,0.627412,0.630043,0,0,0,0,0,3,0.285714,0.571429,,0.627412,0.630043,0.428571,1,0.6,3,4,0
store_0_prod_633,intermittent,7,0.176201,0.352401,,0.983742,0.983877,0.666667,0.4,0.5,2,1,3,0.142857,0.285714,,0.983742,0.983877,0.714286,1,0.833333,5,2,0
store_0_prod_635,intermittent,7,0.235611,0.471222,,0.862122,0.865901,1,0.25,0.4,1,0,3,0.214286,0.428571,,0.862122,0.865901,0.571429,1,0.727273,4,3,0
store_0_prod_638,intermittent,7,0.236377,0.472755,,0.602958,0.605853,0,0,0,0,0,4,0.254796,0.509592,,0.602958,0.605853,0.5,0.75,0.6,3,3,1
store_0_prod_644,intermittent,7,0.071312,0.142624,,0.142624,0.202004,0,0,0,0,0,0,0.071312,0.142624,,0.142624,0.202004,0,0,0,0,0,0
store_0_prod_672,intermittent,7,0.394867,0.789735,,1.35796,1.66569,0.5,0.666667,0.571429,2,2,1,0.428571,0.857143,,1.35796,1.66569,0.428571,1,0.6,3,4,0
store_0_prod_686,intermittent,7,0.025359,0.0507181,,,,1,0.428571,0.6,3,0,4,0,0,,,,1,1,1,7,0,0
store_0_prod_691,smooth,7,0.981477,1.96295,,1.96295,2.1116,0,0,0,0,0,0,0.981477,1.96295,,1.96295,2.1116,0,0,0,0,0,0
store_0_prod_699,intermittent,7,0.29978,0.59956,,0.668106,0.834024,0,0,0,0,0,2,0.286194,0.572389,,0.668106,0.834024,0.5,1,0.666667,2,2,0
store_0_prod_70,smooth,7,0.838581,1.67716,,1.67716,1.8196,0,0,0,0,0,0,0.838581,1.67716,,1.67716,1.8196,0,0,0,0,0,0
store_0_prod_712,smooth,7,0.43056,0.86112,,0.86112,1.00585,0,0,0,0,0,0,0.43056,0.86112,,0.86112,1.00585,0,0,0,0,0,0
store_0_prod_719,intermittent,7,0.218121,0.436243,,0.655669,0.655669,0,0,0,0,0,6,0.0714286,0.142857,,0.655669,0.655669,0.857143,1,0.923077,6,1,0
store_0_prod_72,intermittent,7,0.162368,0.324736,,0.619048,0.670739,0,0,0,0,0,5,0.0972029,0.194406,,0.619048,0.670739,0.833333,1,0.909091,5,1,0
store_0_prod_740,smooth,7,0.293268,0.586537,,0.167602,0.19568,0,0,0,0,0,5,0.293268,0.586537,,0.167602,0.19568,0,0,0,0,0,5
store_0_prod_76,smooth,7,0.127873,0.255746,,0.173993,0.207787,0,0,0,0,0,1,0.127873,0.255746,,0.173993,0.207787,0,0,0,0,0,1
store_0_prod_764,intermittent,7,0.207519,0.415038,,0.575632,0.582973,1,0.333333,0.5,1,0,2,0.24559,0.49118,,0.575632,0.582973,0.5,1,0.666667,3,3,0
store_0_prod_769,smooth,7,0.200548,0.401097,,0.401097,0.448981,0,0,0,0,0,0,0.200548,0.401097,,0.401097,0.448981,0,0,0,0,0,0
store_0_prod_775,smooth,7,0.186752,0.373504,,0.373504,0.575703,0,0,0,0,0,0,0.186752,0.373504,,0.373504,0.575703,0,0,0,0,0,0
store_0_prod_783,intermittent,7,0.250049,0.500097,,0.500097,0.54031,0,0,0,0,0,0,0.269266,0.538533,,0.500097,0.54031,0,0,0,0,1,0
store_0_prod_796,smooth,7,0.312811,0.625623,,0.625623,0.669742,0,0,0,0,0,0,0.312811,0.625623,,0.625623,0.669742,0,0,0,0,0,0
store_0_prod_806,intermittent,7,0.29238,0.58476,,0.904706,0.905735,0,0,0,0,0,4,0.273792,0.547585,,0.904706,0.905735,0.5,0.75,0.6,3,3,1
store_0_prod_810,intermittent,7,0.312303,0.624606,,0.539349,0.574862,0,0,0,0,0,1,0.312303,0.624606,,0.539349,0.574862,0,0,0,0,0,1
