series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.393486,0.786971,,0.786971,0.907948,0,0,0,0,0,0,0.393486,0.786971,,0.786971,0.907948,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.498025,0.99605,,0.99605,1.24623,0,0,0,0,0,0,0.498025,0.99605,,0.99605,1.24623,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.250019,0.500037,,0.500037,0.500037,0,0,0,0,0,0,0.250019,0.500037,,0.500037,0.500037,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.786133,1.57227,,1.57227,1.81338,0,0,0,0,0,0,0.786133,1.57227,,1.57227,1.81338,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.0721879,0.144376,,0.00151861,0.00151861,0,0,0,0,0,1,0.0721879,0.144376,,0.00151861,0.00151861,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.214286,0.428571,,1,1,0,0,0,0,0,4,0.214286,0.428571,,1,1,0.571429,1,0.727273,4,3,0
store_0_prod_136,intermittent,7,0.357143,0.714286,,1.25,1.32288,0,0,0,0,0,3,0.357143,0.714286,,1.25,1.32288,0.428571,1,0.6,3,4,0
store_0_prod_166,smooth,7,0.321313,0.642625,,0.642625,0.731451,0,0,0,0,0,0,0.321313,0.642625,,0.642625,0.731451,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.357143,0.714286,,1.25,1.32288,0,0,0,0,0,3,0.357143,0.714286,,1.25,1.32288,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.286762,0.573523,,0.502932,0.709183,0,0,0,0,0,1,0.286762,0.573523,,0.502932,0.709183,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.286537,0.573074,,0.251152,0.498852,0,0,0,0,0,3,0.286537,0.573074,,0.251152,0.498852,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.249869,0.499738,,0.499633,0.499633,0,0,0,0,0,1,0.249869,0.499738,,0.499633,0.499633,0,0,0,0,0,1
store_0_prod_194,intermittent,7,0.357143,0.714286,,1,1,0,0,0,0,0,2,0.357143,0.714286,,1,1,0.285714,1,0.444444,2,5,0
store_0_prod_201,intermittent,7,0.357143,0.714286,,1.25,1.32288,0,0,0,0,0,3,0.357143,0.714286,,1.25,1.32288,0.428571,1,0.6,3,4,0
store_0_prod_207,smooth,7,0.428078,0.856155,,0.856155,1.0672,0,0,0,0,0,0,0.428078,0.856155,,0.856155,1.0672,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.250209,0.500419,,0.500419,0.500419,0,0,0,0,0,0,0.5,1,,0.500419,0.500419,0,0,0,0,7,0
store_0_prod_214,intermittent,7,0.0714286,0.142857,,1,1,0,0,0,0,0,6,0.0714286,0.142857,,1,1,0.857143,1,0.923077,6,1,0
store_0_prod_215,smooth,7,0.575618,1.15124,,1.15124,1.69629,0,0,0,0,0,0,0.575618,1.15124,,1.15124,1.69629,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.248766,0.497531,,0.497531,0.497537,0,0,0,0,0,0,0.248766,0.497531,,0.497531,0.497537,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.642857,1.28571,,1.28571,1.36277,0,0,0,0,0,0,0.642857,1.28571,,1.28571,1.36277,0,0,0,0,7,0
store_0_prod_253,intermittent,7,0.24985,0.499701,,0.500419,0.500419,0,0,0,0,0,6,0.0714286,0.142857,,0.500419,0.500419,0.857143,1,0.923077,6,1,0
store_0_prod_259,intermittent,7,2.49461e-09,4.98923e-09,,,,0,0,0,0,0,7,0,0,,,,1,1,1,7,0,0
store_0_prod_26,intermittent,7,0.143616,0.287233,,0.00151861,0.00151861,0,0,0,0,0,2,0.143616,0.287233,,0.00151861,0.00151861,0,0,0,0,0,2
