series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.416708,0.833416,,0.833416,0.972174,0,0,0,0,0,0,0.416708,0.833416,,0.833416,0.972174,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.536129,1.07226,,1.07226,1.31193,0,0,0,0,0,0,0.536129,1.07226,,1.07226,1.31193,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.142504,0.285007,,0.285007,0.354404,0,0,0,0,0,0,0.142504,0.285007,,0.285007,0.354404,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.678569,1.35714,,1.35714,1.55976,0,0,0,0,0,0,0.678569,1.35714,,1.35714,1.55976,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.205023,0.410047,,0.374065,0.374065,0,0,0,0,0,1,0.205023,0.410047,,0.374065,0.374065,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.263753,0.527505,,0.307464,0.307464,0,0,0,0,0,4,0.263753,0.527505,,0.307464,0.307464,0,0,0,0,0,4
store_0_prod_136,intermittent,7,0.341052,0.682104,,1.02473,1.11246,0,0,0,0,0,3,0.357143,0.714286,,1.02473,1.11246,0.428571,1,0.6,3,4,0
store_0_prod_166,smooth,7,0.366117,0.732234,,0.732234,0.866461,0,0,0,0,0,0,0.366117,0.732234,,0.732234,0.866461,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.341002,0.682004,,1.02403,1.11182,0,0,0,0,0,3,0.357143,0.714286,,1.02403,1.11182,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.286805,0.573609,,0.5,0.696396,0,0,0,0,0,1,0.286805,0.573609,,0.5,0.696396,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.325417,0.650834,,0.305584,0.454725,0,0,0,0,0,3,0.325417,0.650834,,0.305584,0.454725,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.269,0.537999,,0.553199,0.553199,0,0,0,0,0,1,0.428571,0.857143,,0.553199,0.553199,0.142857,1,0.25,1,6,0
store_0_prod_194,intermittent,7,0.274828,0.549656,,0.615865,0.615865,0,0,0,0,0,2,0.357143,0.714286,,0.615865,0.615865,0.285714,1,0.444444,2,5,0
store_0_prod_201,intermittent,7,0.313849,0.627697,,0.643881,0.77594,0,0,0,0,0,3,0.313849,0.627697,,0.643881,0.77594,0,0,0,0,0,3
store_0_prod_207,smooth,7,0.390404,0.780807,,0.780807,0.932331,0,0,0,0,0,0,0.390404,0.780807,,0.780807,0.932331,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.10829,0.216581,,0.216581,0.216581,0,0,0,0,0,0,0.10829,0.216581,,0.216581,0.216581,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.226364,0.452727,,0.566182,0.566182,0,0,0,0,0,6,0.0714286,0.142857,,0.566182,0.566182,0.857143,1,0.923077,6,1,0
store_0_prod_215,smooth,7,0.542697,1.08539,,1.08539,1.52623,0,0,0,0,0,0,0.542697,1.08539,,1.08539,1.52623,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.225345,0.45069,,0.45069,0.453272,0,0,0,0,0,0,0.225345,0.45069,,0.45069,0.453272,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.470656,0.941312,,0.941312,1.0441,0,0,0,0,0,0,0.642857,1.28571,,0.941312,1.0441,0,0,0,0,7,0
store_0_prod_253,intermittent,7,0.222545,0.445089,,0.576875,0.576875,0,0,0,0,0,6,0.0714286,0.142857,,0.576875,0.576875,0.857143,1,0.923077,6,1,0
store_0_prod_259,intermittent,7,0.202372,0.404743,,,,0,0,0,0,0,7,0,0,,,,1,1,1,7,0,0
store_0_prod_26,intermittent,7,0.174141,0.348283,,0.145993,0.145993,0,0,0,0,0,2,0.174141,0.348283,,0.145993,0.145993,0,0,0,0,0,2
store_0_prod_291,smooth,7,0.236604,0.473209,,0.312463,0.312463,0,0,0,0,0,3,0.236604,0.473209,,0.312463,0.312463,0,0,0,0,0,3
store_0_prod_296,smooth,7,0.251109,0.502217,,0.502217,0.502452,0,0,0,0,0,0,0.251109,0.502217,,0.502217,0.502452,0,0,0,0,0,0
store_0_prod_300,smooth,7,1.11703,2.23407,,2.23407,2.81196,0,0,0,0,0,0,1.11703,2.23407,,2.23407,2.81196,0,0,0,0,0,0
store_0_prod_310,smooth,7,0.324372,0.648744,,0.648744,0.745033,0,0,0,0,0,0,0.324372,0.648744,,0.648744,0.745033,0,0,0,0,0,0
store_0_prod_345,intermittent,7,0.185299,0.370598,,0.681163,0.681163,0,0,0,0,0,6,0.0714286,0.142857,,0.681163,0.681163,0.857143,1,0.923077,6,1,0
store_0_prod_370,intermittent,7,0.357723,0.715446,,0.715446,0.796437,0,0,0,0,0,0,0.571429,1.14286,,0.715446,0.796437,0,0,0,0,7,0
store_0_prod_379,intermittent,7,0.232195,0.464391,,0.749266,0.749266,0,0,0,0,0,4,0.214286,0.428571,,0.749266,0.749266,0.571429,1,0.727273,4,3,0
store_0_prod_38,intermittent,7,0.284699,0.569398,,2.80284,2.80284,0,0,0,0,0,6,0.214286,0.428571,,2.80284,2.80284,0.857143,1,0.923077,6,1,0
store_0_prod_4,erratic,7,0.614225,1.22845,,0.377872,0.511967,0,0,0,0,0,4,0.614225,1.22845,,0.377872,0.511967,0,0,0,0,0,4
store_0_prod_41,intermittent,7,0.248691,0.497383,,0.36056,0.53852,0,0,0,0,0,2,0.248691,0.497383,,0.36056,0.53852,0,0,0,0,0,2
store_0_prod_411,intermittent,7,0.236008,0.472017,,0.695884,0.695884,0,0,0,0,0,4,0.214286,0.428571,,0.695884,0.695884,0.571429,1,0.727273,4,3,0
store_0_prod_419,intermittent,7,0.312604,0.625209,,0.792154,0.792154,0,0,0,0,0,2,0.357143,0.714286,,0.792154,0.792154,0.285714,1,0.444444,2,5,0
store_0_prod_439,intermittent,7,0.298222,0.596444,,1.15822,1.25048,0,0,0,0,0,4,0.285714,0.571429,,1.15822,1.25048,0.571429,1,0.727273,4,3,0
store_0_prod_486,smooth,7,0.165879,0.331758,,0.331758,0.560487,0,0,0,0,0,0,0.165879,0.331758,,0.331758,0.560487,0,0,0,0,0,0
store_0_prod_489,intermittent,7,0.226552,0.453105,,0.390578,0.390578,0,0,0,0,0,2,0.226552,0.453105,,0.390578,0.390578,0,0,0,0,0,2
store_0_prod_496,intermittent,7,0.155937,0.311875,,0.236625,0.236625,0,0,0,0,0,1,0.155937,0.311875,,0.236625,0.236625,0,0,0,0,0,1
store_0_prod_500,intermittent,7,0.24877,0.497539,,0.517227,0.517227,0,0,0,0,0,4,0.214286,0.428571,,0.517227,0.517227,0.571429,1,0.727273,4,3,0
store_0_prod_548,intermittent,7,0.249477,0.498954,,0.507321,0.507321,0,0,0,0,0,4,0.214286,0.428571,,0.507321,0.507321,0.571429,1,0.727273,4,3,0
store_0_prod_554,intermittent,7,0.191643,0.383285,,0.303266,0.480478,0,0,0,0,0,1,0.191643,0.383285,,0.303266,0.480478,0,0,0,0,0,1
store_0_prod_567,smooth,7,0.189369,0.378737,,0.253488,0.374455,0,0,0,0,0,1,0.189369,0.378737,,0.253488,0.374455,0,0,0,0,0,1
store_0_prod_578,intermittent,7,0.218166,0.436331,,0.410864,0.410864,0,0,0,0,0,1,0.218166,0.436331,,0.410864,0.410864,0,0,0,0,0,1
store_0_prod_580,smooth,7,0.155453,0.310905,,0.310905,0.361924,0,0,0,0,0,0,0.155453,0.310905,,0.310905,0.361924,0,0,0,0,0,0
store_0_prod_596,smooth,7,0.0778945,0.155789,,0.0129319,0.0129319,0,0,0,0,0,1,0.0778945,0.155789,,0.0129319,0.0129319,0,0,0,0,0,1
store_0_prod_6,intermittent,7,0.214661,0.429322,,0.429322,0.651224,0,0,0,0,0,0,0.214661,0.429322,,0.429322,0.651224,0,0,0,0,0,0
store_0_prod_600,intermittent,7,0.453015,0.906031,,0.906031,1.01241,0,0,0,0,0,0,0.453015,0.906031,,0.906031,1.01241,0,0,0,0,0,0
store_0_prod_631,smooth,7,0.242327,0.484654,,0.392581,0.392581,0,0,0,0,0,3,0.242327,0.484654,,0.392581,0.392581,0,0,0,0,0,3
store_0_prod_633,intermittent,7,0.181837,0.363673,,0.818096,0.818096,0,0,0,0,0,5,0.142857,0.285714,,0.818096,0.818096,0.714286,1,0.833333,5,2,0
store_0_prod_635,intermittent,7,0.229509,0.459017,,0.786881,0.786881,0,0,0,0,0,4,0.214286,0.428571,,0.786881,0.786881,0.571429,1,0.727273,4,3,0
store_0_prod_638,intermittent,7,0.251372,0.502744,,0.480793,0.480793,0,0,0,0,0,4,0.251372,0.502744,,0.480793,0.480793,0,0,0,0,0,4
store_0_prod_644,intermittent,7,0.0737415,0.147483,,0.147483,0.147483,0,0,0,0,0,0,0.0737415,0.147483,,0.147483,0.147483,0,0,0,0,0,0
store_0_prod_672,intermittent,7,0.414858,0.829716,,1.30801,1.56873,0,0,0,0,0,3,0.428571,0.857143,,1.30801,1.56873,0.428571,1,0.6,3,4,0
store_0_prod_686,intermittent,7,0.103772,0.207544,,,,0,0,0,0,0,7,0,0,,,,1,1,1,7,0,0
store_0_prod_691,smooth,7,0.795209,1.59042,,1.59042,1.65255,0,0,0,0,0,0,0.795209,1.59042,,1.59042,1.65255,0,0,0,0,0,0
store_0_prod_699,intermittent,7,0.326401,0.652803,,0.723206,0.826455,0,0,0,0,0,2,0.428571,0.857143,,0.723206,0.826455,0.285714,1,0.444444,2,5,0
store_0_prod_70,smooth,7,0.707172,1.41434,,1.41434,1.58943,0,0,0,0,0,0,0.707172,1.41434,,1.41434,1.58943,0,0,0,0,0,0
store_0_prod_712,smooth,7,0.37752,0.75504,,0.75504,0.87639,0,0,0,0,0,0,0.37752,0.75504,,0.75504,0.87639,0,0,0,0,0,0
store_0_prod_719,intermittent,7,0.222504,0.445008,,0.576988,0.576988,0,0,0,0,0,6,0.0714286,0.142857,,0.576988,0.576988,0.857143,1,0.923077,6,1,0
store_0_prod_72,intermittent,7,0.210837,0.421674,,0.68276,0.68276,0,0,0,0,0,5,0.142857,0.285714,,0.68276,0.68276,0.714286,1,0.833333,5,2,0
store_0_prod_740,smooth,7,0.287092,0.574184,,0.326905,0.326905,0,0,0,0,0,5,0.287092,0.574184,,0.326905,0.326905,0,0,0,0,0,5
store_0_prod_76,smooth,7,0.112977,0.225954,,0.0830972,0.0830972,0,0,0,0,0,1,0.112977,0.225954,,0.0830972,0.0830972,0,0,0,0,0,1
store_0_prod_764,intermittent,7,0.254932,0.509864,,0.569048,0.569048,0,0,0,0,0,3,0.285714,0.571429,,0.569048,0.569048,0.428571,1,0.6,3,4,0
store_0_prod_769,smooth,7,0.157829,0.315659,,0.315659,0.50067,0,0,0,0,0,0,0.157829,0.315659,,0.315659,0.50067,0,0,0,0,0,0
store_0_prod_775,smooth,7,0.16741,0.33482,,0.33482,0.484307,0,0,0,0,0,0,0.16741,0.33482,,0.33482,0.484307,0,0,0,0,0,0
store_0_prod_783,intermittent,7,0.190832,0.381664,,0.381664,0.591396,0,0,0,0,0,0,0.190832,0.381664,,0.381664,0.591396,0,0,0,0,0,0
store_0_prod_796,smooth,7,0.256077,0.512154,,0.512154,0.519031,0,0,0,0,0,0,0.256077,0.512154,,0.512154,0.519031,0,0,0,0,0,0
store_0_prod_806,intermittent,7,0.232911,0.465822,,0.739247,0.739247,0,0,0,0,0,4,0.214286,0.428571,,0.739247,0.739247,0.571429,1,0.727273,4,3,0
store_0_prod_810,intermittent,7,0.410463,0.820927,,0.776997,0.836441,0,0,0,0,0,1,0.410463,0.820927,,0.776997,0.836441,0,0,0,0,0,1
store_0_prod_834,intermittent,7,0.637897,1.27579,,1.27579,1.42682,0,0,0,0,0,0,0.637897,1.27579,,1.27579,1.42682,0,0,0,0,0,0
store_0_prod_843,intermittent,7,0.280396,0.560791,,0.641846,0.641846,0,0,0,0,0,2,0.357143,0.714286,,0.641846,0.641846,0.285714,1,0.444444,2,5,0
