series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,1.11001,2.22002,,2.22002,2.3438,0,0,0,0,0,0,1.11001,2.22002,,2.22002,2.3438,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.451337,0.902674,,0.902674,1.08311,0,0,0,0,0,0,0.451337,0.902674,,0.902674,1.08311,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.55052,1.10104,,1.10104,1.30058,0,0,0,0,0,0,0.55052,1.10104,,1.10104,1.30058,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.784392,1.56878,,1.56878,1.79294,0,0,0,0,0,0,0.784392,1.56878,,1.56878,1.79294,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.233438,0.466876,,0.38307,0.477954,0,0,0,0,0,1,0.270274,0.540547,,0.38307,0.477954,0,0,0,0,2,1
store_0_prod_129,intermittent,7,0.426577,0.853154,,0.367838,0.556291,0,0,0,0,0,4,0.426577,0.853154,,0.367838,0.556291,0,0,0,0,0,4
store_0_prod_136,intermittent,7,0.31088,0.62176,,0.92638,1.03069,0.5,0.333333,0.4,1,1,2,0.395195,0.79039,,0.92638,1.03069,0.333333,0.666667,0.444444,2,4,1
store_0_prod_166,smooth,7,0.300441,0.600881,,0.600881,0.72824,0,0,0,0,0,0,0.300441,0.600881,,0.600881,0.72824,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.359209,0.718417,,1.15923,1.23816,0,0,0,0,1,3,0.357143,0.714286,,1.15923,1.23816,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.395213,0.790426,,0.766837,0.883038,0,0,0,0,0,1,0.416489,0.832978,,0.766837,0.883038,0,0,0,0,1,1
store_0_prod_190,smooth,7,0.435917,0.871835,,0.264778,0.303522,0,0,0,0,0,3,0.435917,0.871835,,0.264778,0.303522,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.272175,0.544351,,0.622506,0.659411,0,0,0,0,0,1,0.338111,0.676222,,0.622506,0.659411,0.2,1,0.333333,1,4,0
store_0_prod_194,intermittent,7,0.220344,0.440688,,0.588852,0.650897,0.5,0.5,0.5,1,1,1,0.297018,0.594036,,0.588852,0.650897,0.333333,1,0.5,2,4,0
store_0_prod_201,intermittent,7,0.302284,0.604569,,0.588537,0.738583,0,0,0,0,0,3,0.302284,0.604569,,0.588537,0.738583,0,0,0,0,0,3
