series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.493368,0.986737,,0.986737,1.15479,0,0,0,0,0,0,0.493368,0.986737,,0.986737,1.15479,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.8865,1.773,,1.773,1.92211,0,0,0,0,0,0,0.8865,1.773,,1.773,1.92211,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.110801,0.221602,,0.221602,0.381668,0,0,0,0,0,0,0.110801,0.221602,,0.221602,0.381668,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.679,1.358,,1.358,1.56982,0,0,0,0,0,0,0.679,1.358,,1.358,1.56982,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.206195,0.412391,,0.401301,0.406441,0,0,0,0,0,1,0.207385,0.414771,,0.401301,0.406441,0.5,1,0.666667,1,1,0
store_0_prod_129,intermittent,7,0.228073,0.456145,,0.538555,0.539165,0,0,0,0,0,4,0.214286,0.428571,,0.538555,0.539165,0.571429,1,0.727273,4,3,0
store_0_prod_136,intermittent,7,0.30755,0.6151,,0.76246,0.890899,0,0,0,0,0,3,0.279358,0.558716,,0.76246,0.890899,0.6,1,0.75,3,2,0
store_0_prod_166,smooth,7,0.396323,0.792646,,0.792646,0.980237,0,0,0,0,0,0,0.396323,0.792646,,0.792646,0.980237,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.316728,0.633456,,1.0024,1.05008,0,0,0,0,0,3,0.357143,0.714286,,1.0024,1.05008,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.326588,0.653176,,0.596921,0.784643,0,0,0,0,0,1,0.326588,0.653176,,0.596921,0.784643,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.319444,0.638888,,0.405189,0.582808,0,0,0,0,0,3,0.319444,0.638888,,0.405189,0.582808,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.310434,0.620868,,0.701197,0.716596,0,0,0,0,0,1,0.428571,0.857143,,0.701197,0.716596,0.142857,1,0.25,1,6,0
store_0_prod_194,intermittent,7,0.191062,0.382125,,0.270182,0.274798,0,0,0,0,0,2,0.191062,0.382125,,0.270182,0.274798,0,0,0,0,0,2
store_0_prod_201,intermittent,7,0.313649,0.627298,,0.757354,0.881382,0,0,0,0,0,3,0.322301,0.644601,,0.757354,0.881382,0.5,0.666667,0.571429,2,2,1
store_0_prod_207,smooth,7,0.434323,0.868647,,0.868647,1.06923,0,0,0,0,0,0,0.434323,0.868647,,0.868647,1.06923,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.242815,0.485629,,0.485629,0.489753,0,0,0,0,0,0,0.376449,0.752898,,0.485629,0.489753,0,0,0,0,4,0
store_0_prod_214,intermittent,7,0.0730727,0.146145,,0.843454,0.843454,0,0,0,0,0,6,0.0714286,0.142857,,0.843454,0.843454,0.857143,1,0.923077,6,1,0
store_0_prod_215,smooth,7,0.494908,0.989815,,0.989815,1.51847,0,0,0,0,0,0,0.494908,0.989815,,0.989815,1.51847,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.25661,0.513221,,0.513221,0.526396,0,0,0,0,0,0,0.25661,0.513221,,0.513221,0.526396,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.599298,1.1986,,1.1986,1.30121,0,0,0,0,0,0,0.642857,1.28571,,1.1986,1.30121,0,0,0,0,7,0
store_0_prod_253,intermittent,7,0.0955917,0.191183,,0.68402,0.68402,0,0,0,0,0,6,0.0714286,0.142857,,0.68402,0.68402,0.857143,1,0.923077,6,1,0
store_0_prod_259,intermittent,7,0.161771,0.323543,,,,0,0,0,0,0,7,0,0,,,,1,1,1,7,0,0
store_0_prod_26,intermittent,7,0.163989,0.327978,,0.18938,0.203666,0,0,0,0,0,2,0.163989,0.327978,,0.18938,0.203666,0,0,0,0,0,2
store_0_prod_291,smooth,7,0.246918,0.493835,,0.455606,0.45924,0,0,0,0,0,3,0.255434,0.510867,,0.455606,0.45924,0.5,0.333333,0.4,1,1,2
store_0_prod_296,smooth,7,0.249588,0.499175,,0.499175,0.563462,0,0,0,0,0,0,0.249588,0.499175,,0.499175,0.563462,0,0,0,0,0,0
