series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.59413,1.18826,,1.18826,1.3768,0,0,0,0,0,0,0.59413,1.18826,,1.18826,1.3768,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.579404,1.15881,,1.15881,1.3308,0,0,0,0,0,0,0.579404,1.15881,,1.15881,1.3308,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.286274,0.572548,,0.572548,0.667583,0,0,0,0,0,0,0.294358,0.588715,,0.572548,0.667583,0,0,0,0,1,0
store_0_prod_122,smooth,7,0.642871,1.28574,,1.28574,1.53587,0,0,0,0,0,0,0.642871,1.28574,,1.28574,1.53587,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.251356,0.502712,,0.49591,0.514095,0,0,0,0,0,1,0.334006,0.668011,,0.49591,0.514095,0,0,0,0,3,1
store_0_prod_129,intermittent,7,0.28464,0.569279,,0.94966,0.952325,0.333333,0.25,0.285714,1,2,3,0.258368,0.516736,,0.94966,0.952325,0.5,0.75,0.6,3,3,1
store_0_prod_136,intermittent,7,0.358754,0.717508,,0.776129,0.841797,0,0,0,0,0,3,0.36222,0.724439,,0.776129,0.841797,0.333333,0.333333,0.333333,1,2,2
store_0_prod_166,smooth,7,0.32571,0.65142,,0.65142,0.834583,0,0,0,0,0,0,0.32571,0.65142,,0.65142,0.834583,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.357851,0.715703,,1.07289,1.21991,0,0,0,0,1,3,0.314196,0.628392,,1.07289,1.21991,0.5,1,0.666667,3,3,0
store_0_prod_19,smooth,7,0.312713,0.625425,,0.483473,0.55928,0,0,0,0,0,1,0.312713,0.625425,,0.483473,0.55928,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.469061,0.938121,,0.637791,0.670824,0,0,0,0,0,3,0.469061,0.938121,,0.637791,0.670824,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.373008,0.746017,,0.833731,0.840728,0,0,0,0,1,1,0.428571,0.857143,,0.833731,0.840728,0.142857,1,0.25,1,6,0
store_0_prod_194,intermittent,7,0.198328,0.396656,,0.36701,0.39819,0,0,0,0,0,2,0.204846,0.409692,,0.36701,0.39819,0.5,0.5,0.5,1,1,1
store_0_prod_201,intermittent,7,0.315612,0.631223,,0.844657,0.974316,0,0,0,0,0,3,0.318486,0.636972,,0.844657,0.974316,0.5,1,0.666667,3,3,0
store_0_prod_207,smooth,7,0.312171,0.624343,,0.624343,0.817327,0,0,0,0,0,0,0.312171,0.624343,,0.624343,0.817327,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.0868405,0.173681,,0.173681,0.26681,0,0,0,0,0,0,0.111937,0.223874,,0.173681,0.26681,0,0,0,0,1,0
store_0_prod_214,intermittent,7,0.248763,0.497527,,1,1,0,0,0,0,1,6,0.0714286,0.142857,,1,1,0.857143,1,0.923077,6,1,0
