series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,1.70303,3.40607,,3.40607,3.61345,0,0,0,0,4,0,1.70303,3.40607,,3.40607,3.61345,0,0,0,0,4,0
store_0_prod_117,smooth,7,1.2311,2.46221,,2.46221,3.18698,0,0,0,0,3,0,1.2311,2.46221,,2.46221,3.18698,0,0,0,0,3,0
store_0_prod_118,smooth,7,0.739583,1.47917,,1.47917,1.5453,0,0,0,0,4,0,0.739583,1.47917,,1.47917,1.5453,0,0,0,0,4,0
store_0_prod_122,smooth,7,1.10452,2.20904,,2.20904,2.37481,0,0,0,0,4,0,1.10452,2.20904,,2.20904,2.37481,0,0,0,0,4,0
store_0_prod_127,intermittent,7,0.346208,0.692415,,0.645961,0.734125,0,0,0,0,2,1,0.382997,0.765993,,0.645961,0.734125,0,0,0,0,4,1
store_0_prod_129,intermittent,7,0.427795,0.855589,,0.656446,0.797312,0.5,0.25,0.333333,1,1,3,0.427795,0.855589,,0.656446,0.797312,0.5,0.25,0.333333,1,1,3
store_0_prod_136,intermittent,7,0.342149,0.684299,,1.03639,1.11096,0.333333,0.333333,0.333333,1,2,2,0.395309,0.790617,,1.03639,1.11096,0.333333,0.666667,0.444444,2,4,1
store_0_prod_166,smooth,7,0.666558,1.33312,,1.33312,1.55068,0,0,0,0,4,0,0.666558,1.33312,,1.33312,1.55068,0,0,0,0,4,0
store_0_prod_18,intermittent,7,0.354408,0.708817,,1.18308,1.27533,0.5,0.666667,0.571429,2,2,1,0.357143,0.714286,,1.18308,1.27533,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.572682,1.14536,,1.33626,1.42733,0.2,1,0.333333,1,4,0,0.593977,1.18795,,1.33626,1.42733,0.166667,1,0.285714,1,5,0
store_0_prod_190,smooth,7,0.424279,0.848558,,0.615562,0.725944,0.333333,0.333333,0.333333,1,2,2,0.424279,0.848558,,0.615562,0.725944,0.333333,0.333333,0.333333,1,2,2
store_0_prod_193,intermittent,7,0.428571,0.857143,,1,1,0.142857,1,0.25,1,6,0,0.428571,0.857143,,1,1,0.142857,1,0.25,1,6,0
store_0_prod_194,intermittent,7,0.366873,0.733747,,1,1,0.166667,0.5,0.25,1,5,1,0.357143,0.714286,,1,1,0.285714,1,0.444444,2,5,0
store_0_prod_201,intermittent,7,0.253199,0.506397,,0.886195,0.980636,0.6,1,0.75,3,2,0,0.253199,0.506397,,0.886195,0.980636,0.6,1,0.75,3,2,0
store_0_prod_207,smooth,7,0.752611,1.50522,,1.50522,1.80847,0,0,0,0,4,0,0.752611,1.50522,,1.50522,1.80847,0,0,0,0,4,0
store_0_prod_21,intermittent,7,0.18771,0.375421,,0.375421,0.479474,0,0,0,0,1,0,0.222125,0.444251,,0.375421,0.479474,0,0,0,0,2,0
store_0_prod_214,intermittent,7,0.159999,0.319998,,1,1,0.75,0.5,0.6,3,1,3,0.107925,0.215849,,1,1,0.833333,0.833333,0.833333,5,1,1
store_0_prod_215,smooth,7,1.74983,3.49966,,3.49966,4.19246,0,0,0,0,3,0,1.74983,3.49966,,3.49966,4.19246,0,0,0,0,3,0
store_0_prod_223,smooth,7,0.776529,1.55306,,1.55306,1.71199,0,0,0,0,5,0,0.776529,1.55306,,1.55306,1.71199,0,0,0,0,5,0
store_0_prod_23,intermittent,7,0.548655,1.09731,,1.09731,1.10834,0,0,0,0,5,0,0.548655,1.09731,,1.09731,1.10834,0,0,0,0,5,0
store_0_prod_253,intermittent,7,0.157281,0.314561,,0.305427,0.305427,1,0.166667,0.285714,1,0,5,0.0828621,0.165724,,0.305427,0.305427,1,0.833333,0.909091,5,0,1
store_0_prod_259,intermittent,7,0.0620701,0.12414,,,,1,0.714286,0.833333,5,0,2,0.0359592,0.0719183,,,,1,0.857143,0.923077,6,0,1
store_0_prod_26,intermittent,7,0.275315,0.550631,,0.543331,0.662743,0.333333,0.5,0.4,1,2,1,0.275315,0.550631,,0.543331,0.662743,0.333333,0.5,0.4,1,2,1
store_0_prod_291,smooth,7,0.168162,0.336323,,0.588566,0.718614,0.6,1,0.75,3,2,0,0.168162,0.336323,,0.588566,0.718614,0.6,1,0.75,3,2,0
store_0_prod_296,smooth,7,0.545372,1.09074,,1.09074,1.37748,0,0,0,0,4,0,0.545372,1.09074,,1.09074,1.37748,0,0,0,0,4,0
store_0_prod_300,smooth,7,2.05133,4.10266,,4.10266,5.13063,0,0,0,0,5,0,2.05133,4.10266,,4.10266,5.13063,0,0,0,0,5,0
store_0_prod_310,smooth,7,0.66263,1.32526,,1.32526,1.55091,0,0,0,0,5,0,0.66263,1.32526,,1.32526,1.55091,0,0,0,0,5,0
store_0_prod_345,intermittent,7,0.21828,0.436561,,1,1,0.666667,0.333333,0.444444,2,1,4,0.200802,0.401604,,1,1,0.75,0.5,0.6,3,1,3
store_0_prod_370,intermittent,7,0.525696,1.05139,,1.05139,1.14202,0,0,0,0,6,0,0.525696,1.05139,,1.05139,1.14202,0,0,0,0,6,0
store_0_prod_379,intermittent,7,0.260618,0.521236,,0.880199,0.896356,0.333333,0.25,0.285714,1,2,3,0.252195,0.504389,,0.880199,0.896356,0.5,0.75,0.6,3,3,1
store_0_prod_38,intermittent,7,0.338471,0.676942,,3,3,0.75,0.5,0.6,3,1,3,0.338471,0.676942,,3,3,0.75,0.5,0.6,3,1,3
store_0_prod_4,erratic,7,0.718096,1.43619,,1.45025,1.50826,0.5,0.5,0.5,2,2,2,0.718096,1.43619,,1.45025,1.50826,0.5,0.5,0.5,2,2,2
store_0_prod_41,intermittent,7,0.336517,0.673035,,0.942249,1.07818,0.5,1,0.666667,2,2,0,0.36967,0.73934,,0.942249,1.07818,0.333333,1,0.5,2,4,0
store_0_prod_411,intermittent,7,0.214453,0.428907,,0.787467,0.842879,0.5,0.5,0.5,2,2,2,0.214145,0.428291,,0.787467,0.842879,0.6,0.75,0.666667,3,2,1
store_0_prod_419,intermittent,7,0.318118,0.636236,,0.890731,0.900817,0.4,1,0.571429,2,3,0,0.357143,0.714286,,0.890731,0.900817,0.285714,1,0.444444,2,5,0
store_0_prod_439,intermittent,7,0.334967,0.669935,,1.33333,1.41421,0.4,0.5,0.444444,2,3,2,0.324168,0.648336,,1.33333,1.41421,0.5,0.75,0.6,3,3,1
store_0_prod_486,smooth,7,0.733195,1.46639,,1.46639,1.76651,0,0,0,0,4,0,0.733195,1.46639,,1.46639,1.76651,0,0,0,0,4,0
