series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,1.27549,2.55097,,2.55097,2.65908,0,0,0,0,0,0,1.27549,2.55097,,2.55097,2.65908,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.383352,0.766703,,0.766703,0.902735,0,0,0,0,0,0,0.383352,0.766703,,0.766703,0.902735,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.427752,0.855504,,0.855504,0.92405,0,0,0,0,0,0,0.427752,0.855504,,0.855504,0.92405,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.807795,1.61559,,1.61559,1.84988,0,0,0,0,0,0,0.807795,1.61559,,1.61559,1.84988,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.194374,0.388749,,0.343444,0.343449,0,0,0,0,0,1,0.194374,0.388749,,0.343444,0.343449,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.263767,0.527534,,0.308951,0.309963,0,0,0,0,0,4,0.263767,0.527534,,0.308951,0.309963,0,0,0,0,0,4
store_0_prod_136,intermittent,7,0.348181,0.696363,,1.12511,1.20557,0,0,0,0,0,3,0.357143,0.714286,,1.12511,1.20557,0.428571,1,0.6,3,4,0
store_0_prod_166,smooth,7,0.322665,0.645329,,0.645329,0.737922,0,0,0,0,0,0,0.322665,0.645329,,0.645329,0.737922,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.344454,0.688908,,1.07461,1.15855,0,0,0,0,0,3,0.357143,0.714286,,1.07461,1.15855,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.313751,0.627503,,0.573836,0.768104,0,0,0,0,0,1,0.313751,0.627503,,0.573836,0.768104,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.469319,0.938637,,0.506114,0.506282,0,0,0,0,0,3,0.469319,0.938637,,0.506114,0.506282,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.246526,0.493052,,0.49039,0.490391,0,0,0,0,0,1,0.246526,0.493052,,0.49039,0.490391,0,0,0,0,0,1
store_0_prod_194,intermittent,7,0.385166,0.770333,,1.06,1.06059,0,0,0,0,0,2,0.357143,0.714286,,1.06,1.06059,0.285714,1,0.444444,2,5,0
store_0_prod_201,intermittent,7,0.308623,0.617247,,0.569661,0.715505,0,0,0,0,0,3,0.308623,0.617247,,0.569661,0.715505,0,0,0,0,0,3
store_0_prod_207,smooth,7,0.435236,0.870473,,0.870473,1.07866,0,0,0,0,0,0,0.435236,0.870473,,0.870473,1.07866,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.173225,0.34645,,0.34645,0.346454,0,0,0,0,0,0,0.173225,0.34645,,0.34645,0.346454,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.235705,0.47141,,0.51996,0.51996,0,0,0,0,0,6,0.0714286,0.142857,,0.51996,0.51996,0.857143,1,0.923077,6,1,0
store_0_prod_215,smooth,7,1.40132,2.80264,,2.80264,3.15371,0,0,0,0,0,0,1.40132,2.80264,,2.80264,3.15371,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.270433,0.540866,,0.540866,0.542516,0,0,0,0,0,0,0.270433,0.540866,,0.540866,0.542516,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.199005,0.398009,,0.398009,0.602971,0,0,0,0,0,0,0.199005,0.398009,,0.398009,0.602971,0,0,0,0,0,0
store_0_prod_253,intermittent,7,0.174328,0.348657,,0.711278,0.711278,0,0,0,0,0,6,0.0714286,0.142857,,0.711278,0.711278,0.857143,1,0.923077,6,1,0
store_0_prod_259,intermittent,7,0.200665,0.401329,,,,0,0,0,0,0,7,0,0,,,,1,1,1,7,0,0
store_0_prod_26,intermittent,7,0.178946,0.357891,,0.169821,0.169833,0,0,0,0,0,2,0.178946,0.357891,,0.169821,0.169833,0,0,0,0,0,2
store_0_prod_291,smooth,7,0.218854,0.437708,,0.0664756,0.0664812,0,0,0,0,0,3,0.218854,0.437708,,0.0664756,0.0664812,0,0,0,0,0,3
store_0_prod_296,smooth,7,0.236704,0.473407,,0.473407,0.515782,0,0,0,0,0,0,0.236704,0.473407,,0.473407,0.515782,0,0,0,0,0,0
store_0_prod_300,smooth,7,1.21794,2.43587,,2.43587,3.03451,0,0,0,0,0,0,1.21794,2.43587,,2.43587,3.03451,0,0,0,0,0,0
store_0_prod_310,smooth,7,0.325867,0.651735,,0.651735,0.750849,0,0,0,0,0,0,0.325867,0.651735,,0.651735,0.750849,0,0,0,0,0,0
store_0_prod_345,intermittent,7,0.190754,0.381507,,0.665344,0.665344,0,0,0,0,0,6,0.0714286,0.142857,,0.665344,0.665344,0.857143,1,0.923077,6,1,0
store_0_prod_370,intermittent,7,0.152749,0.305498,,0.305498,0.461953,0,0,0,0,0,0,0.152749,0.305498,,0.305498,0.461953,0,0,0,0,0,0
store_0_prod_379,intermittent,7,0.224609,0.449219,,0.853119,0.853122,0,0,0,0,0,4,0.214286,0.428571,,0.853119,0.853122,0.571429,1,0.727273,4,3,0
store_0_prod_38,intermittent,7,0.258681,0.517362,,2.87535,2.87535,0,0,0,0,0,6,0.214286,0.428571,,2.87535,2.87535,0.857143,1,0.923077,6,1,0
store_0_prod_4,erratic,7,0.968614,1.93723,,0.978709,1.07316,0,0,0,0,0,4,0.968614,1.93723,,0.978709,1.07316,0,0,0,0,0,4
store_0_prod_41,intermittent,7,0.247559,0.495119,,0.256923,0.409376,0,0,0,0,0,2,0.247559,0.495119,,0.256923,0.409376,0,0,0,0,0,2
store_0_prod_411,intermittent,7,0.213302,0.426604,,0.968772,0.968809,0,0,0,0,0,4,0.214286,0.428571,,0.968772,0.968809,0.571429,1,0.727273,4,3,0
store_0_prod_419,intermittent,7,0.280091,0.560181,,0.644885,0.644913,0,0,0,0,0,2,0.357143,0.714286,,0.644885,0.644913,0.285714,1,0.444444,2,5,0
store_0_prod_439,intermittent,7,0.312906,0.625813,,0.95248,1.06278,0,0,0,0,0,4,0.285714,0.571429,,0.95248,1.06278,0.571429,1,0.727273,4,3,0
store_0_prod_486,smooth,7,0.17018,0.34036,,0.34036,0.55671,0,0,0,0,0,0,0.17018,0.34036,,0.34036,0.55671,0,0,0,0,0,0
store_0_prod_489,intermittent,7,0.193417,0.386835,,0.237089,0.237142,0,0,0,0,0,2,0.193417,0.386835,,0.237089,0.237142,0,0,0,0,0,2
store_0_prod_496,intermittent,7,0.224261,0.448522,,0.428237,0.428239,0,0,0,0,0,1,0.224261,0.448522,,0.428237,0.428239,0,0,0,0,0,1
store_0_prod_500,intermittent,7,0.264962,0.529925,,0.299833,0.299843,0,0,0,0,0,4,0.264962,0.529925,,0.299833,0.299843,0,0,0,0,0,4
store_0_prod_548,intermittent,7,0.251967,0.503933,,0.47911,0.479116,0,0,0,0,0,4,0.251967,0.503933,,0.47911,0.479116,0,0,0,0,0,4
store_0_prod_554,intermittent,7,0.31513,0.630259,,0.648748,0.747998,0,0,0,0,0,1,0.31513,0.630259,,0.648748,0.747998,0,0,0,0,0,1
store_0_prod_567,smooth,7,0.195695,0.391389,,0.266154,0.371954,0,0,0,0,0,1,0.195695,0.391389,,0.266154,0.371954,0,0,0,0,0,1
store_0_prod_578,intermittent,7,0.202102,0.404204,,0.365593,0.365595,0,0,0,0,0,1,0.202102,0.404204,,0.365593,0.365595,0,0,0,0,0,1
store_0_prod_580,smooth,7,0.0863472,0.172694,,0.172694,0.366067,0,0,0,0,0,0,0.0863472,0.172694,,0.172694,0.366067,0,0,0,0,0,0
store_0_prod_596,smooth,7,0.106058,0.212116,,0.0670697,0.0675666,0,0,0,0,0,1,0.106058,0.212116,,0.0670697,0.0675666,0,0,0,0,0,1
store_0_prod_6,intermittent,7,0.421232,0.842464,,0.842464,0.97769,0,0,0,0,0,0,0.421232,0.842464,,0.842464,0.97769,0,0,0,0,0,0
store_0_prod_600,intermittent,7,0.592623,1.18525,,1.18525,1.2683,0,0,0,0,0,0,0.592623,1.18525,,1.18525,1.2683,0,0,0,0,0,0
store_0_prod_631,smooth,7,0.215276,0.430552,,0.0142411,0.0161308,0,0,0,0,0,3,0.215276,0.430552,,0.0142411,0.0161308,0,0,0,0,0,3
store_0_prod_633,intermittent,7,0.207877,0.415754,,0.695755,0.695755,0,0,0,0,0,5,0.142857,0.285714,,0.695755,0.695755,0.714286,1,0.833333,5,2,0
store_0_prod_635,intermittent,7,0.232401,0.464801,,0.751223,0.751224,0,0,0,0,0,4,0.214286,0.428571,,0.751223,0.751224,0.571429,1,0.727273,4,3,0
store_0_prod_638,intermittent,7,0.25272,0.505439,,0.454897,0.454898,0,0,0,0,0,4,0.25272,0.505439,,0.454897,0.454898,0,0,0,0,0,4
store_0_prod_644,intermittent,7,0.351043,0.702086,,0.702086,0.702131,0,0,0,0,0,0,0.5,1,,0.702086,0.702131,0,0,0,0,7,0
store_0_prod_672,intermittent,7,0.411875,0.82375,,1.2673,1.5352,0,0,0,0,0,3,0.428571,0.857143,,1.2673,1.5352,0.428571,1,0.6,3,4,0
store_0_prod_686,intermittent,7,0.142201,0.284403,,,,0,0,0,0,0,7,0,0,,,,1,1,1,7,0,0
store_0_prod_691,smooth,7,0.69957,1.39914,,1.39914,1.53731,0,0,0,0,0,0,0.69957,1.39914,,1.39914,1.53731,0,0,0,0,0,0
store_0_prod_699,intermittent,7,0.305422,0.610845,,0.625991,0.742958,0,0,0,0,0,2,0.305422,0.610845,,0.625991,0.742958,0,0,0,0,0,2
store_0_prod_70,smooth,7,0.430395,0.860791,,0.860791,1.17627,0,0,0,0,0,0,0.430395,0.860791,,0.860791,1.17627,0,0,0,0,0,0
store_0_prod_712,smooth,7,0.272633,0.545266,,0.545266,0.708457,0,0,0,0,0,0,0.272633,0.545266,,0.545266,0.708457,0,0,0,0,0,0
store_0_prod_719,intermittent,7,0.165671,0.331343,,0.723691,0.723691,0,0,0,0,0,6,0.0714286,0.142857,,0.723691,0.723691,0.857143,1,0.923077,6,1,0
store_0_prod_72,intermittent,7,0.222137,0.444274,,0.627282,0.627282,0,0,0,0,0,5,0.142857,0.285714,,0.627282,0.627282,0.714286,1,0.833333,5,2,0
store_0_prod_740,smooth,7,0.403477,0.806954,,0.0691206,0.0699724,0,0,0,0,0,5,0.403477,0.806954,,0.0691206,0.0699724,0,0,0,0,0,5
store_0_prod_76,smooth,7,0.167308,0.334616,,0.191626,0.191633,0,0,0,0,0,1,0.167308,0.334616,,0.191626,0.191633,0,0,0,0,0,1
store_0_prod_764,intermittent,7,0.262362,0.524724,,0.672161,0.672162,0,0,0,0,0,3,0.285714,0.571429,,0.672161,0.672162,0.428571,1,0.6,3,4,0
store_0_prod_769,smooth,7,0.164948,0.329895,,0.329895,0.48679,0,0,0,0,0,0,0.164948,0.329895,,0.329895,0.48679,0,0,0,0,0,0
store_0_prod_775,smooth,7,0.311099,0.622198,,0.622198,0.713842,0,0,0,0,0,0,0.311099,0.622198,,0.622198,0.713842,0,0,0,0,0,0
store_0_prod_783,intermittent,7,0.368116,0.736231,,0.736231,0.863792,0,0,0,0,0,0,0.368116,0.736231,,0.736231,0.863792,0,0,0,0,0,0
store_0_prod_796,smooth,7,0.382201,0.764402,,0.764402,0.909435,0,0,0,0,0,0,0.382201,0.764402,,0.764402,0.909435,0,0,0,0,0,0
store_0_prod_806,intermittent,7,0.238139,0.476277,,0.684793,0.684796,0,0,0,0,0,4,0.214286,0.428571,,0.684793,0.684796,0.571429,1,0.727273,4,3,0
store_0_prod_810,intermittent,7,0.656926,1.31385,,1.4679,1.5087,0,0,0,0,0,1,0.785714,1.57143,,1.4679,1.5087,0.142857,1,0.25,1,6,0
store_0_prod_834,intermittent,7,0.964399,1.9288,,1.9288,2.03403,0,0,0,0,0,0,0.964399,1.9288,,1.9288,2.03403,0,0,0,0,0,0
store_0_prod_843,intermittent,7,0.28872,0.577439,,0.680692,0.680692,0,0,0,0,0,2,0.357143,0.714286,,0.680692,0.680692,0.285714,1,0.444444,2,5,0
store_0_prod_90,smooth,7,0.442038,0.884076,,0.652749,0.805652,0,0,0,0,0,1,0.442038,0.884076,,0.652749,0.805652,0,0,0,0,0,1
store_0_prod_93,intermittent,7,0.239481,0.478963,,0.451186,0.451188,0,0,0,0,0,2,0.239481,0.478963,,0.451186,0.451188,0,0,0,0,0,2
store_100_prod_104,smooth,7,1.08883,2.17766,,2.34247,2.40333,0,0,0,0,0,1,1.08883,2.17766,,2.34247,2.40333,0,0,0,0,0,1
store_100_prod_108,intermittent,7,0.252234,0.504467,,0.518234,0.518251,0,0,0,0,0,3,0.285714,0.571429,,0.518234,0.518251,0.428571,1,0.6,3,4,0
store_100_prod_115,intermittent,7,0.260059,0.520118,,0.387344,0.387357,0,0,0,0,0,4,0.260059,0.520118,,0.387344,0.387357,0,0,0,0,0,4
store_100_prod_116,smooth,7,0.297016,0.594033,,0.308568,0.30857,0,0,0,0,0,2,0.297016,0.594033,,0.308568,0.30857,0,0,0,0,0,2
store_100_prod_117,smooth,7,0.74919,1.49838,,1.49838,1.78719,0,0,0,0,0,0,0.74919,1.49838,,1.49838,1.78719,0,0,0,0,0,0
store_100_prod_118,smooth,7,0.666874,1.33375,,0.897801,0.897899,0,0,0,0,0,3,0.666874,1.33375,,0.897801,0.897899,0,0,0,0,0,3
store_100_prod_119,smooth,7,0.271642,0.543284,,0.543284,0.620748,0,0,0,0,0,0,0.271642,0.543284,,0.543284,0.620748,0,0,0,0,0,0
store_100_prod_12,intermittent,7,0.272647,0.545294,,0.823058,0.823059,0,0,0,0,0,3,0.285714,0.571429,,0.823058,0.823059,0.428571,1,0.6,3,4,0
store_100_prod_122,smooth,7,0.643815,1.28763,,1.28763,1.56254,0,0,0,0,0,0,0.643815,1.28763,,1.28763,1.56254,0,0,0,0,0,0
store_100_prod_127,intermittent,7,0.30735,0.6147,,0.6147,0.760564,0,0,0,0,0,0,0.30735,0.6147,,0.6147,0.760564,0,0,0,0,0,0
store_100_prod_129,intermittent,7,0.221459,0.442918,,0.410365,0.411767,0,0,0,0,0,5,0.137619,0.275238,,0.410365,0.411767,1,0.6,0.75,3,0,2
store_100_prod_135,intermittent,7,0.244265,0.488529,,0.574496,0.574496,0,0,0,0,0,4,0.214286,0.428571,,0.574496,0.574496,0.571429,1,0.727273,4,3,0
store_100_prod_136,intermittent,7,0.382772,0.765544,,1.04877,1.04889,0,0,0,0,0,2,0.357143,0.714286,,1.04877,1.04889,0.285714,1,0.444444,2,5,0
