series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,1.50846,3.01692,,3.01692,3.11134,0,0,0,0,0,0,1.50846,3.01692,,3.01692,3.11134,0,0,0,0,0,0
store_0_prod_117,smooth,7,2.09082,4.18165,,4.18165,4.24691,0,0,0,0,0,0,2.09082,4.18165,,4.18165,4.24691,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.0990621,0.198124,,0.198124,0.40104,0,0,0,0,0,0,0.0990621,0.198124,,0.198124,0.40104,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.863913,1.72783,,1.72783,1.9583,0,0,0,0,0,0,0.863913,1.72783,,1.72783,1.9583,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.225943,0.451885,,0.434225,0.434624,0,0,0,0,0,1,0.225943,0.451885,,0.434225,0.434624,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.257305,0.514609,,0.356117,0.357281,0,0,0,0,0,4,0.257305,0.514609,,0.356117,0.357281,0,0,0,0,0,4
store_0_prod_136,intermittent,7,0.315377,0.630755,,0.563055,0.751798,0,0,0,0,0,3,0.315377,0.630755,,0.563055,0.751798,0,0,0,0,0,3
store_0_prod_166,smooth,7,0.44649,0.89298,,0.89298,1.14144,0,0,0,0,0,0,0.44649,0.89298,,0.89298,1.14144,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.692447,1.38489,,0.922042,0.959292,0,0,0,0,0,3,0.692447,1.38489,,0.922042,0.959292,0,0,0,0,0,3
store_0_prod_19,smooth,7,0.293342,0.586683,,0.516953,0.718273,0,0,0,0,0,1,0.293342,0.586683,,0.516953,0.718273,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.293474,0.586947,,0.423271,0.606888,0,0,0,0,0,3,0.293474,0.586947,,0.423271,0.606888,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.214574,0.429149,,0.404177,0.405084,0,0,0,0,0,1,0.214574,0.429149,,0.404177,0.405084,0,0,0,0,0,1
