series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.300676,0.601352,,0.601352,0.760556,0,0,0,0,0,0,0.300676,0.601352,,0.601352,0.760556,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.497687,0.995373,,0.995373,1.24107,0,0,0,0,0,0,0.497687,0.995373,,0.995373,1.24107,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.0942167,0.188433,,0.188433,0.283961,0,0,0,0,0,0,0.0942167,0.188433,,0.188433,0.283961,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.652603,1.30521,,1.30521,1.54837,0,0,0,0,0,0,0.652603,1.30521,,1.30521,1.54837,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.159551,0.319102,,0.213764,0.256078,0,0,0,0,0,1,0.159551,0.319102,,0.213764,0.256078,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.216197,0.432395,,0.973258,0.97326,0,0,0,0,0,4,0.214286,0.428571,,0.973258,0.97326,0.571429,1,0.727273,4,3,0
store_0_prod_136,intermittent,7,0.375492,0.750984,,1.163,1.24038,0,0,0,0,0,3,0.357143,0.714286,,1.163,1.24038,0.428571,1,0.6,3,4,0
store_0_prod_166,smooth,7,0.270783,0.541566,,0.541566,0.701778,0,0,0,0,0,0,0.270783,0.541566,,0.541566,0.701778,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.431183,0.862366,,0.940046,1.04136,0,0,0,0,0,3,0.474588,0.949175,,0.940046,1.04136,0,0,0,0,3,3
store_0_prod_19,smooth,7,0.324663,0.649327,,0.57246,0.726422,0,0,0,0,0,1,0.324663,0.649327,,0.57246,0.726422,0,0,0,0,0,1
