series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.388456,0.776913,,0.776913,0.871085,0,0,0,0,0,0,0.388456,0.776913,,0.776913,0.871085,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.55473,1.10946,,1.10946,1.22144,0,0,0,0,0,0,0.55473,1.10946,,1.10946,1.22144,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.134763,0.269526,,0.269526,0.336962,0,0,0,0,0,0,0.134763,0.269526,,0.269526,0.336962,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.652767,1.30553,,1.30553,1.52696,0,0,0,0,0,0,0.652767,1.30553,,1.30553,1.52696,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.200271,0.400543,,0.348514,0.36706,0,0,0,0,0,1,0.232047,0.464093,,0.348514,0.36706,0,0,0,0,1,1
store_0_prod_129,intermittent,7,0.239112,0.478224,,0.613834,0.618532,0,0,0,0,0,4,0.251198,0.502396,,0.613834,0.618532,0.5,0.75,0.6,3,3,1
store_0_prod_136,intermittent,7,0.301122,0.602243,,0.703034,0.82144,0,0,0,0,0,3,0.305264,0.610528,,0.703034,0.82144,0.5,0.666667,0.571429,2,2,1
store_0_prod_166,smooth,7,0.297065,0.59413,,0.59413,0.75714,0,0,0,0,0,0,0.297065,0.59413,,0.59413,0.75714,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.321039,0.642078,,0.944229,1.02113,0,0,0,0,0,3,0.357143,0.714286,,0.944229,1.02113,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.300745,0.601489,,0.54493,0.716974,0,0,0,0,0,1,0.300745,0.601489,,0.54493,0.716974,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.361258,0.722515,,0.363833,0.543314,0,0,0,0,0,3,0.361258,0.722515,,0.363833,0.543314,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.264032,0.528063,,0.559784,0.577778,0,0,0,0,0,1,0.341568,0.683136,,0.559784,0.577778,0.2,1,0.333333,1,4,0
store_0_prod_194,intermittent,7,0.222245,0.44449,,0.395826,0.42072,0,0,0,0,0,2,0.288246,0.576492,,0.395826,0.42072,0,0,0,0,2,2
store_0_prod_201,intermittent,7,0.303631,0.607263,,0.671388,0.794837,0,0,0,0,0,3,0.268603,0.537206,,0.671388,0.794837,0.666667,0.666667,0.666667,2,1,1
store_0_prod_207,smooth,7,0.348252,0.696503,,0.696503,0.885142,0,0,0,0,0,0,0.348252,0.696503,,0.696503,0.885142,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.142646,0.285291,,0.285291,0.295342,0,0,0,0,0,0,0.142646,0.285291,,0.285291,0.295342,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.13723,0.274459,,0.893622,0.893622,1,0.166667,0.285714,1,0,5,0.0714286,0.142857,,0.893622,0.893622,0.857143,1,0.923077,6,1,0
store_0_prod_215,smooth,7,0.567601,1.1352,,1.1352,1.59204,0,0,0,0,0,0,0.567601,1.1352,,1.1352,1.59204,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.217533,0.435065,,0.435065,0.465773,0,0,0,0,0,0,0.217533,0.435065,,0.435065,0.465773,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.471042,0.942085,,0.942085,1.05316,0,0,0,0,0,0,0.60582,1.21164,,0.942085,1.05316,0,0,0,0,6,0
store_0_prod_253,intermittent,7,0.164918,0.329836,,0.621875,0.621875,0,0,0,0,0,6,0.0714286,0.142857,,0.621875,0.621875,0.857143,1,0.923077,6,1,0
store_0_prod_259,intermittent,7,0.148366,0.296732,,,,0,0,0,0,0,7,0.0413354,0.0826708,,,,1,0.857143,0.923077,6,0,1
store_0_prod_26,intermittent,7,0.154045,0.308089,,0.13536,0.156123,0,0,0,0,0,2,0.154045,0.308089,,0.13536,0.156123,0,0,0,0,0,2
store_0_prod_291,smooth,7,0.209834,0.419668,,0.243952,0.256471,0,0,0,0,0,3,0.209834,0.419668,,0.243952,0.256471,0,0,0,0,0,3
