series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.435214,0.870428,,0.870428,0.964637,0,0,0,0,0,0,0.435214,0.870428,,0.870428,0.964637,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.448508,0.897015,,0.897015,1.1011,0,0,0,0,0,0,0.448508,0.897015,,0.897015,1.1011,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.173876,0.347752,,0.347752,0.374963,0,0,0,0,0,0,0.173876,0.347752,,0.347752,0.374963,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.591819,1.18364,,1.18364,1.38431,0,0,0,0,0,0,0.591819,1.18364,,1.18364,1.38431,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.159592,0.319184,,0.27539,0.277907,0,0,0,0,0,1,0.159592,0.319184,,0.27539,0.277907,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.229084,0.458167,,0.529285,0.530377,0,0,0,0,0,4,0.177227,0.354454,,0.529285,0.530377,0.666667,1,0.8,4,2,0
store_0_prod_136,intermittent,7,0.324869,0.649737,,0.727375,0.82996,0,0,0,0,0,3,0.285412,0.570825,,0.727375,0.82996,0.666667,0.666667,0.666667,2,1,1
store_0_prod_166,smooth,7,0.417284,0.834567,,0.834567,0.955236,0,0,0,0,0,0,0.417284,0.834567,,0.834567,0.955236,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.335885,0.671769,,0.911456,1.03448,0,0,0,0,0,3,0.357143,0.714286,,0.911456,1.03448,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.282555,0.56511,,0.485942,0.586767,0,0,0,0,0,1,0.282555,0.56511,,0.485942,0.586767,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.380963,0.761927,,0.38926,0.500275,0,0,0,0,0,3,0.380963,0.761927,,0.38926,0.500275,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.233335,0.46667,,0.4613,0.466786,0,0,0,0,0,1,0.261076,0.522152,,0.4613,0.466786,0.333333,1,0.5,1,2,0
store_0_prod_194,intermittent,7,0.212668,0.425337,,0.353918,0.363369,0,0,0,0,0,2,0.212668,0.425337,,0.353918,0.363369,0,0,0,0,0,2
