series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.491949,0.983899,,0.983899,1.227,0,0,0,0,0,0,0.491949,0.983899,,0.983899,1.227,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.46459,0.92918,,0.92918,1.13945,0,0,0,0,0,0,0.46459,0.92918,,0.92918,1.13945,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.144716,0.289433,,0.289433,0.349981,0,0,0,0,0,0,0.144716,0.289433,,0.289433,0.349981,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.681835,1.36367,,1.36367,1.56956,0,0,0,0,0,0,0.681835,1.36367,,1.36367,1.56956,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.210916,0.421832,,0.391872,0.392043,0,0,0,0,0,1,0.210916,0.421832,,0.391872,0.392043,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.251007,0.502014,,0.491438,0.491448,0,0,0,0,0,4,0.215447,0.430895,,0.491438,0.491448,1,0.25,0.4,1,0,3
store_0_prod_136,intermittent,7,0.321476,0.642953,,0.776644,0.892175,0,0,0,0,0,3,0.357143,0.714286,,0.776644,0.892175,0.428571,1,0.6,3,4,0
store_0_prod_166,smooth,7,0.363866,0.727732,,0.727732,0.868275,0,0,0,0,0,0,0.363866,0.727732,,0.727732,0.868275,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.342574,0.685148,,1.0327,1.11735,0,0,0,0,0,3,0.357143,0.714286,,1.0327,1.11735,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.29301,0.58602,,0.494312,0.611061,0,0,0,0,0,1,0.29301,0.58602,,0.494312,0.611061,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.301306,0.602612,,0.268588,0.487917,0,0,0,0,0,3,0.301306,0.602612,,0.268588,0.487917,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.263184,0.526367,,0.538099,0.53813,0,0,0,0,0,1,0.428571,0.857143,,0.538099,0.53813,0.142857,1,0.25,1,6,0
store_0_prod_194,intermittent,7,0.239608,0.479216,,0.454025,0.454233,0,0,0,0,0,2,0.239608,0.479216,,0.454025,0.454233,0,0,0,0,0,2
store_0_prod_201,intermittent,7,0.31578,0.63156,,0.674353,0.801201,0,0,0,0,0,3,0.31578,0.63156,,0.674353,0.801201,0,0,0,0,0,3
store_0_prod_207,smooth,7,0.38499,0.76998,,0.76998,0.924759,0,0,0,0,0,0,0.38499,0.76998,,0.76998,0.924759,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.0721999,0.1444,,0.1444,0.144891,0,0,0,0,0,0,0.0721999,0.1444,,0.1444,0.144891,0,0,0,0,0,0
