series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.425663,0.851326,,0.851326,1.06933,0,0,0,0,0,0,0.425663,0.851326,,0.851326,1.06933,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.450513,0.901026,,0.901026,1.09669,0,0,0,0,0,0,0.450513,0.901026,,0.901026,1.09669,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.142277,0.284555,,0.284555,0.347973,0,0,0,0,0,0,0.142277,0.284555,,0.284555,0.347973,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.639281,1.27856,,1.27856,1.5061,0,0,0,0,0,0,0.639281,1.27856,,1.27856,1.5061,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.212329,0.424659,,0.374075,0.384534,0,0,0,0,0,1,0.212329,0.424659,,0.374075,0.384534,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.256388,0.512776,,0.542785,0.554728,0,0,0,0,0,4,0.251446,0.502891,,0.542785,0.554728,0.5,0.5,0.5,2,2,2
store_0_prod_136,intermittent,7,0.287264,0.574527,,0.739487,0.821511,0,0,0,0,0,3,0.270111,0.540223,,0.739487,0.821511,0.6,1,0.75,3,2,0
store_0_prod_166,smooth,7,0.360956,0.721911,,0.721911,0.835049,0,0,0,0,0,0,0.360956,0.721911,,0.721911,0.835049,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.331086,0.662172,,1.00627,1.11406,0,0,0,0,0,3,0.357143,0.714286,,1.00627,1.11406,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.286773,0.573546,,0.523123,0.632165,0,0,0,0,0,1,0.286773,0.573546,,0.523123,0.632165,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.29817,0.59634,,0.267875,0.410207,0,0,0,0,0,3,0.29817,0.59634,,0.267875,0.410207,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.220686,0.441372,,0.438859,0.448397,0,0,0,0,0,1,0.216524,0.433048,,0.438859,0.448397,0.5,1,0.666667,1,1,0
store_0_prod_194,intermittent,7,0.24259,0.48518,,0.468182,0.475977,0,0,0,0,0,2,0.273587,0.547174,,0.468182,0.475977,0.333333,0.5,0.4,1,2,1
store_0_prod_201,intermittent,7,0.277657,0.555314,,0.586982,0.728993,0,0,0,0,0,3,0.246615,0.49323,,0.586982,0.728993,1,0.333333,0.5,1,0,2
store_0_prod_207,smooth,7,0.383382,0.766763,,0.766763,0.921178,0,0,0,0,0,0,0.383382,0.766763,,0.766763,0.921178,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.120194,0.240388,,0.240388,0.27511,0,0,0,0,0,0,0.120194,0.240388,,0.240388,0.27511,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.160819,0.321639,,0.713949,0.713949,0,0,0,0,0,6,0.0714286,0.142857,,0.713949,0.713949,0.857143,1,0.923077,6,1,0
store_0_prod_215,smooth,7,0.601989,1.20398,,1.20398,1.63101,0,0,0,0,0,0,0.601989,1.20398,,1.20398,1.63101,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.23313,0.466261,,0.466261,0.474621,0,0,0,0,0,0,0.23313,0.466261,,0.466261,0.474621,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.469157,0.938313,,0.938313,1.04575,0,0,0,0,0,0,0.605129,1.21026,,0.938313,1.04575,0,0,0,0,6,0
store_0_prod_253,intermittent,7,0.200222,0.400444,,0.559064,0.559064,0,0,0,0,0,6,0.0714286,0.142857,,0.559064,0.559064,0.857143,1,0.923077,6,1,0
store_0_prod_259,intermittent,7,0.167377,0.334754,,,,0,0,0,0,0,7,0.0366704,0.0733408,,,,1,0.857143,0.923077,6,0,1
store_0_prod_26,intermittent,7,0.173015,0.346031,,0.134358,0.150089,0,0,0,0,0,2,0.173015,0.346031,,0.134358,0.150089,0,0,0,0,0,2
store_0_prod_291,smooth,7,0.243188,0.486377,,0.278248,0.29781,0,0,0,0,0,3,0.243188,0.486377,,0.278248,0.29781,0,0,0,0,0,3
store_0_prod_296,smooth,7,0.243718,0.487435,,0.487435,0.504263,0,0,0,0,0,0,0.243718,0.487435,,0.487435,0.504263,0,0,0,0,0,0
store_0_prod_300,smooth,7,1.21563,2.43126,,2.43126,2.82109,0,0,0,0,0,0,1.21563,2.43126,,2.43126,2.82109,0,0,0,0,0,0
store_0_prod_310,smooth,7,0.266881,0.533763,,0.533763,0.626059,0,0,0,0,0,0,0.266881,0.533763,,0.533763,0.626059,0,0,0,0,0,0
store_0_prod_345,intermittent,7,0.0793837,0.158767,,0.922509,0.922509,1,0.166667,0.285714,1,0,5,0.0714286,0.142857,,0.922509,0.922509,0.857143,1,0.923077,6,1,0
store_0_prod_370,intermittent,7,0.362629,0.725258,,0.725258,0.806872,0,0,0,0,0,0,0.533792,1.06758,,0.725258,0.806872,0,0,0,0,6,0
store_0_prod_379,intermittent,7,0.247638,0.495276,,0.298233,0.319112,0,0,0,0,0,4,0.247638,0.495276,,0.298233,0.319112,0,0,0,0,0,4
store_0_prod_38,intermittent,7,0.426346,0.852693,,2.11374,2.11374,0,0,0,0,0,6,0.405293,0.810586,,2.11374,2.11374,1,0.166667,0.285714,1,0,5
store_0_prod_4,erratic,7,0.619509,1.23902,,0.581668,0.642061,0,0,0,0,0,4,0.619509,1.23902,,0.581668,0.642061,0,0,0,0,0,4
store_0_prod_41,intermittent,7,0.232091,0.464182,,0.304488,0.448894,0,0,0,0,0,2,0.232091,0.464182,,0.304488,0.448894,0,0,0,0,0,2
store_0_prod_411,intermittent,7,0.240884,0.481768,,0.306835,0.30965,0,0,0,0,0,4,0.240884,0.481768,,0.306835,0.30965,0,0,0,0,0,4
store_0_prod_419,intermittent,7,0.342249,0.684498,,0.910398,0.910946,0,0,0,0,0,2,0.357143,0.714286,,0.910398,0.910946,0.285714,1,0.444444,2,5,0
store_0_prod_439,intermittent,7,0.262608,0.525216,,1.13557,1.23779,0,0,0,0,0,4,0.285714,0.571429,,1.13557,1.23779,0.571429,1,0.727273,4,3,0
store_0_prod_486,smooth,7,0.164584,0.329168,,0.329168,0.480334,0,0,0,0,0,0,0.164584,0.329168,,0.329168,0.480334,0,0,0,0,0,0
store_0_prod_489,intermittent,7,0.195948,0.391896,,0.314598,0.328145,0,0,0,0,0,2,0.160759,0.321519,,0.314598,0.328145,1,0.5,0.666667,1,0,1
store_0_prod_496,intermittent,7,0.133702,0.267404,,0.182137,0.202924,0,0,0,0,0,1,0.133702,0.267404,,0.182137,0.202924,0,0,0,0,0,1
store_0_prod_500,intermittent,7,0.248568,0.497136,,0.534022,0.535396,0,0,0,0,0,4,0.25783,0.51566,,0.534022,0.535396,0.5,0.75,0.6,3,3,1
store_0_prod_548,intermittent,7,0.205683,0.411366,,0.367874,0.37818,0,0,0,0,0,4,0.114585,0.229169,,0.367874,0.37818,1,0.75,0.857143,3,0,1
store_0_prod_554,intermittent,7,0.246388,0.492777,,0.475771,0.59805,0,0,0,0,0,1,0.246388,0.492777,,0.475771,0.59805,0,0,0,0,0,1
store_0_prod_567,smooth,7,0.192392,0.384784,,0.274001,0.3801,0,0,0,0,0,1,0.192392,0.384784,,0.274001,0.3801,0,0,0,0,0,1
store_0_prod_578,intermittent,7,0.191247,0.382494,,0.366613,0.389132,0,0,0,0,0,1,0.184441,0.368883,,0.366613,0.389132,0.5,1,0.666667,1,1,0
store_0_prod_580,smooth,7,0.0686817,0.137363,,0.137363,0.226352,0,0,0,0,0,0,0.0686817,0.137363,,0.137363,0.226352,0,0,0,0,0,0
store_0_prod_596,smooth,7,0.188552,0.377104,,0.252943,0.268686,0,0,0,0,0,1,0.188552,0.377104,,0.252943,0.268686,0,0,0,0,0,1
store_0_prod_6,intermittent,7,0.216083,0.432167,,0.432167,0.578447,0,0,0,0,0,0,0.216083,0.432167,,0.432167,0.578447,0,0,0,0,0,0
