series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.453016,0.906031,,0.906031,1.08673,0,0,0,0,0,0,0.453016,0.906031,,0.906031,1.08673,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.634323,1.26865,,1.26865,1.47678,0,0,0,0,0,0,0.634323,1.26865,,1.26865,1.47678,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.121093,0.242186,,0.242186,0.349948,0,0,0,0,0,0,0.121093,0.242186,,0.242186,0.349948,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.701783,1.40357,,1.40357,1.61318,0,0,0,0,0,0,0.701783,1.40357,,1.40357,1.61318,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.216201,0.432401,,0.405362,0.405362,0,0,0,0,0,1,0.216201,0.432401,,0.405362,0.405362,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.261279,0.522558,,0.342091,0.342091,0,0,0,0,0,4,0.261279,0.522558,,0.342091,0.342091,0,0,0,0,0,4
store_0_prod_136,intermittent,7,0.341857,0.683713,,1.03599,1.12285,0,0,0,0,0,3,0.357143,0.714286,,1.03599,1.12285,0.428571,1,0.6,3,4,0
store_0_prod_166,smooth,7,0.326383,0.652765,,0.652765,0.805894,0,0,0,0,0,0,0.326383,0.652765,,0.652765,0.805894,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.341809,0.683618,,1.03533,1.12223,0,0,0,0,0,3,0.357143,0.714286,,1.03533,1.12223,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.298392,0.596784,,0.535498,0.732638,0,0,0,0,0,1,0.298392,0.596784,,0.535498,0.732638,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.305575,0.61115,,0.277805,0.474645,0,0,0,0,0,3,0.305575,0.61115,,0.277805,0.474645,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.276978,0.553956,,0.575539,0.575539,0,0,0,0,0,1,0.428571,0.857143,,0.575539,0.575539,0.142857,1,0.25,1,6,0
store_0_prod_194,intermittent,7,0.278944,0.557888,,0.635072,0.635072,0,0,0,0,0,2,0.357143,0.714286,,0.635072,0.635072,0.285714,1,0.444444,2,5,0
store_0_prod_201,intermittent,7,0.316013,0.632027,,0.674187,0.801267,0,0,0,0,0,3,0.316013,0.632027,,0.674187,0.801267,0,0,0,0,0,3
store_0_prod_207,smooth,7,0.403026,0.806053,,0.806053,0.976067,0,0,0,0,0,0,0.403026,0.806053,,0.806053,0.976067,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.127876,0.255752,,0.255752,0.255752,0,0,0,0,0,0,0.127876,0.255752,,0.255752,0.255752,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.218617,0.437234,,0.587873,0.587873,0,0,0,0,0,6,0.0714286,0.142857,,0.587873,0.587873,0.857143,1,0.923077,6,1,0
store_0_prod_215,smooth,7,0.558419,1.11684,,1.11684,1.60564,0,0,0,0,0,0,0.558419,1.11684,,1.11684,1.60564,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.253363,0.506727,,0.506727,0.506769,0,0,0,0,0,0,0.253363,0.506727,,0.506727,0.506769,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.479266,0.958532,,0.958532,1.05965,0,0,0,0,0,0,0.642857,1.28571,,0.958532,1.05965,0,0,0,0,7,0
store_0_prod_253,intermittent,7,0.214989,0.429978,,0.598031,0.598031,0,0,0,0,0,6,0.0714286,0.142857,,0.598031,0.598031,0.857143,1,0.923077,6,1,0
store_0_prod_259,intermittent,7,0.192253,0.384506,,,,0,0,0,0,0,7,0,0,,,,1,1,1,7,0,0
store_0_prod_26,intermittent,7,0.183291,0.366583,,0.188694,0.188694,0,0,0,0,0,2,0.183291,0.366583,,0.188694,0.188694,0,0,0,0,0,2
store_0_prod_291,smooth,7,0.23906,0.47812,,0.346839,0.346839,0,0,0,0,0,3,0.23906,0.47812,,0.346839,0.346839,0,0,0,0,0,3
store_0_prod_296,smooth,7,0.245696,0.491392,,0.491392,0.494998,0,0,0,0,0,0,0.245696,0.491392,,0.491392,0.494998,0,0,0,0,0,0
store_0_prod_300,smooth,7,1.17547,2.35094,,2.35094,2.92335,0,0,0,0,0,0,1.17547,2.35094,,2.35094,2.92335,0,0,0,0,0,0
store_0_prod_310,smooth,7,0.329582,0.659164,,0.659164,0.773089,0,0,0,0,0,0,0.329582,0.659164,,0.659164,0.773089,0,0,0,0,0,0
store_0_prod_345,intermittent,7,0.179606,0.359211,,0.697105,0.697105,0,0,0,0,0,6,0.0714286,0.142857,,0.697105,0.697105,0.857143,1,0.923077,6,1,0
store_0_prod_370,intermittent,7,0.368408,0.736817,,0.736817,0.815689,0,0,0,0,0,0,0.571429,1.14286,,0.736817,0.815689,0,0,0,0,7,0
store_0_prod_379,intermittent,7,0.2313,0.4626,,0.761802,0.761802,0,0,0,0,0,4,0.214286,0.428571,,0.761802,0.761802,0.571429,1,0.727273,4,3,0
store_0_prod_38,intermittent,7,0.281178,0.562357,,2.8127,2.8127,0,0,0,0,0,6,0.214286,0.428571,,2.8127,2.8127,0.857143,1,0.923077,6,1,0
store_0_prod_4,erratic,7,0.594228,1.18846,,0.408978,0.483263,0,0,0,0,0,4,0.594228,1.18846,,0.408978,0.483263,0,0,0,0,0,4
store_0_prod_41,intermittent,7,0.257685,0.515371,,0.402532,0.567479,0,0,0,0,0,2,0.257685,0.515371,,0.402532,0.567479,0,0,0,0,0,2
store_0_prod_411,intermittent,7,0.234922,0.469844,,0.71109,0.71109,0,0,0,0,0,4,0.214286,0.428571,,0.71109,0.71109,0.571429,1,0.727273,4,3,0
store_0_prod_419,intermittent,7,0.314831,0.629663,,0.802546,0.802546,0,0,0,0,0,2,0.357143,0.714286,,0.802546,0.802546,0.285714,1,0.444444,2,5,0
store_0_prod_439,intermittent,7,0.297597,0.595193,,1.16698,1.2586,0,0,0,0,0,4,0.285714,0.571429,,1.16698,1.2586,0.571429,1,0.727273,4,3,0
store_0_prod_486,smooth,7,0.214728,0.429456,,0.429456,0.623309,0,0,0,0,0,0,0.214728,0.429456,,0.429456,0.623309,0,0,0,0,0,0
store_0_prod_489,intermittent,7,0.233082,0.466164,,0.421049,0.421049,0,0,0,0,0,2,0.233082,0.466164,,0.421049,0.421049,0,0,0,0,0,2
store_0_prod_496,intermittent,7,0.169569,0.339138,,0.274794,0.274794,0,0,0,0,0,1,0.169569,0.339138,,0.274794,0.274794,0,0,0,0,0,1
store_0_prod_500,intermittent,7,0.247045,0.494091,,0.541366,0.541366,0,0,0,0,0,4,0.214286,0.428571,,0.541366,0.541366,0.571429,1,0.727273,4,3,0
store_0_prod_548,intermittent,7,0.247718,0.495435,,0.531955,0.531955,0,0,0,0,0,4,0.214286,0.428571,,0.531955,0.531955,0.571429,1,0.727273,4,3,0
store_0_prod_554,intermittent,7,0.20706,0.414121,,0.346436,0.508829,0,0,0,0,0,1,0.20706,0.414121,,0.346436,0.508829,0,0,0,0,0,1
store_0_prod_567,smooth,7,0.169186,0.338372,,0.215814,0.384094,0,0,0,0,0,1,0.169186,0.338372,,0.215814,0.384094,0,0,0,0,0,1
store_0_prod_578,intermittent,7,0.228686,0.457372,,0.44032,0.44032,0,0,0,0,0,1,0.228686,0.457372,,0.44032,0.44032,0,0,0,0,0,1
store_0_prod_580,smooth,7,0.115537,0.231074,,0.231074,0.350462,0,0,0,0,0,0,0.115537,0.231074,,0.231074,0.350462,0,0,0,0,0,0
store_0_prod_596,smooth,7,0.0848981,0.169796,,0.0377146,0.0377146,0,0,0,0,0,1,0.0848981,0.169796,,0.0377146,0.0377146,0,0,0,0,0,1
store_0_prod_6,intermittent,7,0.236789,0.473577,,0.473577,0.684962,0,0,0,0,0,0,0.236789,0.473577,,0.473577,0.684962,0,0,0,0,0,0
store_0_prod_600,intermittent,7,0.473222,0.946444,,0.946444,1.04873,0,0,0,0,0,0,0.473222,0.946444,,0.946444,1.04873,0,0,0,0,0,0
store_0_prod_631,smooth,7,0.244497,0.488993,,0.422952,0.422952,0,0,0,0,0,3,0.244497,0.488993,,0.422952,0.422952,0,0,0,0,0,3
store_0_prod_633,intermittent,7,0.179888,0.359775,,0.827191,0.827191,0,0,0,0,0,5,0.142857,0.285714,,0.827191,0.827191,0.714286,1,0.833333,5,2,0
store_0_prod_635,intermittent,7,0.228747,0.457495,,0.797537,0.797537,0,0,0,0,0,4,0.214286,0.428571,,0.797537,0.797537,0.571429,1,0.727273,4,3,0
store_0_prod_638,intermittent,7,0.249518,0.499035,,0.506753,0.506753,0,0,0,0,0,4,0.214286,0.428571,,0.506753,0.506753,0.571429,1,0.727273,4,3,0
store_0_prod_644,intermittent,7,0.0950544,0.190109,,0.190109,0.190109,0,0,0,0,0,0,0.0950544,0.190109,,0.190109,0.190109,0,0,0,0,0,0
store_0_prod_672,intermittent,7,0.415544,0.831088,,1.31761,1.57674,0,0,0,0,0,3,0.428571,0.857143,,1.31761,1.57674,0.428571,1,0.6,3,4,0
store_0_prod_686,intermittent,7,0.0985833,0.197167,,,,0,0,0,0,0,7,0,0,,,,1,1,1,7,0,0
store_0_prod_691,smooth,7,0.841163,1.68233,,1.68233,1.73798,0,0,0,0,0,0,0.841163,1.68233,,1.68233,1.73798,0,0,0,0,0,0
store_0_prod_699,intermittent,7,0.33151,0.66302,,0.747046,0.847395,0,0,0,0,0,2,0.428571,0.857143,,0.747046,0.847395,0.285714,1,0.444444,2,5,0
store_0_prod_70,smooth,7,0.778956,1.55791,,1.55791,1.73727,0,0,0,0,0,0,0.778956,1.55791,,1.55791,1.73727,0,0,0,0,0,0
store_0_prod_712,smooth,7,0.405072,0.810145,,0.810145,0.930899,0,0,0,0,0,0,0.405072,0.810145,,0.810145,0.930899,0,0,0,0,0,0
store_0_prod_719,intermittent,7,0.21495,0.429901,,0.598139,0.598139,0,0,0,0,0,6,0.0714286,0.142857,,0.598139,0.598139,0.857143,1,0.923077,6,1,0
store_0_prod_72,intermittent,7,0.207438,0.414876,,0.698622,0.698622,0,0,0,0,0,5,0.142857,0.285714,,0.698622,0.698622,0.714286,1,0.833333,5,2,0
store_0_prod_740,smooth,7,0.27988,0.55976,,0.360559,0.360559,0,0,0,0,0,5,0.27988,0.55976,,0.360559,0.360559,0,0,0,0,0,5
store_0_prod_76,smooth,7,0.0858997,0.171799,,0.0289423,0.0289423,0,0,0,0,0,1,0.0858997,0.171799,,0.0289423,0.0289423,0,0,0,0,0,1
store_0_prod_764,intermittent,7,0.256471,0.512942,,0.590596,0.590596,0,0,0,0,0,3,0.285714,0.571429,,0.590596,0.590596,0.428571,1,0.6,3,4,0
store_0_prod_769,smooth,7,0.146367,0.292733,,0.292733,0.525951,0,0,0,0,0,0,0.146367,0.292733,,0.292733,0.525951,0,0,0,0,0,0
store_0_prod_775,smooth,7,0.212611,0.425222,,0.425222,0.550693,0,0,0,0,0,0,0.212611,0.425222,,0.425222,0.550693,0,0,0,0,0,0
