series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,1.31653,2.63305,,2.63305,2.78736,0,0,0,0,0,0,1.31653,2.63305,,2.63305,2.78736,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.327606,0.655211,,0.655211,0.704821,0,0,0,0,0,0,0.327606,0.655211,,0.655211,0.704821,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.451543,0.903086,,0.903086,0.964312,0,0,0,0,0,0,0.451543,0.903086,,0.903086,0.964312,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.740996,1.48199,,1.48199,1.72118,0,0,0,0,0,0,0.740996,1.48199,,1.48199,1.72118,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.198987,0.397973,,0.347551,0.348672,0,0,0,0,0,1,0.198987,0.397973,,0.347551,0.348672,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.29123,0.582459,,0.0644249,0.083928,0,0,0,0,0,4,0.29123,0.582459,,0.0644249,0.083928,0,0,0,0,0,4
store_0_prod_136,intermittent,7,0.332849,0.665699,,1.07496,1.15294,0,0,0,0,0,3,0.357143,0.714286,,1.07496,1.15294,0.428571,1,0.6,3,4,0
store_0_prod_166,smooth,7,0.330376,0.660753,,0.660753,0.776306,0,0,0,0,0,0,0.330376,0.660753,,0.660753,0.776306,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.328369,0.656737,,1.03408,1.11278,0,0,0,0,0,3,0.357143,0.714286,,1.03408,1.11278,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.302054,0.604109,,0.527568,0.701043,0,0,0,0,0,1,0.302054,0.604109,,0.527568,0.701043,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.491536,0.983072,,0.490303,0.498018,0,0,0,0,0,3,0.491536,0.983072,,0.490303,0.498018,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.239992,0.479984,,0.478869,0.483979,0,0,0,0,0,1,0.267223,0.534446,,0.478869,0.483979,0.333333,1,0.5,1,2,0
store_0_prod_194,intermittent,7,0.361567,0.723134,,0.997515,0.998521,0,0,0,0,0,2,0.357143,0.714286,,0.997515,0.998521,0.285714,1,0.444444,2,5,0
store_0_prod_201,intermittent,7,0.311185,0.622369,,0.579207,0.721876,0,0,0,0,0,3,0.311185,0.622369,,0.579207,0.721876,0,0,0,0,0,3
store_0_prod_207,smooth,7,0.445661,0.891323,,0.891323,1.07603,0,0,0,0,0,0,0.445661,0.891323,,0.891323,1.07603,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.167072,0.334145,,0.334145,0.334841,0,0,0,0,0,0,0.167072,0.334145,,0.334145,0.334841,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.24015,0.480299,,0.386107,0.386107,0,0,0,0,0,6,0.142972,0.285945,,0.386107,0.386107,1,0.5,0.666667,3,0,3
store_0_prod_215,smooth,7,1.59995,3.1999,,3.1999,3.54069,0,0,0,0,0,0,1.59995,3.1999,,3.1999,3.54069,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.28374,0.56748,,0.56748,0.577497,0,0,0,0,0,0,0.28374,0.56748,,0.56748,0.577497,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.245587,0.491174,,0.491174,0.651993,0,0,0,0,0,0,0.245587,0.491174,,0.491174,0.651993,0,0,0,0,0,0
store_0_prod_253,intermittent,7,0.179606,0.359212,,0.767965,0.767965,0,0,0,0,0,6,0.0714286,0.142857,,0.767965,0.767965,0.857143,1,0.923077,6,1,0
store_0_prod_259,intermittent,7,0.201161,0.402321,,,,0,0,0,0,0,7,0.0392536,0.0785071,,,,1,0.857143,0.923077,6,0,1
store_0_prod_26,intermittent,7,0.181885,0.36377,,0.179286,0.181521,0,0,0,0,0,2,0.181885,0.36377,,0.179286,0.181521,0,0,0,0,0,2
store_0_prod_291,smooth,7,0.219882,0.439764,,0.0645308,0.0649955,0,0,0,0,0,3,0.219882,0.439764,,0.0645308,0.0649955,0,0,0,0,0,3
store_0_prod_296,smooth,7,0.21248,0.42496,,0.42496,0.493511,0,0,0,0,0,0,0.21248,0.42496,,0.42496,0.493511,0,0,0,0,0,0
store_0_prod_300,smooth,7,1.07565,2.15129,,2.15129,2.75789,0,0,0,0,0,0,1.07565,2.15129,,2.15129,2.75789,0,0,0,0,0,0
store_0_prod_310,smooth,7,0.300811,0.601622,,0.601622,0.773855,0,0,0,0,0,0,0.300811,0.601622,,0.601622,0.773855,0,0,0,0,0,0
store_0_prod_345,intermittent,7,0.185799,0.371598,,0.701461,0.701461,0,0,0,0,0,6,0.0714286,0.142857,,0.701461,0.701461,0.857143,1,0.923077,6,1,0
