series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.416596,0.833191,,0.833191,0.971844,0,0,0,0,0,0,0.416596,0.833191,,0.833191,0.971844,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.535888,1.07178,,1.07178,1.31154,0,0,0,0,0,0,0.535888,1.07178,,1.07178,1.31154,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.144829,0.289658,,0.289658,0.355494,0,0,0,0,0,0,0.144829,0.289658,,0.289658,0.355494,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.676635,1.35327,,1.35327,1.55535,0,0,0,0,0,0,0.676635,1.35327,,1.35327,1.55535,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.193103,0.386205,,0.340688,0.340688,0,0,0,0,0,1,0.193103,0.386205,,0.340688,0.340688,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.25645,0.512901,,0.409693,0.409693,0,0,0,0,0,4,0.25645,0.512901,,0.409693,0.409693,0,0,0,0,0,4
store_0_prod_136,intermittent,7,0.320878,0.641757,,0.742299,0.859364,0,0,0,0,0,3,0.320878,0.641757,,0.742299,0.859364,0,0,0,0,0,3
store_0_prod_166,smooth,7,0.366301,0.732603,,0.732603,0.866766,0,0,0,0,0,0,0.366301,0.732603,,0.732603,0.866766,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.335741,0.671482,,0.950375,1.04437,0,0,0,0,0,3,0.357143,0.714286,,0.950375,1.04437,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.28701,0.57402,,0.5,0.694399,0,0,0,0,0,1,0.28701,0.57402,,0.5,0.694399,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.33118,0.66236,,0.313652,0.45006,0,0,0,0,0,3,0.33118,0.66236,,0.313652,0.45006,0,0,0,0,0,3
