series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.492095,0.984191,,0.984191,1.28053,0,0,0,0,0,0,0.492095,0.984191,,0.984191,1.28053,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.433716,0.867432,,0.867432,1.06384,0,0,0,0,0,0,0.433716,0.867432,,0.867432,1.06384,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.140346,0.280693,,0.280693,0.416291,0,0,0,0,0,0,0.140346,0.280693,,0.280693,0.416291,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.688682,1.37736,,1.37736,1.59113,0,0,0,0,0,0,0.688682,1.37736,,1.37736,1.59113,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.210678,0.421355,,0.398424,0.409791,0,0,0,0,0,1,0.244338,0.488675,,0.398424,0.409791,0,0,0,0,1,1
store_0_prod_129,intermittent,7,0.243817,0.487634,,0.571115,0.578699,0,0,0,0,0,4,0.292891,0.585782,,0.571115,0.578699,0.333333,0.25,0.285714,1,2,3
store_0_prod_136,intermittent,7,0.313873,0.627746,,0.749974,0.855214,0,0,0,0,0,3,0.283006,0.566012,,0.749974,0.855214,0.666667,0.666667,0.666667,2,1,1
store_0_prod_166,smooth,7,0.368256,0.736512,,0.736512,0.869566,0,0,0,0,0,0,0.368256,0.736512,,0.736512,0.869566,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.332239,0.664477,,1.05563,1.15139,0,0,0,0,0,3,0.357143,0.714286,,1.05563,1.15139,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.267676,0.535353,,0.446659,0.552393,0,0,0,0,0,1,0.267676,0.535353,,0.446659,0.552393,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.324006,0.648013,,0.297728,0.525711,0,0,0,0,0,3,0.324006,0.648013,,0.297728,0.525711,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.263976,0.527953,,0.519938,0.527775,0,0,0,0,0,1,0.352445,0.704891,,0.519938,0.527775,0,0,0,0,3,1
store_0_prod_194,intermittent,7,0.249301,0.498602,,0.466052,0.469317,0,0,0,0,0,2,0.2832,0.566401,,0.466052,0.469317,0.333333,0.5,0.4,1,2,1
store_0_prod_201,intermittent,7,0.337523,0.675047,,0.700493,0.830442,0,0,0,0,0,3,0.337523,0.675047,,0.700493,0.830442,0,0,0,0,0,3
store_0_prod_207,smooth,7,0.407102,0.814205,,0.814205,0.929477,0,0,0,0,0,0,0.407102,0.814205,,0.814205,0.929477,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.0843066,0.168613,,0.168613,0.197248,0,0,0,0,0,0,0.0843066,0.168613,,0.168613,0.197248,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.201581,0.403163,,0.678419,0.678419,0,0,0,0,0,6,0.109378,0.218756,,0.678419,0.678419,0.833333,0.833333,0.833333,5,1,1
store_0_prod_215,smooth,7,0.559454,1.11891,,1.11891,1.61778,0,0,0,0,0,0,0.559454,1.11891,,1.11891,1.61778,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.20956,0.41912,,0.41912,0.432311,0,0,0,0,0,0,0.20956,0.41912,,0.41912,0.432311,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.540117,1.08023,,1.08023,1.17268,0,0,0,0,0,0,0.642857,1.28571,,1.08023,1.17268,0,0,0,0,7,0
store_0_prod_253,intermittent,7,0.220528,0.441056,,0.409992,0.409992,0,0,0,0,0,6,0.106875,0.21375,,0.409992,0.409992,1,0.666667,0.8,4,0,2
store_0_prod_259,intermittent,7,0.181615,0.36323,,,,0,0,0,0,0,7,0,0,,,,1,1,1,7,0,0
store_0_prod_26,intermittent,7,0.157726,0.315452,,0.0793199,0.100824,0,0,0,0,0,2,0.157726,0.315452,,0.0793199,0.100824,0,0,0,0,0,2
store_0_prod_291,smooth,7,0.226827,0.453653,,0.238056,0.243768,0,0,0,0,0,3,0.226827,0.453653,,0.238056,0.243768,0,0,0,0,0,3
store_0_prod_296,smooth,7,0.232849,0.465698,,0.465698,0.479053,0,0,0,0,0,0,0.232849,0.465698,,0.465698,0.479053,0,0,0,0,0,0
store_0_prod_300,smooth,7,1.17815,2.3563,,2.3563,2.95858,0,0,0,0,0,0,1.17815,2.3563,,2.3563,2.95858,0,0,0,0,0,0
store_0_prod_310,smooth,7,0.286702,0.573404,,0.573404,0.666398,0,0,0,0,0,0,0.286702,0.573404,,0.573404,0.666398,0,0,0,0,0,0
store_0_prod_345,intermittent,7,0.0875325,0.175065,,0.961499,0.961499,1,0.333333,0.5,2,0,4,0.0714286,0.142857,,0.961499,0.961499,0.857143,1,0.923077,6,1,0
store_0_prod_370,intermittent,7,0.351841,0.703682,,0.703682,0.7917,0,0,0,0,0,0,0.494467,0.988933,,0.703682,0.7917,0,0,0,0,5,0
store_0_prod_379,intermittent,7,0.255294,0.510589,,0.258186,0.259007,0,0,0,0,0,4,0.255294,0.510589,,0.258186,0.259007,0,0,0,0,0,4
store_0_prod_38,intermittent,7,0.429967,0.859935,,2.5501,2.5501,0,0,0,0,0,6,0.426666,0.853332,,2.5501,2.5501,0.5,0.166667,0.25,1,1,5
store_0_prod_4,erratic,7,0.783823,1.56765,,0.648906,0.775045,0,0,0,0,0,4,0.783823,1.56765,,0.648906,0.775045,0,0,0,0,0,4
store_0_prod_41,intermittent,7,0.260763,0.521525,,0.360142,0.487357,0,0,0,0,0,2,0.260763,0.521525,,0.360142,0.487357,0,0,0,0,0,2
store_0_prod_411,intermittent,7,0.295912,0.591824,,0.515178,0.516506,0,0,0,0,0,4,0.361939,0.723878,,0.515178,0.516506,0,0,0,0,2,4
store_0_prod_419,intermittent,7,0.343326,0.686652,,0.881645,0.882316,0,0,0,0,0,2,0.357143,0.714286,,0.881645,0.882316,0.285714,1,0.444444,2,5,0
store_0_prod_439,intermittent,7,0.306987,0.613973,,1.2558,1.34186,1,0.25,0.4,1,0,3,0.285714,0.571429,,1.2558,1.34186,0.571429,1,0.727273,4,3,0
store_0_prod_486,smooth,7,0.176133,0.352265,,0.352265,0.455655,0,0,0,0,0,0,0.176133,0.352265,,0.352265,0.455655,0,0,0,0,0,0
store_0_prod_489,intermittent,7,0.228663,0.457326,,0.386119,0.388395,0,0,0,0,0,2,0.228663,0.457326,,0.386119,0.388395,0,0,0,0,0,2
store_0_prod_496,intermittent,7,0.13182,0.263641,,0.163071,0.182788,0,0,0,0,0,1,0.13182,0.263641,,0.163071,0.182788,0,0,0,0,0,1
store_0_prod_500,intermittent,7,0.255903,0.511806,,0.597586,0.597722,0,0,0,0,0,4,0.28624,0.57248,,0.597586,0.597722,0.4,0.5,0.444444,2,3,2
store_0_prod_548,intermittent,7,0.231526,0.463052,,0.403758,0.404222,0,0,0,0,0,4,0.166283,0.332566,,0.403758,0.404222,1,0.5,0.666667,2,0,2
store_0_prod_554,intermittent,7,0.261809,0.523617,,0.469424,0.629037,0,0,0,0,0,1,0.261809,0.523617,,0.469424,0.629037,0,0,0,0,0,1
store_0_prod_567,smooth,7,0.172667,0.345335,,0.215965,0.30435,0,0,0,0,0,1,0.172667,0.345335,,0.215965,0.30435,0,0,0,0,0,1
store_0_prod_578,intermittent,7,0.206592,0.413184,,0.380047,0.38899,0,0,0,0,0,1,0.241954,0.483908,,0.380047,0.38899,0,0,0,0,1,1
store_0_prod_580,smooth,7,0.115799,0.231599,,0.231599,0.334275,0,0,0,0,0,0,0.115799,0.231599,,0.231599,0.334275,0,0,0,0,0,0
store_0_prod_596,smooth,7,0.15808,0.316159,,0.187649,0.211893,0,0,0,0,0,1,0.15808,0.316159,,0.187649,0.211893,0,0,0,0,0,1
store_0_prod_6,intermittent,7,0.212121,0.424242,,0.424242,0.604787,0,0,0,0,0,0,0.212121,0.424242,,0.424242,0.604787,0,0,0,0,0,0
store_0_prod_600,intermittent,7,0.467823,0.935645,,0.935645,1.03049,0,0,0,0,0,0,0.467823,0.935645,,0.935645,1.03049,0,0,0,0,0,0
store_0_prod_631,smooth,7,0.237328,0.474656,,0.408868,0.417455,0,0,0,0,0,3,0.270801,0.541602,,0.408868,0.417455,0,0,0,0,1,3
store_0_prod_633,intermittent,7,0.169529,0.339058,,0.757972,0.759902,0,0,0,0,0,5,0.142857,0.285714,,0.757972,0.759902,0.714286,1,0.833333,5,2,0
store_0_prod_635,intermittent,7,0.233099,0.466197,,0.884556,0.88508,0,0,0,0,0,4,0.214286,0.428571,,0.884556,0.88508,0.571429,1,0.727273,4,3,0
store_0_prod_638,intermittent,7,0.283388,0.566776,,0.636643,0.639109,0,0,0,0,0,4,0.327838,0.655675,,0.636643,0.639109,0.25,0.25,0.25,1,3,3
store_0_prod_644,intermittent,7,0.0661409,0.132282,,0.132282,0.153344,0,0,0,0,0,0,0.0661409,0.132282,,0.132282,0.153344,0,0,0,0,0,0
store_0_prod_672,intermittent,7,0.423475,0.846949,,1.36439,1.61505,0,0,0,0,0,3,0.428571,0.857143,,1.36439,1.61505,0.428571,1,0.6,3,4,0
store_0_prod_686,intermittent,7,0.0731896,0.146379,,,,1,0.142857,0.25,1,0,6,0,0,,,,1,1,1,7,0,0
store_0_prod_691,smooth,7,0.861807,1.72361,,1.72361,1.84898,0,0,0,0,0,0,0.861807,1.72361,,1.72361,1.84898,0,0,0,0,0,0
store_0_prod_699,intermittent,7,0.326008,0.652016,,0.759434,0.870082,0,0,0,0,0,2,0.391491,0.782983,,0.759434,0.870082,0.333333,1,0.5,2,4,0
store_0_prod_70,smooth,7,0.591398,1.1828,,1.1828,1.47903,0,0,0,0,0,0,0.591398,1.1828,,1.1828,1.47903,0,0,0,0,0,0
store_0_prod_712,smooth,7,0.363671,0.727343,,0.727343,0.858996,0,0,0,0,0,0,0.363671,0.727343,,0.727343,0.858996,0,0,0,0,0,0
store_0_prod_719,intermittent,7,0.166039,0.332078,,0.887075,0.887075,0,0,0,0,0,6,0.0714286,0.142857,,0.887075,0.887075,0.857143,1,0.923077,6,1,0
store_0_prod_72,intermittent,7,0.221812,0.443624,,0.706127,0.711416,0,0,0,0,0,5,0.142857,0.285714,,0.706127,0.711416,0.714286,1,0.833333,5,2,0
store_0_prod_740,smooth,7,0.243163,0.486326,,0.198087,0.198224,0,0,0,0,0,5,0.209751,0.419501,,0.198087,0.198224,1,0.2,0.333333,1,0,4
store_0_prod_76,smooth,7,0.115879,0.231758,,0.0851113,0.101982,0,0,0,0,0,1,0.115879,0.231758,,0.0851113,0.101982,0,0,0,0,0,1
store_0_prod_764,intermittent,7,0.231242,0.462484,,0.499314,0.506471,0,0,0,0,0,3,0.242612,0.485224,,0.499314,0.506471,0.5,0.666667,0.571429,2,2,1
store_0_prod_769,smooth,7,0.172927,0.345854,,0.345854,0.484836,0,0,0,0,0,0,0.172927,0.345854,,0.345854,0.484836,0,0,0,0,0,0
store_0_prod_775,smooth,7,0.157217,0.314433,,0.314433,0.450453,0,0,0,0,0,0,0.157217,0.314433,,0.314433,0.450453,0,0,0,0,0,0
store_0_prod_783,intermittent,7,0.205315,0.41063,,0.41063,0.602934,0,0,0,0,0,0,0.205315,0.41063,,0.41063,0.602934,0,0,0,0,0,0
store_0_prod_796,smooth,7,0.257218,0.514435,,0.514435,0.561874,0,0,0,0,0,0,0.257218,0.514435,,0.514435,0.561874,0,0,0,0,0,0
store_0_prod_806,intermittent,7,0.200166,0.400331,,0.702371,0.702393,0,0,0,0,0,4,0.214286,0.428571,,0.702371,0.702393,0.571429,1,0.727273,4,3,0
store_0_prod_810,intermittent,7,0.444292,0.888585,,0.828772,0.916703,0,0,0,0,0,1,0.444292,0.888585,,0.828772,0.916703,0,0,0,0,0,1
store_0_prod_834,intermittent,7,0.812822,1.62564,,1.62564,1.76816,0,0,0,0,0,0,0.812822,1.62564,,1.62564,1.76816,0,0,0,0,0,0
