series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.340882,0.681763,,0.681763,0.818153,0,0,0,0,0,0,0.340882,0.681763,,0.681763,0.818153,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.471822,0.943644,,0.943644,1.17418,0,0,0,0,0,0,0.471822,0.943644,,0.943644,1.17418,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.173702,0.347403,,0.347403,0.480407,0,0,0,0,0,0,0.173702,0.347403,,0.347403,0.480407,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.67911,1.35822,,1.35822,1.59543,0,0,0,0,0,0,0.67911,1.35822,,1.35822,1.59543,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.0958307,0.191661,,0.069742,0.0701543,0,0,0,0,0,1,0.0958307,0.191661,,0.069742,0.0701543,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.227536,0.455073,,0.8262,0.82654,0,0,0,0,0,4,0.214286,0.428571,,0.8262,0.82654,0.571429,1,0.727273,4,3,0
store_0_prod_136,intermittent,7,0.3174,0.6348,,0.793949,0.888775,0,0,0,0,0,3,0.281709,0.563419,,0.793949,0.888775,0.6,1,0.75,3,2,0
store_0_prod_166,smooth,7,0.256907,0.513814,,0.513814,0.638046,0,0,0,0,0,0,0.256907,0.513814,,0.513814,0.638046,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.355222,0.710445,,1.24216,1.31574,0,0,0,0,0,3,0.357143,0.714286,,1.24216,1.31574,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.287051,0.574102,,0.507045,0.708714,0,0,0,0,0,1,0.287051,0.574102,,0.507045,0.708714,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.317112,0.634225,,0.30608,0.416552,0,0,0,0,0,3,0.317112,0.634225,,0.30608,0.416552,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.319335,0.638671,,0.691818,0.692577,0,0,0,0,0,1,0.428571,0.857143,,0.691818,0.692577,0.142857,1,0.25,1,6,0
store_0_prod_194,intermittent,7,0.276219,0.552437,,0.615329,0.617228,0,0,0,0,0,2,0.357143,0.714286,,0.615329,0.617228,0.285714,1,0.444444,2,5,0
store_0_prod_201,intermittent,7,0.299009,0.598018,,0.441178,0.61607,0,0,0,0,0,3,0.299009,0.598018,,0.441178,0.61607,0,0,0,0,0,3
store_0_prod_207,smooth,7,0.401024,0.802048,,0.802048,0.993511,0,0,0,0,0,0,0.401024,0.802048,,0.802048,0.993511,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.15992,0.31984,,0.31984,0.321732,0,0,0,0,0,0,0.15992,0.31984,,0.31984,0.321732,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.0724288,0.144858,,0.98025,0.98025,1,0.5,0.666667,3,0,3,0.0714286,0.142857,,0.98025,0.98025,0.857143,1,0.923077,6,1,0
store_0_prod_215,smooth,7,0.537242,1.07448,,1.07448,1.51921,0,0,0,0,0,0,0.537242,1.07448,,1.07448,1.51921,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.153205,0.30641,,0.30641,0.357668,0,0,0,0,0,0,0.153205,0.30641,,0.30641,0.357668,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.549629,1.09926,,1.09926,1.19769,0,0,0,0,0,0,0.642857,1.28571,,1.09926,1.19769,0,0,0,0,7,0
store_0_prod_253,intermittent,7,0.107333,0.214666,,0.875355,0.875355,0,0,0,0,0,6,0.0714286,0.142857,,0.875355,0.875355,0.857143,1,0.923077,6,1,0
store_0_prod_259,intermittent,7,0.0279485,0.0558969,,,,0,0,0,0,0,7,0,0,,,,1,1,1,7,0,0
store_0_prod_26,intermittent,7,0.148323,0.296646,,0.0139252,0.0204786,0,0,0,0,0,2,0.148323,0.296646,,0.0139252,0.0204786,0,0,0,0,0,2
store_0_prod_291,smooth,7,0.227154,0.454307,,0.0347218,0.0364741,0,0,0,0,0,3,0.227154,0.454307,,0.0347218,0.0364741,0,0,0,0,0,3
store_0_prod_296,smooth,7,0.262828,0.525656,,0.525656,0.557999,0,0,0,0,0,0,0.262828,0.525656,,0.525656,0.557999,0,0,0,0,0,0
store_0_prod_300,smooth,7,1.16544,2.33088,,2.33088,2.85072,0,0,0,0,0,0,1.16544,2.33088,,2.33088,2.85072,0,0,0,0,0,0
store_0_prod_310,smooth,7,0.260094,0.520188,,0.520188,0.578651,0,0,0,0,0,0,0.260094,0.520188,,0.520188,0.578651,0,0,0,0,0,0
store_0_prod_345,intermittent,7,0.0719567,0.143913,,0.998907,0.998907,1,0.333333,0.5,2,0,4,0.0714286,0.142857,,0.998907,0.998907,0.857143,1,0.923077,6,1,0
store_0_prod_370,intermittent,7,0.483644,0.967289,,0.967289,1.02616,0,0,0,0,0,0,0.571429,1.14286,,0.967289,1.02616,0,0,0,0,7,0
store_0_prod_379,intermittent,7,0.26448,0.528959,,0.10116,0.103074,0,0,0,0,0,4,0.26448,0.528959,,0.10116,0.103074,0,0,0,0,0,4
store_0_prod_38,intermittent,7,0.226431,0.452863,,2.96702,2.96702,0,0,0,0,0,6,0.214286,0.428571,,2.96702,2.96702,0.857143,1,0.923077,6,1,0
store_0_prod_4,erratic,7,0.442074,0.884147,,0.544297,0.566036,0,0,0,0,0,4,0.442074,0.884147,,0.544297,0.566036,0,0,0,0,0,4
