series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,0.760446,1.52089,,1.52089,1.69742,0,0,0,0,0,0,0.760446,1.52089,,1.52089,1.69742,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.357661,0.715323,,0.715323,0.828493,0,0,0,0,0,0,0.357661,0.715323,,0.715323,0.828493,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.0799531,0.159906,,0.159906,0.369526,0,0,0,0,0,0,0.0799531,0.159906,,0.159906,0.369526,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.788437,1.57687,,1.57687,1.81736,0,0,0,0,0,0,0.788437,1.57687,,1.57687,1.81736,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.428571,0.857143,,1,1,0.142857,1,0.25,1,6,0,0.428571,0.857143,,1,1,0.142857,1,0.25,1,6,0
store_0_prod_129,intermittent,7,0.282838,0.565676,,0.0379145,0.0379363,0,0,0,0,0,4,0.282838,0.565676,,0.0379145,0.0379363,0,0,0,0,0,4
store_0_prod_136,intermittent,7,0.357143,0.714286,,1.25,1.32288,0.428571,1,0.6,3,4,0,0.357143,0.714286,,1.25,1.32288,0.428571,1,0.6,3,4,0
store_0_prod_166,smooth,7,0.296259,0.592518,,0.592518,0.691323,0,0,0,0,0,0,0.296259,0.592518,,0.592518,0.691323,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.357143,0.714286,,1.25,1.32288,0.428571,1,0.6,3,4,0,0.357143,0.714286,,1.25,1.32288,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.287523,0.575045,,0.500698,0.693293,0,0,0,0,0,1,0.287523,0.575045,,0.500698,0.693293,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.396055,0.79211,,0.404305,0.43654,0,0,0,0,0,3,0.396055,0.79211,,0.404305,0.43654,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.428571,0.857143,,1,1,0.142857,1,0.25,1,6,0,0.428571,0.857143,,1,1,0.142857,1,0.25,1,6,0
store_0_prod_194,intermittent,7,0.357143,0.714286,,1,1,0.285714,1,0.444444,2,5,0,0.357143,0.714286,,1,1,0.285714,1,0.444444,2,5,0
store_0_prod_201,intermittent,7,0.357143,0.714286,,1.25,1.32288,0.428571,1,0.6,3,4,0,0.357143,0.714286,,1.25,1.32288,0.428571,1,0.6,3,4,0
store_0_prod_207,smooth,7,0.433085,0.866169,,0.866169,1.07638,0,0,0,0,0,0,0.433085,0.866169,,0.866169,1.07638,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.0311333,0.0622667,,0.0622667,0.0626131,0,0,0,0,0,0,0.0311333,0.0622667,,0.0622667,0.0626131,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.0714286,0.142857,,1,1,0.857143,1,0.923077,6,1,0,0.0714286,0.142857,,1,1,0.857143,1,0.923077,6,1,0
store_0_prod_215,smooth,7,0.582923,1.16585,,1.16585,1.67393,0,0,0,0,0,0,0.582923,1.16585,,1.16585,1.67393,0,0,0,0,0,0
store_0_prod_223,smooth,7,0.265617,0.531233,,0.531233,0.532143,0,0,0,0,0,0,0.265617,0.531233,,0.531233,0.532143,0,0,0,0,0,0
store_0_prod_23,intermittent,7,0.642857,1.28571,,1.28571,1.36277,0,0,0,0,7,0,0.642857,1.28571,,1.28571,1.36277,0,0,0,0,7,0
