series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
store_0_prod_104,smooth,7,1.20438,2.40876,,2.40876,2.53564,0,0,0,0,0,0,1.20438,2.40876,,2.40876,2.53564,0,0,0,0,0,0
store_0_prod_117,smooth,7,0.319004,0.638007,,0.638007,0.7369,0,0,0,0,0,0,0.319004,0.638007,,0.638007,0.7369,0,0,0,0,0,0
store_0_prod_118,smooth,7,0.45521,0.910419,,0.910419,0.972877,0,0,0,0,0,0,0.45521,0.910419,,0.910419,0.972877,0,0,0,0,0,0
store_0_prod_122,smooth,7,0.767526,1.53505,,1.53505,1.76678,0,0,0,0,0,0,0.767526,1.53505,,1.53505,1.76678,0,0,0,0,0,0
store_0_prod_127,intermittent,7,0.190886,0.381773,,0.334701,0.336033,0,0,0,0,0,1,0.190886,0.381773,,0.334701,0.336033,0,0,0,0,0,1
store_0_prod_129,intermittent,7,0.265045,0.53009,,0.0889024,0.10847,0,0,0,0,0,4,0.265045,0.53009,,0.0889024,0.10847,0,0,0,0,0,4
store_0_prod_136,intermittent,7,0.340449,0.680898,,1.12652,1.20436,0,0,0,0,0,3,0.357143,0.714286,,1.12652,1.20436,0.428571,1,0.6,3,4,0
store_0_prod_166,smooth,7,0.311479,0.622958,,0.622958,0.7228,0,0,0,0,0,0,0.311479,0.622958,,0.622958,0.7228,0,0,0,0,0,0
store_0_prod_18,intermittent,7,0.328876,0.657752,,1.06648,1.13199,0,0,0,0,0,3,0.357143,0.714286,,1.06648,1.13199,0.428571,1,0.6,3,4,0
store_0_prod_19,smooth,7,0.307868,0.615736,,0.547186,0.719966,0,0,0,0,0,1,0.307868,0.615736,,0.547186,0.719966,0,0,0,0,0,1
store_0_prod_190,smooth,7,0.525673,1.05135,,0.537704,0.546692,0,0,0,0,0,3,0.525673,1.05135,,0.537704,0.546692,0,0,0,0,0,3
store_0_prod_193,intermittent,7,0.24651,0.493021,,0.491769,0.498912,0,0,0,0,0,1,0.340281,0.680562,,0.491769,0.498912,0,0,0,0,3,1
store_0_prod_194,intermittent,7,0.337857,0.675714,,0.927898,0.929219,0,0,0,0,0,2,0.357143,0.714286,,0.927898,0.929219,0.285714,1,0.444444,2,5,0
store_0_prod_201,intermittent,7,0.315876,0.631752,,0.593259,0.737369,0,0,0,0,0,3,0.315876,0.631752,,0.593259,0.737369,0,0,0,0,0,3
store_0_prod_207,smooth,7,0.416592,0.833183,,0.833183,1.02554,0,0,0,0,0,0,0.416592,0.833183,,0.833183,1.02554,0,0,0,0,0,0
store_0_prod_21,intermittent,7,0.150755,0.301511,,0.301511,0.304463,0,0,0,0,0,0,0.150755,0.301511,,0.301511,0.304463,0,0,0,0,0,0
store_0_prod_214,intermittent,7,0.243339,0.486677,,0.397962,0.397962,0,0,0,0,0,6,0.180732,0.361465,,0.397962,0.397962,1,0.333333,0.5,2,0,4
