series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.481539,0.963078,,0.922384,1.32753,0,0,0,0,0,12,0.47997,0.95994,,0.922384,1.32753,0.5,0.0833333,0.142857,1,1,11
HOBBIES_1_002__CA_1,intermittent,28,0.181073,0.362146,,0.439123,0.491617,0,0,0,0,0,26,0.0596594,0.119319,,0.439123,0.491617,0.958333,0.884615,0.92,23,1,3
HOBBIES_1_003__CA_1,intermittent,28,0.348614,0.697228,,0.760579,0.864555,0,0,0,0,0,15,0.384778,0.769556,,0.760579,0.864555,0.2,0.133333,0.16,2,8,13
HOBBIES_1_004__CA_1,lumpy,28,0.841417,1.68283,,1.46828,1.68766,0,0,0,0,0,9,0.84394,1.68788,,1.46828,1.68766,0.5,0.111111,0.181818,1,1,8
HOBBIES_1_005__CA_1,intermittent,28,0.415159,0.830318,,0.785843,1.34227,0,0,0,0,0,7,0.417258,0.834516,,0.785843,1.34227,0.5,0.142857,0.222222,1,1,6
HOBBIES_1_006__CA_1,intermittent,28,0.529759,1.05952,,1.2033,1.51925,0.833333,0.263158,0.4,5,1,14,0.522881,1.04576,,1.2033,1.51925,0.7,0.368421,0.482759,7,3,12
HOBBIES_1_007__CA_1,intermittent,28,0.256696,0.513392,,0.759216,0.833622,0.5,0.166667,0.25,3,3,15,0.222518,0.445036,,0.759216,0.833622,0.666667,0.666667,0.666667,12,6,6
HOBBIES_1_008__CA_1,lumpy,28,4.62258,9.24515,,9.03942,11.1384,0,0,0,0,0,4,4.62258,9.24515,,9.03942,11.1384,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.568443,1.13689,,1.73321,2.8283,0.625,0.277778,0.384615,5,3,13,0.566003,1.13201,,1.73321,2.8283,0.666667,0.333333,0.444444,6,3,12
HOBBIES_1_010__CA_1,intermittent,28,0.417879,0.835757,,0.94469,1.1131,0,0,0,0,1,15,0.419424,0.838849,,0.94469,1.1131,0.416667,0.333333,0.37037,5,7,10
HOBBIES_1_011__CA_1,intermittent,28,0.0656609,0.131322,,0.835367,0.835367,1,0.222222,0.363636,6,0,21,0.0178571,0.0357143,,0.835367,0.835367,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.157593,0.315186,,0.727855,0.804344,0.833333,0.434783,0.571429,10,2,13,0.125082,0.250163,,0.727855,0.804344,0.857143,0.782609,0.818182,18,3,5
HOBBIES_1_013__CA_1,intermittent,28,0.276791,0.553581,,0.913982,0.993767,0,0,0,0,1,17,0.247918,0.495837,,0.913982,0.993767,0.625,0.882353,0.731707,15,9,2
HOBBIES_1_014__CA_1,intermittent,28,0.629198,1.2584,,0.999042,1.22667,0,0,0,0,0,8,0.629198,1.2584,,0.999042,1.22667,0,0,0,0,0,8
