series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.482143,0.964286,,1.6875,1.95256,0,0,0,0,0,12,0.482143,0.964286,,1.6875,1.95256,0.428571,1,0.6,12,16,0
HOBBIES_1_002__CA_1,intermittent,28,0.464652,0.929305,,0.000733137,0.000733137,0,0,0,0,0,26,0.464652,0.929305,,0.000733137,0.000733137,0,0,0,0,0,26
HOBBIES_1_003__CA_1,intermittent,28,0.285714,0.571429,,1.23077,1.30089,0,0,0,0,0,15,0.285714,0.571429,,1.23077,1.30089,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.767797,1.53559,,1.31641,1.79243,0,0,0,0,0,9,0.767797,1.53559,,1.31641,1.79243,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.678571,1.35714,,1.80952,2.13809,0,0,0,0,0,7,0.678571,1.35714,,1.80952,2.13809,0.25,1,0.4,7,21,0
HOBBIES_1_006__CA_1,intermittent,28,0.303571,0.607143,,1.88889,2.18581,0,0,0,0,0,19,0.303571,0.607143,,1.88889,2.18581,0.678571,1,0.808511,19,9,0
HOBBIES_1_007__CA_1,intermittent,28,0.196429,0.392857,,1.1,1.14018,0,0,0,0,0,18,0.196429,0.392857,,1.1,1.14018,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.89394,7.78788,,9.00304,13.783,0,0,0,0,0,4,4.07143,8.14286,,9.00304,13.783,0.142857,1,0.25,4,24,0
HOBBIES_1_009__CA_1,lumpy,28,0.446429,0.892857,,2.5,3.27109,0,0,0,0,0,18,0.446429,0.892857,,2.5,3.27109,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.339286,0.678571,,1.46154,1.59326,0,0,0,0,0,15,0.339286,0.678571,,1.46154,1.59326,0.535714,1,0.697674,15,13,0
HOBBIES_1_011__CA_1,intermittent,28,0.0178571,0.0357143,,1,1,0,0,0,0,0,27,0.0178571,0.0357143,,1,1,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.0892857,0.178571,,1,1,0,0,0,0,0,23,0.0892857,0.178571,,1,1,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.25,0.5,,1.27273,1.3484,0,0,0,0,0,17,0.25,0.5,,1.27273,1.3484,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.536343,1.07269,,1.10293,1.55128,0,0,0,0,0,8,0.536343,1.07269,,1.10293,1.55128,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,0.964482,1.92896,,1.83349,2.70748,0,0,0,0,0,4,0.964482,1.92896,,1.83349,2.70748,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,2.12625,4.25251,,4.38765,7.37828,0,0,0,0,0,2,2.12625,4.25251,,4.38765,7.37828,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.660807,1.32161,,1.5996,2.25031,0,0,0,0,0,13,0.660807,1.32161,,1.5996,2.25031,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,3.11827e-10,6.23654e-10,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,5.10714,10.2143,,11,14.0658,0,0,0,0,0,2,5.10714,10.2143,,11,14.0658,0.0714286,1,0.133333,2,26,0
HOBBIES_1_020__CA_1,intermittent,28,0.107143,0.214286,,1,1,0,0,0,0,0,22,0.107143,0.214286,,1,1,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.428859,0.857719,,0.500183,0.865602,0,0,0,0,0,20,0.428859,0.857719,,0.500183,0.865602,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.232143,0.464286,,1.3,1.44914,0,0,0,0,0,18,0.232143,0.464286,,1.3,1.44914,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.553803,1.10761,,1.16829,1.71704,0,0,0,0,0,10,0.553803,1.10761,,1.16829,1.71704,0,0,0,0,0,10
