series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.440994,0.881988,,0.713995,1.1415,0,0,0,0,0,12,0.440994,0.881988,,0.713995,1.1415,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.165293,0.330585,,0.69765,0.69765,0,0,0,0,0,26,0.0357143,0.0714286,,0.69765,0.69765,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.300511,0.601021,,0.816468,0.918768,0,0,0,0,0,15,0.285714,0.571429,,0.816468,0.918768,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.863327,1.72665,,1.34393,1.66276,0,0,0,0,0,9,0.863327,1.72665,,1.34393,1.66276,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.501462,1.00292,,0.867836,1.20753,0,0,0,0,0,7,0.501462,1.00292,,0.867836,1.20753,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.495722,0.991444,,0.893114,1.39063,0,0,0,0,0,19,0.495722,0.991444,,0.893114,1.39063,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.251567,0.503133,,0.714033,0.774496,0,0,0,0,0,18,0.196429,0.392857,,0.714033,0.774496,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.52404,7.04807,,7.02804,10.6936,0,0,0,0,0,4,3.52404,7.04807,,7.02804,10.6936,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.464634,0.929268,,2.37256,3.17475,0,0,0,0,0,18,0.446429,0.892857,,2.37256,3.17475,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.360477,0.720955,,0.868172,1.07522,0,0,0,0,0,15,0.360477,0.720955,,0.868172,1.07522,0,0,0,0,0,15
HOBBIES_1_011__CA_1,intermittent,28,0.0688982,0.137796,,0.890066,0.890066,0,0,0,0,0,27,0.0178571,0.0357143,,0.890066,0.890066,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.141267,0.282533,,0.838282,0.838282,0,0,0,0,0,23,0.0892857,0.178571,,0.838282,0.838282,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.28828,0.576559,,0.915452,1.01804,0,0,0,0,0,17,0.25,0.5,,0.915452,1.01804,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.568335,1.13667,,0.825989,1.10672,0,0,0,0,0,8,0.568335,1.13667,,0.825989,1.10672,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.03039,2.06078,,1.89254,2.59916,0,0,0,0,0,4,1.03039,2.06078,,1.89254,2.59916,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.91567,3.83134,,3.65357,6.2074,0,0,0,0,0,2,1.91567,3.83134,,3.65357,6.2074,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.662359,1.32472,,1.64605,2.28389,0,0,0,0,0,13,0.662359,1.32472,,1.64605,2.28389,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,0.0479152,0.0958303,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,3.12908,6.25817,,6.26227,9.99201,0,0,0,0,0,2,3.12908,6.25817,,6.26227,9.99201,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.189384,0.378769,,0.712155,0.712155,0,0,0,0,0,22,0.107143,0.214286,,0.712155,0.712155,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.376495,0.75299,,0.743024,1.02571,0,0,0,0,0,20,0.376495,0.75299,,0.743024,1.02571,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.276744,0.553487,,0.987795,1.17717,0,0,0,0,0,18,0.232143,0.464286,,0.987795,1.17717,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.579989,1.15998,,1.35159,1.84665,0,0,0,0,0,10,0.579989,1.15998,,1.35159,1.84665,0,0,0,0,0,10
HOBBIES_1_024__CA_1,intermittent,28,0.137846,0.275692,,1.30336,1.39597,0,0,0,0,0,26,0.0535714,0.107143,,1.30336,1.39597,0.928571,1,0.962963,26,2,0
HOBBIES_1_025__CA_1,intermittent,28,0.340335,0.68067,,0.855229,0.983922,0,0,0,0,0,15,0.340335,0.68067,,0.855229,0.983922,0,0,0,0,0,15
HOBBIES_1_026__CA_1,lumpy,28,0.126088,0.252177,,0.995647,0.995647,0,0,0,0,0,21,0.125,0.25,,0.995647,0.995647,0.75,1,0.857143,21,7,0
HOBBIES_1_027__CA_1,intermittent,28,0.285815,0.571631,,0.749528,0.865617,0,0,0,0,0,20,0.285815,0.571631,,0.749528,0.865617,0,0,0,0,0,20
