series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.428095,0.856191,,0.818666,1.2736,0,0,0,0,0,12,0.428095,0.856191,,0.818666,1.2736,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.181186,0.362372,,0.665284,0.665332,0,0,0,0,0,26,0.0357143,0.0714286,,0.665284,0.665332,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.299445,0.59889,,0.881929,0.978439,0,0,0,0,0,15,0.296169,0.592337,,0.881929,0.978439,0.52,0.866667,0.65,13,12,2
HOBBIES_1_004__CA_1,lumpy,28,0.788447,1.57689,,1.31805,1.64249,0,0,0,0,0,9,0.788447,1.57689,,1.31805,1.64249,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.440246,0.880492,,0.841941,1.40154,0,0,0,0,0,7,0.440246,0.880492,,0.841941,1.40154,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.503971,1.00794,,0.831829,1.26886,0,0,0,0,0,19,0.503971,1.00794,,0.831829,1.26886,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.246588,0.493177,,0.782495,0.844076,0,0,0,0,0,18,0.196429,0.392857,,0.782495,0.844076,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.32254,6.64507,,6.71471,10.8467,0,0,0,0,0,4,3.32254,6.64507,,6.71471,10.8467,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.523162,1.04632,,1.99035,2.87632,0,0,0,0,0,18,0.514054,1.02811,,1.99035,2.87632,0.545455,0.333333,0.413793,6,5,12
HOBBIES_1_010__CA_1,intermittent,28,0.364597,0.729193,,0.987429,1.15129,0,0,0,0,0,15,0.387336,0.774673,,0.987429,1.15129,0.4,0.4,0.4,6,9,9
HOBBIES_1_011__CA_1,intermittent,28,0.09361,0.18722,,0.799743,0.799743,0,0,0,0,0,27,0.0178571,0.0357143,,0.799743,0.799743,0.964286,1,0.981818,27,1,0
