series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.464286,0.928571,,0.9375,1.34629,0.2,0.0833333,0.117647,1,4,11,0.464286,0.928571,,0.9375,1.34629,0.2,0.0833333,0.117647,1,4,11
HOBBIES_1_002__CA_1,intermittent,28,0.0357143,0.0714286,,1,1,0.928571,1,0.962963,26,2,0,0.0357143,0.0714286,,1,1,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.285714,0.571429,,1.23077,1.30089,0.535714,1,0.697674,15,13,0,0.285714,0.571429,,1.23077,1.30089,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.821429,1.64286,,1.47368,1.97351,0,0,0,0,0,9,0.821429,1.64286,,1.47368,1.97351,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.428571,0.857143,,0.857143,1.41421,0.5,0.142857,0.222222,1,1,6,0.428571,0.857143,,0.857143,1.41421,0.5,0.142857,0.222222,1,1,6
HOBBIES_1_006__CA_1,intermittent,28,0.5,1,,1,1.45297,0,0,0,0,1,19,0.5,1,,1,1.45297,0,0,0,0,1,19
HOBBIES_1_007__CA_1,intermittent,28,0.196429,0.392857,,1.1,1.14018,0.642857,1,0.782609,18,10,0,0.196429,0.392857,,1.1,1.14018,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,4.125,8.25,,9.20833,13.3276,0.222222,0.5,0.307692,2,7,2,4.125,8.25,,9.20833,13.3276,0.222222,0.5,0.307692,2,7,2
HOBBIES_1_009__CA_1,lumpy,28,0.446429,0.892857,,2.5,3.27109,0.642857,1,0.782609,18,10,0,0.446429,0.892857,,2.5,3.27109,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.339286,0.678571,,1.46154,1.59326,0.535714,1,0.697674,15,13,0,0.339286,0.678571,,1.46154,1.59326,0.535714,1,0.697674,15,13,0
HOBBIES_1_011__CA_1,intermittent,28,0.0178571,0.0357143,,1,1,0.964286,1,0.981818,27,1,0,0.0178571,0.0357143,,1,1,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.0892857,0.178571,,1,1,0.821429,1,0.901961,23,5,0,0.0892857,0.178571,,1,1,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.25,0.5,,1.27273,1.3484,0.607143,1,0.755556,17,11,0,0.25,0.5,,1.27273,1.3484,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.482143,0.964286,,0.85,1.1619,0,0,0,0,0,8,0.482143,0.964286,,0.85,1.1619,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.05357,2.10714,,1.91667,2.5658,0,0,0,0,0,4,1.05357,2.10714,,1.91667,2.5658,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.91071,3.82143,,3.76923,6.78233,0,0,0,0,0,2,1.91071,3.82143,,3.76923,6.78233,0,0,0,0,0,2
