series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.517051,1.0341,,1.49667,1.7909,0,0,0,0,0,12,0.532416,1.06483,,1.49667,1.7909,0.3,0.5,0.375,6,14,6
HOBBIES_1_002__CA_1,intermittent,28,0.0357889,0.0715778,,1.00012,1.00012,0,0,0,0,0,26,0.0357143,0.0714286,,1.00012,1.00012,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.285853,0.571707,,1.23102,1.30112,0,0,0,0,0,15,0.285714,0.571429,,1.23102,1.30112,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.789738,1.57948,,1.62168,2.30376,0,0,0,0,0,9,0.789738,1.57948,,1.62168,2.30376,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.648497,1.29699,,1.61646,1.94051,0,0,0,0,0,7,0.650677,1.30135,,1.61646,1.94051,0.238095,0.714286,0.357143,5,16,2
HOBBIES_1_006__CA_1,intermittent,28,0.344556,0.689112,,1.68708,2.00753,0,0,0,0,0,19,0.331479,0.662958,,1.68708,2.00753,0.652174,0.789474,0.714286,15,8,4
HOBBIES_1_007__CA_1,intermittent,28,0.195466,0.390932,,1.09214,1.13065,0,0,0,0,0,18,0.196429,0.392857,,1.09214,1.13065,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.40749,6.81499,,6.89864,11.1432,0,0,0,0,0,4,3.40749,6.81499,,6.89864,11.1432,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.446472,0.892944,,2.50009,3.27117,0,0,0,0,0,18,0.446429,0.892857,,2.50009,3.27117,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.340441,0.680881,,1.46227,1.59376,0,0,0,0,0,15,0.339286,0.678571,,1.46227,1.59376,0.535714,1,0.697674,15,13,0
HOBBIES_1_011__CA_1,intermittent,28,0.0178996,0.0357991,,1.00004,1.00004,0,0,0,0,0,27,0.0178571,0.0357143,,1.00004,1.00004,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.0893305,0.178661,,1.00006,1.00006,0,0,0,0,0,23,0.0892857,0.178571,,1.00006,1.00006,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.252734,0.505467,,1.27111,1.34756,0,0,0,0,0,17,0.25,0.5,,1.27111,1.34756,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.6013,1.2026,,1.34651,1.68132,0,0,0,0,0,8,0.60848,1.21696,,1.34651,1.68132,0.25,0.125,0.166667,1,3,7
HOBBIES_1_015__CA_1,erratic,28,0.948721,1.89744,,1.84059,2.84035,0,0,0,0,0,4,0.948721,1.89744,,1.84059,2.84035,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.85985,3.7197,,3.66124,6.53724,0,0,0,0,0,2,1.85985,3.7197,,3.66124,6.53724,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.700106,1.40021,,2.56554,3.02927,0,0,0,0,0,13,0.696429,1.39286,,2.56554,3.02927,0.464286,1,0.634146,13,15,0
HOBBIES_1_018__CA_1,intermittent,28,3.06242e-14,6.12484e-14,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,4.36029,8.72058,,9.35836,12.8613,0,0,0,0,0,2,4.37485,8.7497,,9.35836,12.8613,0.142857,0.5,0.222222,1,6,1
HOBBIES_1_020__CA_1,intermittent,28,0.10721,0.21442,,1.00011,1.00011,0,0,0,0,0,22,0.107143,0.214286,,1.00011,1.00011,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.254395,0.50879,,1.44913,1.6324,0,0,0,0,0,20,0.234285,0.46857,,1.44913,1.6324,0.692308,0.9,0.782609,18,8,2
HOBBIES_1_022__CA_1,intermittent,28,0.232254,0.464508,,1.30025,1.44934,0,0,0,0,0,18,0.232143,0.464286,,1.30025,1.44934,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.667714,1.33543,,1.99697,2.37857,0,0,0,0,0,10,0.696194,1.39239,,1.99697,2.37857,0.333333,0.8,0.470588,8,16,2
HOBBIES_1_024__CA_1,intermittent,28,0.0536314,0.107263,,1.50013,1.58127,0,0,0,0,0,26,0.0535714,0.107143,,1.50013,1.58127,0.928571,1,0.962963,26,2,0
HOBBIES_1_025__CA_1,intermittent,28,0.334883,0.669765,,1.34238,1.43076,0,0,0,0,0,15,0.321429,0.642857,,1.34238,1.43076,0.535714,1,0.697674,15,13,0
HOBBIES_1_026__CA_1,lumpy,28,0.125053,0.250107,,1.00009,1.00009,0,0,0,0,0,21,0.125,0.25,,1.00009,1.00009,0.75,1,0.857143,21,7,0
HOBBIES_1_027__CA_1,intermittent,28,0.191882,0.383764,,1.20929,1.29536,0,0,0,0,0,20,0.178571,0.357143,,1.20929,1.29536,0.714286,1,0.833333,20,8,0
HOBBIES_1_028__CA_1,intermittent,28,0.309046,0.618092,,0.887698,0.954148,0,0,0,0,0,11,0.325799,0.651597,,0.887698,0.954148,0.391304,0.818182,0.529412,9,14,2
HOBBIES_1_029__CA_1,intermittent,28,0.695126,1.39025,,1.61448,2.07454,0,0,0,0,0,10,0.69894,1.39788,,1.61448,2.07454,0.25,0.1,0.142857,1,3,9
HOBBIES_1_030__CA_1,lumpy,28,3.16605,6.3321,,6.71407,8.57949,0,0,0,0,0,13,3.16605,6.3321,,6.71407,8.57949,0,0,0,0,0,13
HOBBIES_1_031__CA_1,intermittent,28,0.128298,0.256595,,0.948298,0.951222,0,0,0,0,0,21,0.125,0.25,,0.948298,0.951222,0.75,1,0.857143,21,7,0
HOBBIES_1_032__CA_1,lumpy,28,1.52215,3.0443,,3.18219,3.97131,0,0,0,0,0,14,1.52215,3.0443,,3.18219,3.97131,0,0,0,0,0,14
HOBBIES_1_033__CA_1,intermittent,28,0.0963295,0.192659,,1.00023,1.00023,0,0,0,0,0,23,0.0892857,0.178571,,1.00023,1.00023,0.821429,1,0.901961,23,5,0
HOBBIES_1_034__CA_1,intermittent,28,0.29011,0.58022,,1.2941,1.37136,0,0,0,0,0,17,0.275973,0.551947,,1.2941,1.37136,0.62963,1,0.772727,17,10,0
HOBBIES_1_035__CA_1,intermittent,28,0.125017,0.250033,,1.00003,1.00003,0,0,0,0,0,21,0.125,0.25,,1.00003,1.00003,0.75,1,0.857143,21,7,0
HOBBIES_1_036__CA_1,lumpy,28,0.51036,1.02072,,2.80028,3.25593,0,0,0,0,0,18,0.5,1,,2.80028,3.25593,0.642857,1,0.782609,18,10,0
HOBBIES_1_037__CA_1,intermittent,28,0.34649,0.692979,,1.17202,1.31589,0,0,0,0,0,13,0.339286,0.678571,,1.17202,1.31589,0.464286,1,0.634146,13,15,0
HOBBIES_1_038__CA_1,intermittent,28,0.28594,0.571879,,1.57425,1.83037,0,0,0,0,0,18,0.285714,0.571429,,1.57425,1.83037,0.642857,1,0.782609,18,10,0
HOBBIES_1_039__CA_1,intermittent,28,0.0893452,0.17869,,1.00014,1.00014,0,0,0,0,0,23,0.0892857,0.178571,,1.00014,1.00014,0.821429,1,0.901961,23,5,0
HOBBIES_1_040__CA_1,intermittent,28,0.411415,0.82283,,1.36241,1.62684,0,0,0,0,0,12,0.443953,0.887907,,1.36241,1.62684,0.52381,0.916667,0.666667,11,10,1
HOBBIES_1_041__CA_1,intermittent,28,0.107269,0.214538,,1.50027,1.58138,0,0,0,0,0,24,0.107143,0.214286,,1.50027,1.58138,0.857143,1,0.923077,24,4,0
HOBBIES_1_042__CA_1,intermittent,28,0.281773,0.563547,,1.3093,1.56746,0,0,0,0,0,16,0.285714,0.571429,,1.3093,1.56746,0.571429,1,0.727273,16,12,0
HOBBIES_1_043__CA_1,lumpy,28,0.786759,1.57352,,2.00492,2.66547,0,0,0,0,0,14,0.777979,1.55596,,2.00492,2.66547,1,0.0714286,0.133333,1,0,13
HOBBIES_1_044__CA_1,intermittent,28,0.250806,0.501611,,1.71992,2.38628,0,0,0,0,0,20,0.25,0.5,,1.71992,2.38628,0.714286,1,0.833333,20,8,0
HOBBIES_1_045__CA_1,intermittent,28,0.142617,0.285234,,1.39975,1.48315,0,0,0,0,0,23,0.125,0.25,,1.39975,1.48315,0.821429,1,0.901961,23,5,0
HOBBIES_1_046__CA_1,na,28,0.435881,0.871763,,1.22976,1.35612,0,0,0,0,0,9,0.434296,0.868592,,1.22976,1.35612,0.375,1,0.545455,9,15,0
HOBBIES_1_047__CA_1,lumpy,28,0.571528,1.14306,,2.66689,3.95822,0,0,0,0,0,16,0.571429,1.14286,,2.66689,3.95822,0.571429,1,0.727273,16,12,0
HOBBIES_1_048__CA_1,lumpy,28,4.39634,8.79269,,8.79269,12.8409,0,0,0,0,0,0,4.39634,8.79269,,8.79269,12.8409,0,0,0,0,0,0
HOBBIES_1_049__CA_1,intermittent,28,0.236454,0.472909,,1.13576,1.28224,0,0,0,0,0,17,0.232143,0.464286,,1.13576,1.28224,0.607143,1,0.755556,17,11,0
HOBBIES_1_050__CA_1,intermittent,28,0.798144,1.59629,,1.85696,2.66714,0,0,0,0,0,5,0.82415,1.6483,,1.85696,2.66714,0.4,0.8,0.533333,4,6,1
HOBBIES_1_051__CA_1,intermittent,28,0.0893646,0.178729,,1.00016,1.00016,0,0,0,0,0,23,0.0892857,0.178571,,1.00016,1.00016,0.821429,1,0.901961,23,5,0
HOBBIES_1_052__CA_1,intermittent,28,0.107165,0.214331,,1.00005,1.00005,0,0,0,0,0,22,0.107143,0.214286,,1.00005,1.00005,0.785714,1,0.88,22,6,0
HOBBIES_1_053__CA_1,intermittent,28,0.10716,0.21432,,6.00004,6.00004,0,0,0,0,0,27,0.107143,0.214286,,6.00004,6.00004,0.964286,1,0.981818,27,1,0
HOBBIES_1_054__CA_1,intermittent,28,0.0358146,0.0716292,,1.00021,1.00021,0,0,0,0,0,26,0.0357143,0.0714286,,1.00021,1.00021,0.928571,1,0.962963,26,2,0
HOBBIES_1_055__CA_1,intermittent,28,0.685234,1.37047,,1.35007,2.11989,0,0,0,0,0,2,0.685234,1.37047,,1.35007,2.11989,0,0,0,0,0,2
HOBBIES_1_056__CA_1,intermittent,28,0.668511,1.33702,,1.68015,2.14347,0,0,0,0,0,9,0.686125,1.37225,,1.68015,2.14347,0.25,0.444444,0.32,4,12,5
HOBBIES_1_057__CA_1,intermittent,28,0.323695,0.64739,,1.17077,1.24338,0,0,0,0,0,13,0.321429,0.642857,,1.17077,1.24338,0.464286,1,0.634146,13,15,0
HOBBIES_1_058__CA_1,intermittent,28,0.17877,0.357539,,1.42886,1.60383,0,0,0,0,0,21,0.178571,0.357143,,1.42886,1.60383,0.75,1,0.857143,21,7,0
