series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.478456,0.956911,,0.902268,1.3041,0,0,0,0,0,12,0.486806,0.973613,,0.902268,1.3041,0,0,0,0,1,12
HOBBIES_1_002__CA_1,intermittent,28,0.187662,0.375323,,0.334775,0.335475,1,0.0384615,0.0740741,1,0,25,0.116113,0.232226,,0.334775,0.335475,1,0.730769,0.844444,19,0,7
HOBBIES_1_003__CA_1,intermittent,28,0.307323,0.614647,,0.557498,0.702998,0,0,0,0,0,15,0.290595,0.581189,,0.557498,0.702998,1,0.133333,0.235294,2,0,13
HOBBIES_1_004__CA_1,lumpy,28,0.755332,1.51066,,1.45824,1.91792,1,0.111111,0.2,1,0,8,0.755799,1.5116,,1.45824,1.91792,0.666667,0.222222,0.333333,2,1,7
HOBBIES_1_005__CA_1,intermittent,28,0.574098,1.1482,,1.21119,1.62717,0,0,0,0,6,7,0.577627,1.15525,,1.21119,1.62717,0.2,0.285714,0.235294,2,8,5
HOBBIES_1_006__CA_1,intermittent,28,0.532761,1.06552,,1.09623,1.47827,1,0.0526316,0.1,1,0,18,0.538908,1.07782,,1.09623,1.47827,0.6,0.157895,0.25,3,2,16
HOBBIES_1_007__CA_1,intermittent,28,0.230859,0.461718,,0.790587,0.860229,0.5,0.0555556,0.1,1,1,17,0.198144,0.396287,,0.790587,0.860229,0.653846,0.944444,0.772727,17,9,1
HOBBIES_1_008__CA_1,lumpy,28,3.62113,7.24226,,6.93437,9.37959,0,0,0,0,1,4,3.62113,7.24226,,6.93437,9.37959,0,0,0,0,1,4
HOBBIES_1_009__CA_1,lumpy,28,0.733836,1.46767,,2.204,2.89632,0.615385,0.444444,0.516129,8,5,10,0.727397,1.45479,,2.204,2.89632,0.588235,0.555556,0.571429,10,7,8
HOBBIES_1_010__CA_1,intermittent,28,0.337243,0.674486,,0.878395,1.07312,0.75,0.2,0.315789,3,1,12,0.331032,0.662064,,0.878395,1.07312,0.7,0.466667,0.56,7,3,8
