series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.428523,0.857046,,0.819599,1.27474,0,0,0,0,0,12,0.428523,0.857046,,0.819599,1.27474,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.173312,0.346625,,0.660029,0.660064,1,0.0769231,0.142857,2,0,24,0.0357143,0.0714286,,0.660029,0.660064,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.300161,0.600321,,0.882628,0.978624,0,0,0,0,0,15,0.304662,0.609325,,0.882628,0.978624,0.5,0.866667,0.634146,13,13,2
HOBBIES_1_004__CA_1,lumpy,28,0.82472,1.64944,,1.42056,1.764,0,0,0,0,1,9,0.82472,1.64944,,1.42056,1.764,0,0,0,0,1,9
HOBBIES_1_005__CA_1,intermittent,28,0.640757,1.28151,,1.66366,2.0559,0.25,0.857143,0.387097,6,18,1,0.640757,1.28151,,1.66366,2.0559,0.25,0.857143,0.387097,6,18,1
HOBBIES_1_006__CA_1,intermittent,28,0.350438,0.700877,,1.73298,2.01522,0.666667,0.842105,0.744186,16,8,3,0.350438,0.700877,,1.73298,2.01522,0.666667,0.842105,0.744186,16,8,3
HOBBIES_1_007__CA_1,intermittent,28,0.247131,0.494262,,0.785123,0.846413,0,0,0,0,0,18,0.196429,0.392857,,0.785123,0.846413,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,4.09534,8.19068,,8.89847,13.4319,0.0833333,0.5,0.142857,2,22,2,4.09534,8.19068,,8.89847,13.4319,0.0833333,0.5,0.142857,2,22,2
HOBBIES_1_009__CA_1,lumpy,28,0.446429,0.892857,,2.5,3.27109,0.642857,1,0.782609,18,10,0,0.446429,0.892857,,2.5,3.27109,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.339286,0.678571,,1.46154,1.59326,0.535714,1,0.697674,15,13,0,0.339286,0.678571,,1.46154,1.59326,0.535714,1,0.697674,15,13,0
HOBBIES_1_011__CA_1,intermittent,28,0.0779742,0.155948,,0.797925,0.797925,1,0.259259,0.411765,7,0,20,0.0178571,0.0357143,,0.797925,0.797925,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.0892857,0.178571,,1,1,0.821429,1,0.901961,23,5,0,0.0892857,0.178571,,1,1,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.261868,0.523736,,1.1803,1.26505,0.6,0.705882,0.648649,12,8,5,0.25,0.5,,1.1803,1.26505,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.552162,1.10432,,0.854718,1.13107,0,0,0,0,0,8,0.552162,1.10432,,0.854718,1.13107,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.41071,2.82143,,3.29167,4.18828,0.142857,1,0.25,4,24,0,1.41071,2.82143,,3.29167,4.18828,0.142857,1,0.25,4,24,0
HOBBIES_1_016__CA_1,erratic,28,3.01786,6.03571,,6.5,8.98075,0.0714286,1,0.133333,2,26,0,3.01786,6.03571,,6.5,8.98075,0.0714286,1,0.133333,2,26,0
HOBBIES_1_017__CA_1,intermittent,28,0.696429,1.39286,,2.6,3.04412,0.464286,1,0.634146,13,15,0,0.696429,1.39286,,2.6,3.04412,0.464286,1,0.634146,13,15,0
HOBBIES_1_018__CA_1,intermittent,28,0,0,,,,1,1,1,28,0,0,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,3.35132,6.70264,,6.82388,10.6668,0,0,0,0,0,2,3.35132,6.70264,,6.82388,10.6668,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.107143,0.214286,,1,1,0.785714,1,0.88,22,6,0,0.107143,0.214286,,1,1,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.318707,0.637413,,1.38695,1.62054,0.631579,0.6,0.615385,12,7,8,0.318707,0.637413,,1.38695,1.62054,0.631579,0.6,0.615385,12,7,8
HOBBIES_1_022__CA_1,intermittent,28,0.232143,0.464286,,1.3,1.44914,0.642857,1,0.782609,18,10,0,0.232143,0.464286,,1.3,1.44914,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.696429,1.39286,,2.16667,2.50555,0.357143,1,0.526316,10,18,0,0.696429,1.39286,,2.16667,2.50555,0.357143,1,0.526316,10,18,0
HOBBIES_1_024__CA_1,intermittent,28,0.0535714,0.107143,,1.5,1.58114,0.928571,1,0.962963,26,2,0,0.0535714,0.107143,,1.5,1.58114,0.928571,1,0.962963,26,2,0
HOBBIES_1_025__CA_1,intermittent,28,0.298162,0.596324,,1.28439,1.38462,0.576923,1,0.731707,15,11,0,0.298162,0.596324,,1.28439,1.38462,0.576923,1,0.731707,15,11,0
HOBBIES_1_026__CA_1,lumpy,28,0.169408,0.338815,,0.836168,0.83626,0,0,0,0,0,21,0.125,0.25,,0.836168,0.83626,0.75,1,0.857143,21,7,0
HOBBIES_1_027__CA_1,intermittent,28,0.272742,0.545483,,0.868125,0.947094,0,0,0,0,0,20,0.201955,0.403911,,0.868125,0.947094,0.727273,0.8,0.761905,16,6,4
HOBBIES_1_028__CA_1,intermittent,28,0.339286,0.678571,,1.11765,1.16316,0.392857,1,0.564103,11,17,0,0.339286,0.678571,,1.11765,1.16316,0.392857,1,0.564103,11,17,0
HOBBIES_1_029__CA_1,intermittent,28,0.734393,1.46879,,1.47666,1.79407,0.285714,0.2,0.235294,2,5,8,0.734393,1.46879,,1.47666,1.79407,0.285714,0.2,0.235294,2,5,8
HOBBIES_1_030__CA_1,lumpy,28,3.09748,6.19496,,7.17006,8.82044,0,0,0,0,0,13,3.09748,6.19496,,7.17006,8.82044,0,0,0,0,0,13
HOBBIES_1_031__CA_1,intermittent,28,0.125,0.25,,1,1,0.75,1,0.857143,21,7,0,0.125,0.25,,1,1,0.75,1,0.857143,21,7,0
HOBBIES_1_032__CA_1,lumpy,28,1.44643,2.89286,,5.78571,6.39754,0.5,1,0.666667,14,14,0,1.44643,2.89286,,5.78571,6.39754,0.5,1,0.666667,14,14,0
HOBBIES_1_033__CA_1,intermittent,28,0.210394,0.420789,,0.608627,0.610074,0,0,0,0,0,23,0.0982945,0.196589,,0.608627,0.610074,0.814815,0.956522,0.88,22,5,1
HOBBIES_1_034__CA_1,intermittent,28,0.341909,0.683817,,1.12968,1.31238,0.583333,0.411765,0.482759,7,5,10,0.349859,0.699717,,1.12968,1.31238,0.538462,0.411765,0.466667,7,6,10
HOBBIES_1_035__CA_1,intermittent,28,0.125,0.25,,1,1,0.75,1,0.857143,21,7,0,0.125,0.25,,1,1,0.75,1,0.857143,21,7,0
HOBBIES_1_036__CA_1,lumpy,28,0.5,1,,2.8,3.25576,0.642857,1,0.782609,18,10,0,0.5,1,,2.8,3.25576,0.642857,1,0.782609,18,10,0
HOBBIES_1_037__CA_1,intermittent,28,0.339286,0.678571,,1.26667,1.39044,0.464286,1,0.634146,13,15,0,0.339286,0.678571,,1.26667,1.39044,0.464286,1,0.634146,13,15,0
HOBBIES_1_038__CA_1,intermittent,28,0.285714,0.571429,,1.6,1.84391,0.642857,1,0.782609,18,10,0,0.285714,0.571429,,1.6,1.84391,0.642857,1,0.782609,18,10,0
HOBBIES_1_039__CA_1,intermittent,28,0.142818,0.285637,,0.860669,0.864065,0.666667,0.0869565,0.153846,2,1,21,0.0892857,0.178571,,0.860669,0.864065,0.821429,1,0.901961,23,5,0
HOBBIES_1_040__CA_1,intermittent,28,0.37596,0.751921,,0.9925,1.25347,0.75,0.5,0.6,6,2,6,0.37596,0.751921,,0.9925,1.25347,0.75,0.5,0.6,6,2,6
HOBBIES_1_041__CA_1,intermittent,28,0.107143,0.214286,,1.5,1.58114,0.857143,1,0.923077,24,4,0,0.107143,0.214286,,1.5,1.58114,0.857143,1,0.923077,24,4,0
HOBBIES_1_042__CA_1,intermittent,28,0.285714,0.571429,,1.33333,1.58114,0.571429,1,0.727273,16,12,0,0.285714,0.571429,,1.33333,1.58114,0.571429,1,0.727273,16,12,0
HOBBIES_1_043__CA_1,lumpy,28,0.821429,1.64286,,3.28571,3.87298,0.5,1,0.666667,14,14,0,0.821429,1.64286,,3.28571,3.87298,0.5,1,0.666667,14,14,0
HOBBIES_1_044__CA_1,intermittent,28,0.25,0.5,,1.75,2.39792,0.714286,1,0.833333,20,8,0,0.25,0.5,,1.75,2.39792,0.714286,1,0.833333,20,8,0
HOBBIES_1_045__CA_1,intermittent,28,0.228106,0.456211,,1.10749,1.21587,0,0,0,0,0,23,0.125,0.25,,1.10749,1.21587,0.821429,1,0.901961,23,5,0
HOBBIES_1_046__CA_1,na,28,0.342624,0.685249,,0.649884,0.872985,0,0,0,0,0,9,0.342624,0.685249,,0.649884,0.872985,0,0,0,0,0,9
HOBBIES_1_047__CA_1,lumpy,28,0.571429,1.14286,,2.66667,3.95811,0.571429,1,0.727273,16,12,0,0.571429,1.14286,,2.66667,3.95811,0.571429,1,0.727273,16,12,0
HOBBIES_1_048__CA_1,lumpy,28,4.53366,9.06732,,9.06732,13.1015,0,0,0,0,0,0,4.53366,9.06732,,9.06732,13.1015,0,0,0,0,0,0
HOBBIES_1_049__CA_1,intermittent,28,0.28501,0.570021,,0.755224,0.94101,0,0,0,0,0,17,0.272902,0.545804,,0.755224,0.94101,0.55,0.647059,0.594595,11,9,6
HOBBIES_1_050__CA_1,intermittent,28,0.732709,1.46542,,1.51614,2.34654,0,0,0,0,0,5,0.732709,1.46542,,1.51614,2.34654,0,0,0,0,0,5
HOBBIES_1_051__CA_1,intermittent,28,0.159755,0.319511,,0.906645,0.9102,0.333333,0.0434783,0.0769231,1,2,22,0.0892857,0.178571,,0.906645,0.9102,0.821429,1,0.901961,23,5,0
