series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.439341,0.878683,,1.0752,1.45553,0,0,0,0,0,12,0.439341,0.878683,,1.0752,1.45553,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.146729,0.293458,,0.741019,0.741019,0,0,0,0,0,26,0.0357143,0.0714286,,0.741019,0.741019,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.294641,0.589282,,1.04196,1.12381,0,0,0,0,0,15,0.285714,0.571429,,1.04196,1.12381,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.780615,1.56123,,1.32146,1.78021,0,0,0,0,0,9,0.780615,1.56123,,1.32146,1.78021,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.436061,0.872122,,0.815616,1.37414,0,0,0,0,0,7,0.436061,0.872122,,0.815616,1.37414,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.511424,1.02285,,0.897954,1.36364,0,0,0,0,0,19,0.511424,1.02285,,0.897954,1.36364,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.239466,0.478931,,0.79938,0.853184,0,0,0,0,0,18,0.196429,0.392857,,0.79938,0.853184,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.43661,6.87323,,6.93906,10.874,0,0,0,0,0,4,3.43661,6.87323,,6.93906,10.874,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.52252,1.04504,,1.99126,2.89543,0,0,0,0,0,18,0.504769,1.00954,,1.99126,2.89543,0.6,0.333333,0.428571,6,4,12
HOBBIES_1_010__CA_1,intermittent,28,0.361218,0.722436,,0.954258,1.14326,0,0,0,0,0,15,0.396421,0.792842,,0.954258,1.14326,0.25,0.133333,0.173913,2,6,13
HOBBIES_1_011__CA_1,intermittent,28,0.0735269,0.147054,,0.880475,0.880475,0,0,0,0,0,27,0.0178571,0.0357143,,0.880475,0.880475,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.180995,0.361991,,0.714879,0.715046,0,0,0,0,0,23,0.0892857,0.178571,,0.714879,0.715046,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.285145,0.57029,,0.946148,1.0457,0,0,0,0,0,17,0.25,0.5,,0.946148,1.0457,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.555694,1.11139,,0.91769,1.19892,0,0,0,0,0,8,0.555694,1.11139,,0.91769,1.19892,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.11317,2.22634,,2.01315,2.6142,0,0,0,0,0,4,1.11317,2.22634,,2.01315,2.6142,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.84023,3.68046,,3.53518,6.27111,0,0,0,0,0,2,1.84023,3.68046,,3.53518,6.27111,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.671984,1.34397,,1.55053,2.17614,0,0,0,0,0,13,0.671984,1.34397,,1.55053,2.17614,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,0.00357084,0.00714167,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,3.14611,6.29222,,6.36285,10.3528,0,0,0,0,0,2,3.14611,6.29222,,6.36285,10.3528,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.188959,0.377919,,0.722435,0.722483,0,0,0,0,0,22,0.107143,0.214286,,0.722435,0.722483,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.367219,0.734439,,0.787563,1.05868,0,0,0,0,0,20,0.367219,0.734439,,0.787563,1.05868,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.286292,0.572585,,0.920483,1.12326,0,0,0,0,0,18,0.232143,0.464286,,0.920483,1.12326,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.558041,1.11608,,1.19786,1.73692,0,0,0,0,0,10,0.558041,1.11608,,1.19786,1.73692,0,0,0,0,0,10
HOBBIES_1_024__CA_1,intermittent,28,0.135955,0.271909,,1.29681,1.38806,0,0,0,0,0,26,0.0535714,0.107143,,1.29681,1.38806,0.928571,1,0.962963,26,2,0
HOBBIES_1_025__CA_1,intermittent,28,0.343648,0.687296,,0.777664,0.918124,0,0,0,0,0,15,0.343648,0.687296,,0.777664,0.918124,0,0,0,0,0,15
HOBBIES_1_026__CA_1,lumpy,28,0.12824,0.25648,,0.987067,0.987067,0,0,0,0,0,21,0.125,0.25,,0.987067,0.987067,0.75,1,0.857143,21,7,0
HOBBIES_1_027__CA_1,intermittent,28,0.319371,0.638742,,0.589917,0.733299,0,0,0,0,0,20,0.319371,0.638742,,0.589917,0.733299,0,0,0,0,0,20
HOBBIES_1_028__CA_1,intermittent,28,0.258536,0.517073,,0.366032,0.48965,0,0,0,0,0,11,0.258536,0.517073,,0.366032,0.48965,0,0,0,0,0,11
HOBBIES_1_029__CA_1,intermittent,28,0.720929,1.44186,,1.35587,1.68301,0,0,0,0,0,10,0.720929,1.44186,,1.35587,1.68301,0,0,0,0,0,10
HOBBIES_1_030__CA_1,lumpy,28,3.12413,6.24826,,7.2004,9.06533,0,0,0,0,0,13,3.12413,6.24826,,7.2004,9.06533,0,0,0,0,0,13
HOBBIES_1_031__CA_1,intermittent,28,0.22993,0.45986,,0.581439,0.581439,0,0,0,0,0,21,0.125,0.25,,0.581439,0.581439,0.75,1,0.857143,21,7,0
HOBBIES_1_032__CA_1,lumpy,28,1.67671,3.35341,,2.20934,3.05938,0,0,0,0,0,14,1.67671,3.35341,,2.20934,3.05938,0,0,0,0,0,14
