series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.467767,0.935534,,0.741818,1.17628,0,0,0,0,0,12,0.467767,0.935534,,0.741818,1.17628,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.532152,1.0643,,0.229842,0.232582,0,0,0,0,0,26,0.532152,1.0643,,0.229842,0.232582,0,0,0,0,0,26
HOBBIES_1_003__CA_1,intermittent,28,0.321671,0.643341,,0.358868,0.581603,0,0,0,0,0,15,0.321671,0.643341,,0.358868,0.581603,0,0,0,0,0,15
HOBBIES_1_004__CA_1,lumpy,28,0.823899,1.6478,,1.28939,1.64943,0,0,0,0,0,9,0.823899,1.6478,,1.28939,1.64943,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.52094,1.04188,,1.15183,1.63039,0,0,0,0,0,7,0.529433,1.05887,,1.15183,1.63039,0,0,0,0,1,7
HOBBIES_1_006__CA_1,intermittent,28,0.553098,1.1062,,0.885051,1.22726,0,0,0,0,0,19,0.553098,1.1062,,0.885051,1.22726,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.276276,0.552552,,0.519389,0.662919,0,0,0,0,0,18,0.237049,0.474098,,0.519389,0.662919,0.75,0.5,0.6,9,3,9
HOBBIES_1_008__CA_1,lumpy,28,3.50206,7.00413,,7.92117,13.0066,0,0,0,0,0,4,3.50206,7.00413,,7.92117,13.0066,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.499388,0.998775,,2.11471,2.94962,0,0,0,0,0,18,0.436892,0.873784,,2.11471,2.94962,0.666667,1,0.8,18,9,0
HOBBIES_1_010__CA_1,intermittent,28,0.448167,0.896334,,0.604257,0.798271,0,0,0,0,0,15,0.448167,0.896334,,0.604257,0.798271,0,0,0,0,0,15
HOBBIES_1_011__CA_1,intermittent,28,0.506818,1.01364,,0.221118,0.221118,0,0,0,0,0,27,0.506818,1.01364,,0.221118,0.221118,0,0,0,0,0,27
HOBBIES_1_012__CA_1,intermittent,28,0.421961,0.843921,,0.212353,0.235188,0,0,0,0,0,23,0.421961,0.843921,,0.212353,0.235188,0,0,0,0,0,23
HOBBIES_1_013__CA_1,intermittent,28,0.428056,0.856112,,0.448814,0.658039,0,0,0,0,0,17,0.428056,0.856112,,0.448814,0.658039,0,0,0,0,0,17
HOBBIES_1_014__CA_1,intermittent,28,0.557481,1.11496,,1.10991,1.52789,0,0,0,0,0,8,0.557481,1.11496,,1.10991,1.52789,0,0,0,0,0,8
