series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.446727,0.893455,,0.7672,1.19889,0,0,0,0,0,12,0.447034,0.894068,,0.7672,1.19889,0,0,0,0,1,12
HOBBIES_1_002__CA_1,intermittent,28,0.274261,0.548521,,0.340643,0.474849,1,0.0384615,0.0740741,1,0,25,0.246418,0.492836,,0.340643,0.474849,0.923077,0.461538,0.615385,12,1,14
HOBBIES_1_003__CA_1,intermittent,28,0.285726,0.571452,,1.23053,1.30065,0.2,0.0666667,0.1,1,4,14,0.285714,0.571429,,1.23053,1.30065,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.760114,1.52023,,1.25915,1.5689,0,0,0,0,0,9,0.760114,1.52023,,1.25915,1.5689,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.512147,1.02429,,0.899059,1.42588,0,0,0,0,0,7,0.512147,1.02429,,0.899059,1.42588,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.374275,0.74855,,1.17925,1.66256,0,0,0,0,0,19,0.374039,0.748078,,1.17925,1.66256,0.8,0.421053,0.551724,8,2,11
HOBBIES_1_007__CA_1,intermittent,28,0.253943,0.507885,,0.484169,0.620985,0,0,0,0,0,18,0.235418,0.470835,,0.484169,0.620985,0.666667,0.555556,0.606061,10,5,8
HOBBIES_1_008__CA_1,lumpy,28,3.30064,6.60127,,6.80265,11.3653,0,0,0,0,0,4,3.30064,6.60127,,6.80265,11.3653,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.446434,0.892868,,2.49998,3.27107,0.428571,0.166667,0.24,3,4,15,0.446429,0.892857,,2.49998,3.27107,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.340608,0.681216,,0.995595,1.25271,0,0,0,0,0,15,0.344039,0.688078,,0.995595,1.25271,0.615385,0.533333,0.571429,8,5,7
HOBBIES_1_011__CA_1,intermittent,28,0.229054,0.458108,,0.535287,0.535287,1,0.037037,0.0714286,1,0,26,0.154544,0.309088,,0.535287,0.535287,0.947368,0.666667,0.782609,18,1,9
HOBBIES_1_012__CA_1,intermittent,28,0.0893668,0.178734,,0.999742,0.999742,0,0,0,0,0,23,0.0892857,0.178571,,0.999742,0.999742,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.332394,0.664789,,0.887816,1.00052,0,0,0,0,0,17,0.323975,0.64795,,0.887816,1.00052,0.533333,0.470588,0.5,8,7,9
HOBBIES_1_014__CA_1,intermittent,28,0.804645,1.60929,,1.3471,1.60295,0,0,0,0,0,8,0.804645,1.60929,,1.3471,1.60295,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,0.962957,1.92591,,1.86195,2.80503,0,0,0,0,0,4,0.962957,1.92591,,1.86195,2.80503,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.7668,3.53359,,3.50205,6.54048,0,0,0,0,0,2,1.7668,3.53359,,3.50205,6.54048,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.663714,1.32743,,1.80417,2.43921,0,0,0,0,0,13,0.663492,1.32698,,1.80417,2.43921,0.5,0.230769,0.315789,3,3,10
HOBBIES_1_018__CA_1,intermittent,28,2.20774e-05,4.41548e-05,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,4.8952,9.79041,,10.4808,13.6844,0,0,0,0,0,2,4.96778,9.93557,,10.4808,13.6844,0,0,0,0,14,2
HOBBIES_1_020__CA_1,intermittent,28,0.107143,0.214286,,1,1,0.785714,1,0.88,22,6,0,0.107143,0.214286,,1,1,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.428526,0.857052,,0.879324,1.13619,0,0,0,0,0,20,0.432079,0.864158,,0.879324,1.13619,0.25,0.05,0.0833333,1,3,19
HOBBIES_1_022__CA_1,intermittent,28,0.269186,0.538373,,0.829469,1.24873,0,0,0,0,0,18,0.24439,0.488781,,0.829469,1.24873,0.684211,0.722222,0.702703,13,6,5
HOBBIES_1_023__CA_1,intermittent,28,0.610376,1.22075,,1.55095,1.96111,0,0,0,0,1,10,0.611678,1.22336,,1.55095,1.96111,0.333333,0.2,0.25,2,4,8
HOBBIES_1_024__CA_1,intermittent,28,0.233149,0.466299,,0.801306,1.13018,0,0,0,0,0,26,0.204665,0.409329,,0.801306,1.13018,0.9375,0.576923,0.714286,15,1,11
HOBBIES_1_025__CA_1,intermittent,28,0.37532,0.75064,,0.927792,1.14201,0,0,0,0,0,15,0.373935,0.747869,,0.927792,1.14201,0.454545,0.333333,0.384615,5,6,10
HOBBIES_1_026__CA_1,lumpy,28,0.125008,0.250017,,0.999973,0.999973,1,0.047619,0.0909091,1,0,20,0.125,0.25,,0.999973,0.999973,0.75,1,0.857143,21,7,0
HOBBIES_1_027__CA_1,intermittent,28,0.301655,0.60331,,0.782681,0.960467,0.5,0.05,0.0909091,1,1,19,0.285616,0.571232,,0.782681,0.960467,0.692308,0.45,0.545455,9,4,11
HOBBIES_1_028__CA_1,intermittent,28,0.34305,0.686099,,0.680464,0.80933,0,0,0,0,0,11,0.362523,0.725045,,0.680464,0.80933,0.181818,0.181818,0.181818,2,9,9
HOBBIES_1_029__CA_1,intermittent,28,0.688776,1.37755,,1.15753,1.57548,0,0,0,0,0,10,0.688776,1.37755,,1.15753,1.57548,0,0,0,0,0,10
HOBBIES_1_030__CA_1,lumpy,28,3.16503,6.33005,,7.32729,9.08496,0,0,0,0,0,13,3.16503,6.33005,,7.32729,9.08496,0,0,0,0,0,13
HOBBIES_1_031__CA_1,intermittent,28,0.242155,0.484311,,0.166647,0.27246,0,0,0,0,0,21,0.233018,0.466037,,0.166647,0.27246,0.888889,0.380952,0.533333,8,1,13
HOBBIES_1_032__CA_1,lumpy,28,1.61594,3.23188,,3.25046,4.23633,0,0,0,0,0,14,1.61594,3.23188,,3.25046,4.23633,0,0,0,0,0,14
HOBBIES_1_033__CA_1,intermittent,28,0.204463,0.408927,,0.807664,0.826431,0,0,0,0,0,23,0.138684,0.277369,,0.807664,0.826431,0.791667,0.826087,0.808511,19,5,4
HOBBIES_1_034__CA_1,intermittent,28,0.310294,0.620588,,0.929975,1.21166,0,0,0,0,0,17,0.317414,0.634828,,0.929975,1.21166,0.583333,0.411765,0.482759,7,5,10
HOBBIES_1_035__CA_1,intermittent,28,0.125003,0.250006,,0.999933,0.999933,1,0.190476,0.32,4,0,17,0.125,0.25,,0.999933,0.999933,0.75,1,0.857143,21,7,0
HOBBIES_1_036__CA_1,lumpy,28,0.61506,1.23012,,2.31168,2.90053,0,0,0,0,0,18,0.629929,1.25986,,2.31168,2.90053,0.545455,0.333333,0.413793,6,5,12
HOBBIES_1_037__CA_1,intermittent,28,0.35619,0.71238,,0.630015,0.851257,0,0,0,0,0,13,0.35697,0.71394,,0.630015,0.851257,0.285714,0.153846,0.2,2,5,11
HOBBIES_1_038__CA_1,intermittent,28,0.36266,0.725321,,1.09459,1.50934,0,0,0,0,0,18,0.336671,0.673343,,1.09459,1.50934,0.714286,0.555556,0.625,10,4,8
HOBBIES_1_039__CA_1,intermittent,28,0.0893075,0.178615,,0.999939,0.999939,0,0,0,0,0,23,0.0892857,0.178571,,0.999939,0.999939,0.821429,1,0.901961,23,5,0
HOBBIES_1_040__CA_1,intermittent,28,0.464911,0.929821,,0.854064,1.1291,0,0,0,0,0,12,0.467615,0.93523,,0.854064,1.1291,0,0,0,0,2,12
HOBBIES_1_041__CA_1,intermittent,28,0.234011,0.468022,,0.891094,1.0299,0,0,0,0,0,24,0.187498,0.374996,,0.891094,1.0299,0.941176,0.666667,0.780488,16,1,8
HOBBIES_1_042__CA_1,intermittent,28,0.285839,0.571679,,1.33164,1.57972,0,0,0,0,0,16,0.285714,0.571429,,1.33164,1.57972,0.571429,1,0.727273,16,12,0
HOBBIES_1_043__CA_1,lumpy,28,0.856681,1.71336,,2.33133,3.04209,0,0,0,0,0,14,0.856681,1.71336,,2.33133,3.04209,0,0,0,0,0,14
HOBBIES_1_044__CA_1,intermittent,28,0.250082,0.500163,,1.7496,2.39765,0,0,0,0,0,20,0.25,0.5,,1.7496,2.39765,0.714286,1,0.833333,20,8,0
HOBBIES_1_045__CA_1,intermittent,28,0.261552,0.523104,,0.919754,1.04258,0.5,0.0434783,0.08,1,1,22,0.230711,0.461423,,0.919754,1.04258,0.857143,0.521739,0.648649,12,2,11
HOBBIES_1_046__CA_1,na,28,0.371996,0.743993,,0.691683,0.984597,0,0,0,0,0,9,0.380321,0.760642,,0.691683,0.984597,0.166667,0.111111,0.133333,1,5,8
HOBBIES_1_047__CA_1,lumpy,28,0.572565,1.14513,,2.65273,3.94922,0,0,0,0,0,16,0.571429,1.14286,,2.65273,3.94922,0.571429,1,0.727273,16,12,0
HOBBIES_1_048__CA_1,lumpy,28,4.74303,9.48605,,9.48605,13.8417,0,0,0,0,0,0,4.74303,9.48605,,9.48605,13.8417,0,0,0,0,0,0
HOBBIES_1_049__CA_1,intermittent,28,0.218804,0.437607,,1.10816,1.2775,0,0,0,0,0,17,0.218387,0.436775,,1.10816,1.2775,0.62963,1,0.772727,17,10,0
