series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.409147,0.818294,,0.773363,1.21495,0,0,0,0,0,12,0.409147,0.818294,,0.773363,1.21495,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.107625,0.215249,,0.914653,0.915145,0,0,0,0,0,26,0.0357143,0.0714286,,0.914653,0.915145,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.278263,0.556527,,0.923333,1.02443,0,0,0,0,0,15,0.285714,0.571429,,0.923333,1.02443,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.734191,1.46838,,1.30108,1.70919,0,0,0,0,0,9,0.734191,1.46838,,1.30108,1.70919,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.446414,0.892828,,0.904504,1.45126,0,0,0,0,0,7,0.446414,0.892828,,0.904504,1.45126,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.45192,0.90384,,1.01279,1.41956,0,0,0,0,0,19,0.444246,0.888493,,1.01279,1.41956,1,0.0526316,0.1,1,0,18
HOBBIES_1_007__CA_1,intermittent,28,0.238222,0.476443,,0.86131,0.915448,0,0,0,0,0,18,0.196429,0.392857,,0.86131,0.915448,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.47474,6.94948,,6.92296,10.5535,0,0,0,0,0,4,3.47474,6.94948,,6.92296,10.5535,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.461041,0.922081,,2.42772,3.21765,0,0,0,0,0,18,0.446429,0.892857,,2.42772,3.21765,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.360959,0.721918,,1.00223,1.17124,0,0,0,0,0,15,0.368645,0.737289,,1.00223,1.17124,0.473684,0.6,0.529412,9,10,6
HOBBIES_1_011__CA_1,intermittent,28,0.0554519,0.110904,,0.857605,0.857605,0,0,0,0,0,27,0.0178571,0.0357143,,0.857605,0.857605,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.126151,0.252301,,0.930132,0.930392,0,0,0,0,0,23,0.0892857,0.178571,,0.930132,0.930392,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.275441,0.550881,,1.02943,1.12383,0,0,0,0,0,17,0.25,0.5,,1.02943,1.12383,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.553765,1.10753,,0.862718,1.13032,0,0,0,0,0,8,0.553765,1.10753,,0.862718,1.13032,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,0.98646,1.97292,,1.83781,2.72715,0,0,0,0,0,4,0.98646,1.97292,,1.83781,2.72715,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.74125,3.4825,,3.39028,6.46268,0,0,0,0,0,2,1.74125,3.4825,,3.39028,6.46268,0,0,0,0,0,2
