series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.418533,0.837067,,0.747156,1.23098,0,0,0,0,0,12,0.418533,0.837067,,0.747156,1.23098,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.211404,0.422808,,0.560567,0.561605,0,0,0,0,0,26,0.0357143,0.0714286,,0.560567,0.561605,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.296386,0.592772,,0.708219,0.821345,0,0,0,0,0,15,0.267031,0.534062,,0.708219,0.821345,0.7,0.466667,0.56,7,3,8
HOBBIES_1_004__CA_1,lumpy,28,0.782704,1.56541,,1.33336,1.80702,0,0,0,0,0,9,0.782704,1.56541,,1.33336,1.80702,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.441504,0.883008,,0.834603,1.40294,0,0,0,0,0,7,0.441504,0.883008,,0.834603,1.40294,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.480518,0.961035,,0.90731,1.40567,0,0,0,0,0,19,0.480518,0.961035,,0.90731,1.40567,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.24541,0.49082,,0.766558,0.821939,0,0,0,0,0,18,0.196429,0.392857,,0.766558,0.821939,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.62957,7.25913,,7.2262,10.7593,0,0,0,0,0,4,3.62957,7.25913,,7.2262,10.7593,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.475953,0.951906,,2.30873,3.1207,0,0,0,0,0,18,0.446429,0.892857,,2.30873,3.1207,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.355741,0.711482,,1.0049,1.19415,0,0,0,0,0,15,0.339286,0.678571,,1.0049,1.19415,0.535714,1,0.697674,15,13,0
HOBBIES_1_011__CA_1,intermittent,28,0.0883647,0.176729,,0.867036,0.867036,0,0,0,0,0,27,0.0178571,0.0357143,,0.867036,0.867036,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.131857,0.263714,,0.863996,0.864025,0,0,0,0,0,23,0.0892857,0.178571,,0.863996,0.864025,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.284387,0.568774,,0.979699,1.07782,0,0,0,0,0,17,0.25,0.5,,0.979699,1.07782,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.584123,1.16825,,0.817499,1.09645,0,0,0,0,0,8,0.584123,1.16825,,0.817499,1.09645,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,0.99872,1.99744,,1.84711,2.6121,0,0,0,0,0,4,0.99872,1.99744,,1.84711,2.6121,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.84993,3.69987,,3.57989,6.35019,0,0,0,0,0,2,1.84993,3.69987,,3.57989,6.35019,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.668723,1.33745,,1.77009,2.37452,0,0,0,0,0,13,0.668723,1.33745,,1.77009,2.37452,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,0.0115238,0.0230477,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,3.16738,6.33476,,6.32032,10.0841,0,0,0,0,0,2,3.16738,6.33476,,6.32032,10.0841,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.195036,0.390071,,0.709083,0.709191,0,0,0,0,0,22,0.107143,0.214286,,0.709083,0.709191,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.389147,0.778293,,0.703814,1.00422,0,0,0,0,0,20,0.389147,0.778293,,0.703814,1.00422,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.273022,0.546044,,0.995179,1.18429,0,0,0,0,0,18,0.232143,0.464286,,0.995179,1.18429,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.588687,1.17737,,1.43024,1.90458,0,0,0,0,0,10,0.588687,1.17737,,1.43024,1.90458,0,0,0,0,0,10
HOBBIES_1_024__CA_1,intermittent,28,0.107972,0.215944,,1.37144,1.46611,0,0,0,0,0,26,0.0535714,0.107143,,1.37144,1.46611,0.928571,1,0.962963,26,2,0
HOBBIES_1_025__CA_1,intermittent,28,0.345309,0.690617,,0.853429,0.986458,0,0,0,0,0,15,0.353833,0.707665,,0.853429,0.986458,0,0,0,0,1,15
