series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.419953,0.839906,,0.757603,1.229,0,0,0,0,0,12,0.419953,0.839906,,0.757603,1.229,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.174855,0.349711,,0.72278,0.722912,0,0,0,0,0,26,0.0357143,0.0714286,,0.72278,0.722912,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.297549,0.595097,,0.674627,0.796263,0,0,0,0,0,15,0.265247,0.530494,,0.674627,0.796263,0.642857,0.6,0.62069,9,5,6
HOBBIES_1_004__CA_1,lumpy,28,0.745784,1.49157,,1.30901,1.69935,0,0,0,0,0,9,0.745784,1.49157,,1.30901,1.69935,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.43708,0.87416,,0.81877,1.35581,0,0,0,0,0,7,0.43708,0.87416,,0.81877,1.35581,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.471792,0.943583,,0.907068,1.34535,0,0,0,0,0,19,0.471792,0.943583,,0.907068,1.34535,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.248156,0.496313,,0.759829,0.819461,0,0,0,0,0,18,0.196429,0.392857,,0.759829,0.819461,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.51817,7.03634,,6.96079,10.5489,0,0,0,0,0,4,3.51817,7.03634,,6.96079,10.5489,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.480154,0.960307,,2.22773,3.05623,0,0,0,0,0,18,0.446429,0.892857,,2.22773,3.05623,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.358953,0.717906,,1.02814,1.19184,0,0,0,0,0,15,0.357453,0.714906,,1.02814,1.19184,0.5,0.733333,0.594595,11,11,4
HOBBIES_1_011__CA_1,intermittent,28,0.10429,0.208581,,0.77394,0.77394,0,0,0,0,0,27,0.0178571,0.0357143,,0.77394,0.77394,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.145589,0.291178,,0.845431,0.845647,0,0,0,0,0,23,0.0892857,0.178571,,0.845431,0.845647,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.280141,0.560282,,0.926232,1.02542,0,0,0,0,0,17,0.25,0.5,,0.926232,1.02542,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.562746,1.12549,,0.848408,1.12949,0,0,0,0,0,8,0.562746,1.12549,,0.848408,1.12949,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.02471,2.04942,,1.88418,2.6562,0,0,0,0,0,4,1.02471,2.04942,,1.88418,2.6562,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.78387,3.56773,,3.45108,6.32603,0,0,0,0,0,2,1.78387,3.56773,,3.45108,6.32603,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.668589,1.33718,,1.73198,2.34221,0,0,0,0,0,13,0.668589,1.33718,,1.73198,2.34221,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,0.0228794,0.0457588,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,3.3622,6.72441,,6.84639,10.619,0,0,0,0,0,2,3.3622,6.72441,,6.84639,10.619,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.178233,0.356467,,0.714943,0.715458,0,0,0,0,0,22,0.107143,0.214286,,0.714943,0.715458,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.369887,0.739773,,0.734862,1.02467,0,0,0,0,0,20,0.369887,0.739773,,0.734862,1.02467,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.285863,0.571727,,1.01172,1.20305,0,0,0,0,0,18,0.232143,0.464286,,1.01172,1.20305,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.568916,1.13783,,1.40734,1.86524,0,0,0,0,0,10,0.568916,1.13783,,1.40734,1.86524,0,0,0,0,0,10
