series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.417436,0.834873,,0.720699,1.21798,0,0,0,0,0,12,0.417436,0.834873,,0.720699,1.21798,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.217227,0.434454,,0.597754,0.597965,0,0,0,0,0,26,0.0540253,0.108051,,0.597754,0.597965,0.923077,0.923077,0.923077,24,2,2
HOBBIES_1_003__CA_1,intermittent,28,0.291163,0.582326,,0.655467,0.780724,0,0,0,0,0,15,0.261258,0.522515,,0.655467,0.780724,0.833333,0.333333,0.47619,5,1,10
HOBBIES_1_004__CA_1,lumpy,28,0.765126,1.53025,,1.31344,1.66926,0,0,0,0,0,9,0.765126,1.53025,,1.31344,1.66926,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.442361,0.884723,,0.84022,1.39513,0,0,0,0,0,7,0.442361,0.884723,,0.84022,1.39513,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.476199,0.952397,,0.897775,1.36714,0,0,0,0,0,19,0.476199,0.952397,,0.897775,1.36714,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.247201,0.494402,,0.767535,0.829085,0,0,0,0,0,18,0.196429,0.392857,,0.767535,0.829085,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.53654,7.07308,,7.05213,10.5988,0,0,0,0,0,4,3.53654,7.07308,,7.05213,10.5988,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.462113,0.924225,,2.30021,3.11027,0,0,0,0,0,18,0.446429,0.892857,,2.30021,3.11027,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.353122,0.706244,,1.00014,1.18212,0,0,0,0,0,15,0.339273,0.678546,,1.00014,1.18212,0.538462,0.933333,0.682927,14,12,1
HOBBIES_1_011__CA_1,intermittent,28,0.0883344,0.176669,,0.82326,0.82326,0,0,0,0,0,27,0.0178571,0.0357143,,0.82326,0.82326,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.138185,0.27637,,0.863306,0.863443,0,0,0,0,0,23,0.0892857,0.178571,,0.863306,0.863443,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.282457,0.564915,,0.953939,1.049,0,0,0,0,0,17,0.25,0.5,,0.953939,1.049,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.585855,1.17171,,0.861878,1.13868,0,0,0,0,0,8,0.585855,1.17171,,0.861878,1.13868,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.0113,2.02261,,1.88138,2.69756,0,0,0,0,0,4,1.0113,2.02261,,1.88138,2.69756,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.82534,3.65067,,3.51229,6.28072,0,0,0,0,0,2,1.82534,3.65067,,3.51229,6.28072,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.655525,1.31105,,1.76301,2.39367,0,0,0,0,0,13,0.655525,1.31105,,1.76301,2.39367,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,0.00772888,0.0154578,,,,1,0.107143,0.193548,3,0,25,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,3.2567,6.51341,,6.57102,10.3421,0,0,0,0,0,2,3.2567,6.51341,,6.57102,10.3421,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.185239,0.370478,,0.692311,0.692746,0,0,0,0,0,22,0.107143,0.214286,,0.692311,0.692746,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.392857,0.785714,,0.64016,0.954653,0,0,0,0,0,20,0.392857,0.785714,,0.64016,0.954653,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.280538,0.561076,,1.00386,1.19952,0,0,0,0,0,18,0.232143,0.464286,,1.00386,1.19952,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.56134,1.12268,,1.35383,1.82592,0,0,0,0,0,10,0.56134,1.12268,,1.35383,1.82592,0,0,0,0,0,10
HOBBIES_1_024__CA_1,intermittent,28,0.106431,0.212862,,1.38754,1.4788,0,0,0,0,0,26,0.0535714,0.107143,,1.38754,1.4788,0.928571,1,0.962963,26,2,0
HOBBIES_1_025__CA_1,intermittent,28,0.332881,0.665763,,0.829797,0.974068,0,0,0,0,0,15,0.30653,0.613059,,0.829797,0.974068,0.666667,0.4,0.5,6,3,9
HOBBIES_1_026__CA_1,lumpy,28,0.165349,0.330699,,0.845832,0.84594,0,0,0,0,0,21,0.125,0.25,,0.845832,0.84594,0.75,1,0.857143,21,7,0
HOBBIES_1_027__CA_1,intermittent,28,0.297403,0.594806,,0.750242,0.843048,0,0,0,0,0,20,0.271416,0.542833,,0.750242,0.843048,0.636364,0.35,0.451613,7,4,13
HOBBIES_1_028__CA_1,intermittent,28,0.269303,0.538605,,0.429462,0.546375,0,0,0,0,0,11,0.269303,0.538605,,0.429462,0.546375,0,0,0,0,0,11
HOBBIES_1_029__CA_1,intermittent,28,0.721398,1.4428,,1.19301,1.47518,0,0,0,0,0,10,0.721398,1.4428,,1.19301,1.47518,0,0,0,0,0,10
HOBBIES_1_030__CA_1,lumpy,28,3.21329,6.42657,,6.52365,8.15851,0,0,0,0,0,13,3.21329,6.42657,,6.52365,8.15851,0,0,0,0,0,13
HOBBIES_1_031__CA_1,intermittent,28,0.218536,0.437073,,0.654843,0.655406,0,0,0,0,0,21,0.125,0.25,,0.654843,0.655406,0.75,1,0.857143,21,7,0
HOBBIES_1_032__CA_1,lumpy,28,1.60272,3.20544,,2.13455,3.06979,0,0,0,0,0,14,1.60272,3.20544,,2.13455,3.06979,0,0,0,0,0,14
HOBBIES_1_033__CA_1,intermittent,28,0.21503,0.43006,,0.565503,0.566324,0,0,0,0,0,23,0.0892857,0.178571,,0.565503,0.566324,0.821429,1,0.901961,23,5,0
HOBBIES_1_034__CA_1,intermittent,28,0.352309,0.704617,,0.932374,1.07072,0,0,0,0,0,17,0.343281,0.686562,,0.932374,1.07072,0.545455,0.352941,0.428571,6,5,11
HOBBIES_1_035__CA_1,intermittent,28,0.144347,0.288694,,0.934957,0.935099,0,0,0,0,0,21,0.125,0.25,,0.934957,0.935099,0.75,1,0.857143,21,7,0
HOBBIES_1_036__CA_1,lumpy,28,0.570474,1.14095,,2.27045,2.80274,0,0,0,0,0,18,0.53738,1.07476,,2.27045,2.80274,0.666667,0.444444,0.533333,8,4,10
HOBBIES_1_037__CA_1,intermittent,28,0.315632,0.631265,,0.550709,0.795802,0,0,0,0,0,13,0.315632,0.631265,,0.550709,0.795802,0,0,0,0,0,13
HOBBIES_1_038__CA_1,intermittent,28,0.325375,0.650749,,1.22315,1.52602,0,0,0,0,0,18,0.285714,0.571429,,1.22315,1.52602,0.642857,1,0.782609,18,10,0
HOBBIES_1_039__CA_1,intermittent,28,0.147484,0.294968,,0.821846,0.822314,0,0,0,0,0,23,0.0892857,0.178571,,0.821846,0.822314,0.821429,1,0.901961,23,5,0
HOBBIES_1_040__CA_1,intermittent,28,0.429165,0.85833,,0.88696,1.19304,0,0,0,0,0,12,0.429165,0.85833,,0.88696,1.19304,0,0,0,0,0,12
HOBBIES_1_041__CA_1,intermittent,28,0.217449,0.434898,,1.20989,1.32631,0,0,0,0,0,24,0.107143,0.214286,,1.20989,1.32631,0.857143,1,0.923077,24,4,0
HOBBIES_1_042__CA_1,intermittent,28,0.321906,0.643813,,0.825874,1.18473,0,0,0,0,0,16,0.30466,0.60932,,0.825874,1.18473,0.571429,0.5,0.533333,8,6,8
HOBBIES_1_043__CA_1,lumpy,28,0.954496,1.90899,,1.84292,2.38223,0,0,0,0,0,14,0.954496,1.90899,,1.84292,2.38223,0,0,0,0,0,14
