series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.425194,0.850388,,0.70017,1.17063,0,0,0,0,0,12,0.425194,0.850388,,0.70017,1.17063,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.158814,0.317628,,0.712768,0.712768,0,0,0,0,0,26,0.0357143,0.0714286,,0.712768,0.712768,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.299771,0.599542,,0.837183,0.937225,0,0,0,0,0,15,0.285714,0.571429,,0.837183,0.937225,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.840696,1.68139,,1.33726,1.67891,0,0,0,0,0,9,0.840696,1.68139,,1.33726,1.67891,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.488889,0.977778,,0.857778,1.23272,0,0,0,0,0,7,0.488889,0.977778,,0.857778,1.23272,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.479664,0.959329,,0.902768,1.42298,0,0,0,0,0,19,0.479664,0.959329,,0.902768,1.42298,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.24881,0.49762,,0.733332,0.792323,0,0,0,0,0,18,0.196429,0.392857,,0.733332,0.792323,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.47283,6.94567,,6.96831,10.7775,0,0,0,0,0,4,3.47283,6.94567,,6.96831,10.7775,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.463724,0.927447,,2.37893,3.17952,0,0,0,0,0,18,0.446429,0.892857,,2.37893,3.17952,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.359418,0.718836,,0.89784,1.09931,0,0,0,0,0,15,0.359418,0.718836,,0.89784,1.09931,0,0,0,0,0,15
HOBBIES_1_011__CA_1,intermittent,28,0.0663461,0.132692,,0.895562,0.895562,0,0,0,0,0,27,0.0178571,0.0357143,,0.895562,0.895562,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.138667,0.277335,,0.846368,0.846368,0,0,0,0,0,23,0.0892857,0.178571,,0.846368,0.846368,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.286366,0.572731,,0.933316,1.03413,0,0,0,0,0,17,0.25,0.5,,0.933316,1.03413,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.564918,1.12984,,0.85469,1.12681,0,0,0,0,0,8,0.564918,1.12984,,0.85469,1.12681,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.00893,2.01786,,1.86806,2.61672,0,0,0,0,0,4,1.00893,2.01786,,1.86806,2.61672,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.86323,3.72646,,3.56425,6.23264,0,0,0,0,0,2,1.86323,3.72646,,3.56425,6.23264,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.664062,1.32812,,1.69375,2.3185,0,0,0,0,0,13,0.664062,1.32812,,1.69375,2.3185,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,0.0455194,0.0910388,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,3.11468,6.22935,,6.2551,10.1445,0,0,0,0,0,2,3.11468,6.22935,,6.2551,10.1445,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.185272,0.370545,,0.726547,0.726547,0,0,0,0,0,22,0.107143,0.214286,,0.726547,0.726547,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.368384,0.736769,,0.780873,1.05345,0,0,0,0,0,20,0.368384,0.736769,,0.780873,1.05345,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.274514,0.549027,,1.00341,1.1903,0,0,0,0,0,18,0.232143,0.464286,,1.00341,1.1903,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.585811,1.17162,,1.39234,1.87669,0,0,0,0,0,10,0.585811,1.17162,,1.39234,1.87669,0,0,0,0,0,10
HOBBIES_1_024__CA_1,intermittent,28,0.133632,0.267265,,1.31319,1.40516,0,0,0,0,0,26,0.0535714,0.107143,,1.31319,1.40516,0.928571,1,0.962963,26,2,0
HOBBIES_1_025__CA_1,intermittent,28,0.33939,0.67878,,0.881698,1.00701,0,0,0,0,0,15,0.33939,0.67878,,0.881698,1.00701,0,0,0,0,0,15
HOBBIES_1_026__CA_1,lumpy,28,0.126034,0.252068,,0.995865,0.995865,0,0,0,0,0,21,0.125,0.25,,0.995865,0.995865,0.75,1,0.857143,21,7,0
HOBBIES_1_027__CA_1,intermittent,28,0.280453,0.560906,,0.774552,0.887373,0,0,0,0,0,20,0.178571,0.357143,,0.774552,0.887373,0.714286,1,0.833333,20,8,0
HOBBIES_1_028__CA_1,intermittent,28,0.266037,0.532074,,0.43399,0.540512,0,0,0,0,0,11,0.266037,0.532074,,0.43399,0.540512,0,0,0,0,0,11
HOBBIES_1_029__CA_1,intermittent,28,0.728402,1.4568,,1.32301,1.62777,0,0,0,0,0,10,0.728402,1.4568,,1.32301,1.62777,0,0,0,0,0,10
