series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.434532,0.869064,,0.922732,1.35139,0,0,0,0,0,12,0.434532,0.869064,,0.922732,1.35139,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.172057,0.344114,,0.682124,0.682413,0,0,0,0,0,26,0.0357143,0.0714286,,0.682124,0.682413,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.293628,0.587256,,1.11395,1.18952,0,0,0,0,0,15,0.285714,0.571429,,1.11395,1.18952,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.733462,1.46692,,1.33292,1.73261,0,0,0,0,0,9,0.733462,1.46692,,1.33292,1.73261,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.433892,0.867784,,0.813882,1.37276,0,0,0,0,0,7,0.433892,0.867784,,0.813882,1.37276,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.514717,1.02943,,0.836416,1.28801,0,0,0,0,0,19,0.514717,1.02943,,0.836416,1.28801,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.238381,0.476761,,0.821311,0.876075,0,0,0,0,0,18,0.196429,0.392857,,0.821311,0.876075,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.41357,6.82714,,6.87421,10.8362,0,0,0,0,0,4,3.41357,6.82714,,6.87421,10.8362,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.543821,1.08764,,1.90686,2.825,0,0,0,0,0,18,0.543167,1.08633,,1.90686,2.825,0.5,0.166667,0.25,3,3,15
HOBBIES_1_010__CA_1,intermittent,28,0.365922,0.731845,,0.913253,1.1067,0,0,0,0,0,15,0.357066,0.714131,,0.913253,1.1067,1,0.0666667,0.125,1,0,14
HOBBIES_1_011__CA_1,intermittent,28,0.0846333,0.169267,,0.852806,0.852806,0,0,0,0,0,27,0.0178571,0.0357143,,0.852806,0.852806,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.185813,0.371625,,0.744708,0.745554,0,0,0,0,0,23,0.0892857,0.178571,,0.744708,0.745554,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.285468,0.570936,,0.952534,1.05179,0,0,0,0,0,17,0.25,0.5,,0.952534,1.05179,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.565712,1.13142,,0.90881,1.20124,0,0,0,0,0,8,0.565712,1.13142,,0.90881,1.20124,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.29057,2.58114,,2.28769,2.79095,0,0,0,0,0,4,1.29057,2.58114,,2.28769,2.79095,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.85468,3.70936,,3.55572,6.26486,0,0,0,0,0,2,1.85468,3.70936,,3.55572,6.26486,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.674378,1.34876,,1.70469,2.2979,0,0,0,0,0,13,0.674378,1.34876,,1.70469,2.2979,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,0.00273612,0.00547225,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,3.14031,6.28063,,6.35421,10.4003,0,0,0,0,0,2,3.14031,6.28063,,6.35421,10.4003,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.194075,0.38815,,0.701604,0.701656,0,0,0,0,0,22,0.107143,0.214286,,0.701604,0.701656,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.369128,0.738256,,0.822439,1.10345,0,0,0,0,0,20,0.369128,0.738256,,0.822439,1.10345,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.291448,0.582895,,0.953932,1.15103,0,0,0,0,0,18,0.232143,0.464286,,0.953932,1.15103,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.544526,1.08905,,1.17659,1.63338,0,0,0,0,0,10,0.544526,1.08905,,1.17659,1.63338,0,0,0,0,0,10
HOBBIES_1_024__CA_1,intermittent,28,0.141195,0.28239,,1.28972,1.38495,0,0,0,0,0,26,0.0535714,0.107143,,1.28972,1.38495,0.928571,1,0.962963,26,2,0
HOBBIES_1_025__CA_1,intermittent,28,0.347896,0.695791,,0.807051,0.942726,0,0,0,0,0,15,0.347896,0.695791,,0.807051,0.942726,0,0,0,0,0,15
HOBBIES_1_026__CA_1,lumpy,28,0.148405,0.29681,,0.913513,0.913526,0,0,0,0,0,21,0.125,0.25,,0.913513,0.913526,0.75,1,0.857143,21,7,0
HOBBIES_1_027__CA_1,intermittent,28,0.294149,0.588297,,0.750239,0.858987,0,0,0,0,0,20,0.277618,0.555235,,0.750239,0.858987,0.583333,0.35,0.4375,7,5,13
HOBBIES_1_028__CA_1,intermittent,28,0.258334,0.516668,,0.384676,0.506847,0,0,0,0,0,11,0.258334,0.516668,,0.384676,0.506847,0,0,0,0,0,11
HOBBIES_1_029__CA_1,intermittent,28,0.696788,1.39358,,1.25646,1.62378,0,0,0,0,0,10,0.696788,1.39358,,1.25646,1.62378,0,0,0,0,0,10
