series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.46974,0.939481,,0.739148,1.09367,0,0,0,0,0,12,0.46974,0.939481,,0.739148,1.09367,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.242357,0.484714,,0.517834,0.517834,0,0,0,0,0,26,0.0357143,0.0714286,,0.517834,0.517834,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.30069,0.60138,,0.811446,0.914309,0,0,0,0,0,15,0.285714,0.571429,,0.811446,0.914309,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.883334,1.76667,,1.34982,1.65644,0,0,0,0,0,9,0.883334,1.76667,,1.34982,1.65644,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.431395,0.86279,,0.820818,1.40385,0,0,0,0,0,7,0.431395,0.86279,,0.820818,1.40385,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.604793,1.20959,,0.927047,1.22777,0,0,0,0,0,19,0.604793,1.20959,,0.927047,1.22777,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.247209,0.494418,,0.744538,0.802706,0,0,0,0,0,18,0.196429,0.392857,,0.744538,0.802706,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.30763,6.61526,,6.79482,11.1631,0,0,0,0,0,4,3.30763,6.61526,,6.79482,11.1631,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.45843,0.91686,,2.41599,3.20734,0,0,0,0,0,18,0.446429,0.892857,,2.41599,3.20734,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.349631,0.699262,,1.17187,1.33254,0,0,0,0,0,15,0.339286,0.678571,,1.17187,1.33254,0.535714,1,0.697674,15,13,0
HOBBIES_1_011__CA_1,intermittent,28,0.130814,0.261628,,0.756708,0.756708,0,0,0,0,0,27,0.0178571,0.0357143,,0.756708,0.756708,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.14589,0.291779,,0.823899,0.823899,0,0,0,0,0,23,0.0892857,0.178571,,0.823899,0.823899,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.290052,0.580104,,0.898909,1.00319,0,0,0,0,0,17,0.25,0.5,,0.898909,1.00319,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.568977,1.13795,,0.820593,1.10383,0,0,0,0,0,8,0.568977,1.13795,,0.820593,1.10383,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.05747,2.11493,,1.93045,2.59065,0,0,0,0,0,4,1.05747,2.11493,,1.93045,2.59065,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.96087,3.92173,,3.73875,6.20029,0,0,0,0,0,2,1.96087,3.92173,,3.73875,6.20029,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.667942,1.33588,,1.80239,2.39901,0,0,0,0,0,13,0.667942,1.33588,,1.80239,2.39901,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,0.000159757,0.000319515,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,3.14926,6.29852,,6.29124,9.90302,0,0,0,0,0,2,3.14926,6.29852,,6.29124,9.90302,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.196171,0.392342,,0.688402,0.688402,0,0,0,0,0,22,0.107143,0.214286,,0.688402,0.688402,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.382293,0.764586,,0.715967,1.00628,0,0,0,0,0,20,0.382293,0.764586,,0.715967,1.00628,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.291854,0.583708,,0.882022,1.08994,0,0,0,0,0,18,0.232143,0.464286,,0.882022,1.08994,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.555331,1.11066,,1.17899,1.72434,0,0,0,0,0,10,0.555331,1.11066,,1.17899,1.72434,0,0,0,0,0,10
HOBBIES_1_024__CA_1,intermittent,28,0.0820766,0.164153,,1.43349,1.51819,0,0,0,0,0,26,0.0535714,0.107143,,1.43349,1.51819,0.928571,1,0.962963,26,2,0
HOBBIES_1_025__CA_1,intermittent,28,0.343082,0.686164,,0.778314,0.917856,0,0,0,0,0,15,0.343082,0.686164,,0.778314,0.917856,0,0,0,0,0,15
HOBBIES_1_026__CA_1,lumpy,28,0.225902,0.451804,,0.596391,0.596391,0,0,0,0,0,21,0.125,0.25,,0.596391,0.596391,0.75,1,0.857143,21,7,0
HOBBIES_1_027__CA_1,intermittent,28,0.286939,0.573878,,0.744285,0.861081,0,0,0,0,0,20,0.286939,0.573878,,0.744285,0.861081,0,0,0,0,0,20
HOBBIES_1_028__CA_1,intermittent,28,0.254258,0.508515,,0.324053,0.456964,0,0,0,0,0,11,0.254258,0.508515,,0.324053,0.456964,0,0,0,0,0,11
HOBBIES_1_029__CA_1,intermittent,28,0.738863,1.47773,,1.27419,1.55556,0,0,0,0,0,10,0.738863,1.47773,,1.27419,1.55556,0,0,0,0,0,10
HOBBIES_1_030__CA_1,lumpy,28,3.15932,6.31864,,6.82839,8.66139,0,0,0,0,0,13,3.15932,6.31864,,6.82839,8.66139,0,0,0,0,0,13
HOBBIES_1_031__CA_1,intermittent,28,0.247861,0.495722,,0.508557,0.508557,0,0,0,0,0,21,0.125,0.25,,0.508557,0.508557,0.75,1,0.857143,21,7,0
