series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.41338,0.826759,,0.710997,1.21498,0,0,0,0,0,12,0.41338,0.826759,,0.710997,1.21498,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.183659,0.367319,,0.660497,0.661019,0,0,0,0,0,26,0.0357143,0.0714286,,0.660497,0.661019,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.307067,0.614133,,0.727722,0.85397,0,0,0,0,0,15,0.34071,0.681421,,0.727722,0.85397,0.3,0.2,0.24,3,7,12
HOBBIES_1_004__CA_1,lumpy,28,0.756788,1.51358,,1.30711,1.7318,0,0,0,0,0,9,0.756788,1.51358,,1.30711,1.7318,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.443665,0.887329,,0.82052,1.35382,0,0,0,0,0,7,0.443665,0.887329,,0.82052,1.35382,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.477895,0.955789,,0.892757,1.35704,0,0,0,0,0,19,0.477895,0.955789,,0.892757,1.35704,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.252513,0.505027,,0.751999,0.808928,0,0,0,0,0,18,0.196429,0.392857,,0.751999,0.808928,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.64224,7.28447,,7.14759,10.3484,0,0,0,0,0,4,3.64224,7.28447,,7.14759,10.3484,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.472413,0.944825,,2.30173,3.11297,0,0,0,0,0,18,0.446429,0.892857,,2.30173,3.11297,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.358559,0.717119,,0.978032,1.15862,0,0,0,0,0,15,0.376908,0.753817,,0.978032,1.15862,0.4375,0.466667,0.451613,7,9,8
HOBBIES_1_011__CA_1,intermittent,28,0.0937798,0.18756,,0.799932,0.799932,0,0,0,0,0,27,0.0178571,0.0357143,,0.799932,0.799932,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.140701,0.281401,,0.843866,0.844023,0,0,0,0,0,23,0.0892857,0.178571,,0.843866,0.844023,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.287552,0.575103,,0.956403,1.05453,0,0,0,0,0,17,0.25,0.5,,0.956403,1.05453,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.559373,1.11875,,0.819231,1.09521,0,0,0,0,0,8,0.559373,1.11875,,0.819231,1.09521,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.019,2.038,,1.87997,2.59412,0,0,0,0,0,4,1.019,2.038,,1.87997,2.59412,0,0,0,0,0,4
