series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.421019,0.842037,,0.870224,1.31766,0,0,0,0,0,12,0.421019,0.842037,,0.870224,1.31766,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.357712,0.715425,,0.281468,0.281547,0,0,0,0,0,26,0.357712,0.715425,,0.281468,0.281547,0,0,0,0,0,26
HOBBIES_1_003__CA_1,intermittent,28,0.321072,0.642144,,0.259203,0.497434,0,0,0,0,0,15,0.321072,0.642144,,0.259203,0.497434,0,0,0,0,0,15
HOBBIES_1_004__CA_1,lumpy,28,0.769874,1.53975,,1.89734,2.51574,0,0,0,0,0,9,0.769874,1.53975,,1.89734,2.51574,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.526096,1.05219,,1.20196,1.65725,0,0,0,0,0,7,0.526096,1.05219,,1.20196,1.65725,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.440305,0.880609,,1.11962,1.57456,0,0,0,0,0,19,0.440305,0.880609,,1.11962,1.57456,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.35331,0.70662,,0.131334,0.332576,0,0,0,0,0,18,0.35331,0.70662,,0.131334,0.332576,0,0,0,0,0,18
HOBBIES_1_008__CA_1,lumpy,28,3.77976,7.55953,,8.68327,13.5779,0,0,0,0,0,4,3.77976,7.55953,,8.68327,13.5779,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.560176,1.12035,,1.72214,2.71839,0,0,0,0,0,18,0.560176,1.12035,,1.72214,2.71839,0,0,0,0,0,18
HOBBIES_1_010__CA_1,intermittent,28,0.366983,0.733965,,0.741974,0.977343,0,0,0,0,0,15,0.366983,0.733965,,0.741974,0.977343,0,0,0,0,0,15
HOBBIES_1_011__CA_1,intermittent,28,0.36045,0.720899,,0.25908,0.25908,0,0,0,0,0,27,0.36045,0.720899,,0.25908,0.25908,0,0,0,0,0,27
HOBBIES_1_012__CA_1,intermittent,28,0.334084,0.668169,,0.240939,0.24277,0,0,0,0,0,23,0.334084,0.668169,,0.240939,0.24277,0,0,0,0,0,23
HOBBIES_1_013__CA_1,intermittent,28,0.338323,0.676646,,0.452255,0.639959,0,0,0,0,0,17,0.338323,0.676646,,0.452255,0.639959,0,0,0,0,0,17
HOBBIES_1_014__CA_1,intermittent,28,0.576969,1.15394,,1.29605,1.69955,0,0,0,0,0,8,0.576969,1.15394,,1.29605,1.69955,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.12344,2.24688,,2.48684,3.58986,0,0,0,0,0,4,1.12344,2.24688,,2.48684,3.58986,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,2.65604,5.31207,,5.65781,8.40057,0,0,0,0,0,2,2.65604,5.31207,,5.65781,8.40057,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.667158,1.33432,,1.74291,2.35704,0,0,0,0,0,13,0.667158,1.33432,,1.74291,2.35704,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,0.466659,0.933318,,,,0,0,0,0,0,28,0.466659,0.933318,,,,0,0,0,0,0,28
HOBBIES_1_019__CA_1,lumpy,28,4.75497,9.50995,,10.1771,13.4309,0,0,0,0,0,2,4.75497,9.50995,,10.1771,13.4309,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.397069,0.794139,,0.0529628,0.0560637,0,0,0,0,0,22,0.397069,0.794139,,0.0529628,0.0560637,0,0,0,0,0,22
HOBBIES_1_021__CA_1,intermittent,28,0.382245,0.764491,,0.711473,1.00595,0,0,0,0,0,20,0.382245,0.764491,,0.711473,1.00595,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.348646,0.697291,,0.512324,0.822398,0,0,0,0,0,18,0.348646,0.697291,,0.512324,0.822398,0,0,0,0,0,18
HOBBIES_1_023__CA_1,intermittent,28,0.562064,1.12413,,1.23148,1.75203,0,0,0,0,0,10,0.562064,1.12413,,1.23148,1.75203,0,0,0,0,0,10
HOBBIES_1_024__CA_1,intermittent,28,0.428688,0.857376,,0.638189,0.804583,0,0,0,0,0,26,0.428688,0.857376,,0.638189,0.804583,0,0,0,0,0,26
HOBBIES_1_025__CA_1,intermittent,28,0.356696,0.713393,,0.395356,0.607803,0,0,0,0,0,15,0.356696,0.713393,,0.395356,0.607803,0,0,0,0,0,15
HOBBIES_1_026__CA_1,lumpy,28,0.344907,0.689814,,0.11308,0.116576,0,0,0,0,0,21,0.344907,0.689814,,0.11308,0.116576,0,0,0,0,0,21
HOBBIES_1_027__CA_1,intermittent,28,0.373343,0.746686,,0.342344,0.548442,0,0,0,0,0,20,0.373343,0.746686,,0.342344,0.548442,0,0,0,0,0,20
HOBBIES_1_028__CA_1,intermittent,28,0.245352,0.490704,,0.248384,0.406897,0,0,0,0,0,11,0.245352,0.490704,,0.248384,0.406897,0,0,0,0,0,11
HOBBIES_1_029__CA_1,intermittent,28,0.695057,1.39011,,1.67305,2.17273,0,0,0,0,0,10,0.695057,1.39011,,1.67305,2.17273,0,0,0,0,0,10
HOBBIES_1_030__CA_1,lumpy,28,3.03604,6.07207,,10.4799,12.3358,0,0,0,0,0,13,3.03604,6.07207,,10.4799,12.3358,0,0,0,0,0,13
HOBBIES_1_031__CA_1,intermittent,28,0.332932,0.665865,,0.147444,0.149298,0,0,0,0,0,21,0.332932,0.665865,,0.147444,0.149298,0,0,0,0,0,21
HOBBIES_1_032__CA_1,lumpy,28,1.44504,2.89008,,4.9128,5.62591,0,0,0,0,0,14,1.44504,2.89008,,4.9128,5.62591,0,0,0,0,0,14
HOBBIES_1_033__CA_1,intermittent,28,0.366981,0.733961,,0.128532,0.129526,0,0,0,0,0,23,0.366981,0.733961,,0.128532,0.129526,0,0,0,0,0,23
HOBBIES_1_034__CA_1,intermittent,28,0.375502,0.751004,,0.601235,0.783048,0,0,0,0,0,17,0.375502,0.751004,,0.601235,0.783048,0,0,0,0,0,17
HOBBIES_1_035__CA_1,intermittent,28,0.3124,0.624801,,0.291182,0.291923,0,0,0,0,0,21,0.3124,0.624801,,0.291182,0.291923,0,0,0,0,0,21
HOBBIES_1_036__CA_1,lumpy,28,0.60214,1.20428,,2.09572,2.66817,0,0,0,0,0,18,0.60214,1.20428,,2.09572,2.66817,0,0,0,0,0,18
HOBBIES_1_037__CA_1,intermittent,28,0.314182,0.628364,,0.497979,0.759855,0,0,0,0,0,13,0.314182,0.628364,,0.497979,0.759855,0,0,0,0,0,13
HOBBIES_1_038__CA_1,intermittent,28,0.379194,0.758387,,0.938387,1.30813,0,0,0,0,0,18,0.379194,0.758387,,0.938387,1.30813,0,0,0,0,0,18
HOBBIES_1_039__CA_1,intermittent,28,0.378286,0.756572,,0.0998577,0.103229,0,0,0,0,0,23,0.378286,0.756572,,0.0998577,0.103229,0,0,0,0,0,23
HOBBIES_1_040__CA_1,intermittent,28,0.436641,0.873281,,0.83254,1.17305,0,0,0,0,0,12,0.436641,0.873281,,0.83254,1.17305,0,0,0,0,0,12
HOBBIES_1_041__CA_1,intermittent,28,0.493364,0.986729,,0.496354,0.647626,0,0,0,0,0,24,0.493364,0.986729,,0.496354,0.647626,0,0,0,0,0,24
HOBBIES_1_042__CA_1,intermittent,28,0.342313,0.684626,,0.459921,0.935323,0,0,0,0,0,16,0.342313,0.684626,,0.459921,0.935323,0,0,0,0,0,16
HOBBIES_1_043__CA_1,lumpy,28,0.826749,1.6535,,2.49609,3.23398,0,0,0,0,0,14,0.826749,1.6535,,2.49609,3.23398,0,0,0,0,0,14
HOBBIES_1_044__CA_1,intermittent,28,0.412518,0.825036,,0.979777,1.90801,0,0,0,0,0,20,0.412518,0.825036,,0.979777,1.90801,0,0,0,0,0,20
HOBBIES_1_045__CA_1,intermittent,28,0.406024,0.812047,,0.521639,0.719888,0,0,0,0,0,23,0.406024,0.812047,,0.521639,0.719888,0,0,0,0,0,23
HOBBIES_1_046__CA_1,na,28,0.333843,0.667687,,0.587939,0.838707,0,0,0,0,0,9,0.333843,0.667687,,0.587939,0.838707,0,0,0,0,0,9
HOBBIES_1_047__CA_1,lumpy,28,0.631789,1.26358,,1.84272,3.46837,0,0,0,0,0,16,0.631789,1.26358,,1.84272,3.46837,0,0,0,0,0,16
HOBBIES_1_048__CA_1,lumpy,28,7.42537,14.8507,,14.8507,19.6619,0,0,0,0,0,0,7.42537,14.8507,,14.8507,19.6619,0,0,0,0,0,0
HOBBIES_1_049__CA_1,intermittent,28,0.315528,0.631056,,0.399364,0.69663,0,0,0,0,0,17,0.315528,0.631056,,0.399364,0.69663,0,0,0,0,0,17
HOBBIES_1_050__CA_1,intermittent,28,0.796596,1.59319,,1.74795,2.62066,0,0,0,0,0,5,0.796596,1.59319,,1.74795,2.62066,0,0,0,0,0,5
HOBBIES_1_051__CA_1,intermittent,28,0.394259,0.788517,,0.0603235,0.0616511,0,0,0,0,0,23,0.394259,0.788517,,0.0603235,0.0616511,0,0,0,0,0,23
HOBBIES_1_052__CA_1,intermittent,28,0.370936,0.741871,,0.0744874,0.0786243,0,0,0,0,0,22,0.370936,0.741871,,0.0744874,0.0786243,0,0,0,0,0,22
HOBBIES_1_053__CA_1,intermittent,28,0.582999,1.166,,4.95243,4.95243,0,0,0,0,0,27,0.582999,1.166,,4.95243,4.95243,0,0,0,0,0,27
HOBBIES_1_054__CA_1,intermittent,28,0.346445,0.692889,,0.293012,0.296036,0,0,0,0,0,26,0.346445,0.692889,,0.293012,0.296036,0,0,0,0,0,26
