series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.432377,0.864754,,0.947421,1.36955,0,0,0,0,0,12,0.432377,0.864754,,0.947421,1.36955,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.0375833,0.0751667,,0.961166,0.961705,1,0.192308,0.322581,5,0,21,0.0357143,0.0714286,,0.961166,0.961705,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.287227,0.574453,,1.18805,1.26253,0,0,0,0,0,15,0.285714,0.571429,,1.18805,1.26253,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.721047,1.44209,,1.31967,1.73812,0,0,0,0,0,9,0.721047,1.44209,,1.31967,1.73812,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.434184,0.868368,,0.828087,1.40047,0,0,0,0,0,7,0.434184,0.868368,,0.828087,1.40047,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.34605,0.692099,,1.66761,1.97138,0,0,0,0,0,19,0.303571,0.607143,,1.66761,1.97138,0.678571,1,0.808511,19,9,0
HOBBIES_1_007__CA_1,intermittent,28,0.196659,0.393319,,1.09653,1.13713,0.727273,0.444444,0.551724,8,3,10,0.196429,0.392857,,1.09653,1.13713,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.26787,6.53575,,7.07767,12.0807,0,0,0,0,0,4,3.26787,6.53575,,7.07767,12.0807,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.44728,0.89456,,2.49332,3.2655,0,0,0,0,0,18,0.446429,0.892857,,2.49332,3.2655,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.339221,0.678442,,1.44763,1.57974,0.75,0.2,0.315789,3,1,12,0.339286,0.678571,,1.44763,1.57974,0.535714,1,0.697674,15,13,0
HOBBIES_1_011__CA_1,intermittent,28,0.0187269,0.0374539,,0.993241,0.993241,1,0.555556,0.714286,15,0,12,0.0178571,0.0357143,,0.993241,0.993241,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.0893828,0.178766,,1,1,0.791667,0.826087,0.808511,19,5,4,0.0892857,0.178571,,1,1,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.250035,0.500069,,1.27273,1.3484,0.576923,0.882353,0.697674,15,11,2,0.25,0.5,,1.27273,1.3484,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.551643,1.10329,,0.965417,1.26631,0,0,0,0,0,8,0.551643,1.10329,,0.965417,1.26631,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,0.951612,1.90322,,1.81903,2.73377,0,0,0,0,0,4,0.951612,1.90322,,1.81903,2.73377,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.799,3.59801,,3.55881,6.6358,0,0,0,0,0,2,1.799,3.59801,,3.55881,6.6358,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.665331,1.33066,,2.0765,2.63787,0,0,0,0,0,13,0.650504,1.30101,,2.0765,2.63787,0.5625,0.692308,0.62069,9,7,4
HOBBIES_1_018__CA_1,intermittent,28,0.000119381,0.000238762,,,,1,0.428571,0.6,12,0,16,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,4.11375,8.2275,,8.69915,12.4835,0,0,0,0,0,2,4.12586,8.25171,,8.69915,12.4835,0,0,0,0,2,2
HOBBIES_1_020__CA_1,intermittent,28,0.107435,0.214869,,0.998736,0.998737,0.823529,0.636364,0.717949,14,3,8,0.107143,0.214286,,0.998736,0.998737,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.314195,0.628389,,0.985738,1.1958,0,0,0,0,0,20,0.287591,0.575181,,0.985738,1.1958,0.7,0.35,0.466667,7,3,13
HOBBIES_1_022__CA_1,intermittent,28,0.24024,0.48048,,1.28541,1.43777,0.636364,0.388889,0.482759,7,4,11,0.232143,0.464286,,1.28541,1.43777,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.615594,1.23119,,1.67205,2.09013,0,0,0,0,0,10,0.617691,1.23538,,1.67205,2.09013,0.5,1,0.666667,10,10,0
HOBBIES_1_024__CA_1,intermittent,28,0.0559113,0.111823,,1.49475,1.57644,1,0.0769231,0.142857,2,0,24,0.0535714,0.107143,,1.49475,1.57644,0.928571,1,0.962963,26,2,0
HOBBIES_1_025__CA_1,intermittent,28,0.320658,0.641317,,1.36638,1.45158,0.8,0.266667,0.4,4,1,11,0.321429,0.642857,,1.36638,1.45158,0.535714,1,0.697674,15,13,0
HOBBIES_1_026__CA_1,lumpy,28,0.13463,0.26926,,0.961111,0.96161,1,0.0952381,0.173913,2,0,19,0.125,0.25,,0.961111,0.96161,0.75,1,0.857143,21,7,0
HOBBIES_1_027__CA_1,intermittent,28,0.211299,0.422597,,1.1544,1.2173,0,0,0,0,0,20,0.178571,0.357143,,1.1544,1.2173,0.714286,1,0.833333,20,8,0
HOBBIES_1_028__CA_1,intermittent,28,0.250308,0.500616,,0.278794,0.428162,0,0,0,0,0,11,0.250308,0.500616,,0.278794,0.428162,0,0,0,0,0,11
HOBBIES_1_029__CA_1,intermittent,28,0.684126,1.36825,,1.26011,1.65399,0,0,0,0,0,10,0.684126,1.36825,,1.26011,1.65399,0,0,0,0,0,10
HOBBIES_1_030__CA_1,lumpy,28,3.0704,6.1408,,7.73294,9.50268,0,0,0,0,0,13,3.0704,6.1408,,7.73294,9.50268,0,0,0,0,0,13
HOBBIES_1_031__CA_1,intermittent,28,0.128469,0.256937,,0.99081,0.990851,0.5,0.142857,0.222222,3,3,18,0.125,0.25,,0.99081,0.990851,0.75,1,0.857143,21,7,0
HOBBIES_1_032__CA_1,lumpy,28,1.48269,2.96538,,4.39381,5.14404,0,0,0,0,0,14,1.48269,2.96538,,4.39381,5.14404,0,0,0,0,0,14
HOBBIES_1_033__CA_1,intermittent,28,0.0921393,0.184279,,0.98823,0.988237,1,0.0869565,0.16,2,0,21,0.0892857,0.178571,,0.98823,0.988237,0.821429,1,0.901961,23,5,0
HOBBIES_1_034__CA_1,intermittent,28,0.289293,0.578587,,1.44958,1.53403,0.538462,0.411765,0.466667,7,6,10,0.285714,0.571429,,1.44958,1.53403,0.607143,1,0.755556,17,11,0
HOBBIES_1_035__CA_1,intermittent,28,0.125453,0.250906,,0.998143,0.998143,1,0.190476,0.32,4,0,17,0.125,0.25,,0.998143,0.998143,0.75,1,0.857143,21,7,0
