series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.437777,0.875554,,1.24686,1.59625,1,0.0833333,0.153846,1,0,11,0.473022,0.946044,,1.24686,1.59625,0.444444,1,0.615385,12,15,0
HOBBIES_1_002__CA_1,intermittent,28,0.0357143,0.0714286,,1,1,0.928571,1,0.962963,26,2,0,0.0357143,0.0714286,,1,1,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.285714,0.571429,,1.23077,1.30089,0.535714,1,0.697674,15,13,0,0.285714,0.571429,,1.23077,1.30089,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.751314,1.50263,,1.50089,2.03436,0,0,0,0,0,9,0.751314,1.50263,,1.50089,2.03436,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.432692,0.865384,,0.824146,1.40503,0,0,0,0,0,7,0.432692,0.865384,,0.824146,1.40503,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.303571,0.607143,,1.88889,2.18581,0.678571,1,0.808511,19,9,0,0.303571,0.607143,,1.88889,2.18581,0.678571,1,0.808511,19,9,0
HOBBIES_1_007__CA_1,intermittent,28,0.196429,0.392857,,1.1,1.14018,0.642857,1,0.782609,18,10,0,0.196429,0.392857,,1.1,1.14018,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.38562,6.77123,,6.83375,10.8531,0,0,0,0,0,4,3.38562,6.77123,,6.83375,10.8531,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.446429,0.892857,,2.5,3.27109,0.642857,1,0.782609,18,10,0,0.446429,0.892857,,2.5,3.27109,0.642857,1,0.782609,18,10,0
HOBBIES_1_010__CA_1,intermittent,28,0.339286,0.678571,,1.46154,1.59326,0.535714,1,0.697674,15,13,0,0.339286,0.678571,,1.46154,1.59326,0.535714,1,0.697674,15,13,0
HOBBIES_1_011__CA_1,intermittent,28,0.0178571,0.0357143,,1,1,0.964286,1,0.981818,27,1,0,0.0178571,0.0357143,,1,1,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.0892857,0.178571,,1,1,0.821429,1,0.901961,23,5,0,0.0892857,0.178571,,1,1,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.25,0.5,,1.27273,1.3484,0.607143,1,0.755556,17,11,0,0.25,0.5,,1.27273,1.3484,0.607143,1,0.755556,17,11,0
