series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
HOBBIES_1_001__CA_1,intermittent,28,0.427266,0.854533,,0.93377,1.35932,0,0,0,0,0,12,0.427266,0.854533,,0.93377,1.35932,0,0,0,0,0,12
HOBBIES_1_002__CA_1,intermittent,28,0.179836,0.359671,,0.632068,0.636079,0,0,0,0,0,26,0.0357143,0.0714286,,0.632068,0.636079,0.928571,1,0.962963,26,2,0
HOBBIES_1_003__CA_1,intermittent,28,0.297282,0.594564,,0.982015,1.06764,0,0,0,0,0,15,0.285714,0.571429,,0.982015,1.06764,0.535714,1,0.697674,15,13,0
HOBBIES_1_004__CA_1,lumpy,28,0.76077,1.52154,,1.29705,1.62139,0,0,0,0,0,9,0.76077,1.52154,,1.29705,1.62139,0,0,0,0,0,9
HOBBIES_1_005__CA_1,intermittent,28,0.44774,0.895481,,0.858636,1.42702,0,0,0,0,0,7,0.44774,0.895481,,0.858636,1.42702,0,0,0,0,0,7
HOBBIES_1_006__CA_1,intermittent,28,0.494715,0.98943,,0.873885,1.33491,0,0,0,0,0,19,0.494715,0.98943,,0.873885,1.33491,0,0,0,0,0,19
HOBBIES_1_007__CA_1,intermittent,28,0.241442,0.482884,,0.793335,0.846799,0,0,0,0,0,18,0.196429,0.392857,,0.793335,0.846799,0.642857,1,0.782609,18,10,0
HOBBIES_1_008__CA_1,lumpy,28,3.42685,6.8537,,6.90777,10.801,0,0,0,0,0,4,3.42685,6.8537,,6.90777,10.801,0,0,0,0,0,4
HOBBIES_1_009__CA_1,lumpy,28,0.527263,1.05453,,1.95999,2.87154,0,0,0,0,0,18,0.50395,1.0079,,1.95999,2.87154,0.714286,0.277778,0.4,5,2,13
HOBBIES_1_010__CA_1,intermittent,28,0.359411,0.718823,,0.983822,1.16881,0,0,0,0,0,15,0.385542,0.771084,,0.983822,1.16881,0.421053,0.533333,0.470588,8,11,7
HOBBIES_1_011__CA_1,intermittent,28,0.0892973,0.178595,,0.848109,0.848109,0,0,0,0,0,27,0.0178571,0.0357143,,0.848109,0.848109,0.964286,1,0.981818,27,1,0
HOBBIES_1_012__CA_1,intermittent,28,0.173022,0.346045,,0.755341,0.75565,0,0,0,0,0,23,0.0892857,0.178571,,0.755341,0.75565,0.821429,1,0.901961,23,5,0
HOBBIES_1_013__CA_1,intermittent,28,0.291337,0.582674,,0.95721,1.05783,0,0,0,0,0,17,0.25,0.5,,0.95721,1.05783,0.607143,1,0.755556,17,11,0
HOBBIES_1_014__CA_1,intermittent,28,0.557611,1.11522,,0.960499,1.27397,0,0,0,0,0,8,0.557611,1.11522,,0.960499,1.27397,0,0,0,0,0,8
HOBBIES_1_015__CA_1,erratic,28,1.19223,2.38445,,2.14078,2.68211,0,0,0,0,0,4,1.19223,2.38445,,2.14078,2.68211,0,0,0,0,0,4
HOBBIES_1_016__CA_1,erratic,28,1.80657,3.61314,,3.48158,6.31672,0,0,0,0,0,2,1.80657,3.61314,,3.48158,6.31672,0,0,0,0,0,2
HOBBIES_1_017__CA_1,intermittent,28,0.673598,1.3472,,1.64278,2.24855,0,0,0,0,0,13,0.673598,1.3472,,1.64278,2.24855,0,0,0,0,0,13
HOBBIES_1_018__CA_1,intermittent,28,0.00128225,0.00256451,,,,0,0,0,0,0,28,0,0,,,,1,1,1,28,0,0
HOBBIES_1_019__CA_1,lumpy,28,3.12937,6.25874,,6.32266,10.2801,0,0,0,0,0,2,3.12937,6.25874,,6.32266,10.2801,0,0,0,0,0,2
HOBBIES_1_020__CA_1,intermittent,28,0.187588,0.375175,,0.71953,0.719557,0,0,0,0,0,22,0.107143,0.214286,,0.71953,0.719557,0.785714,1,0.88,22,6,0
HOBBIES_1_021__CA_1,intermittent,28,0.351114,0.702229,,0.897605,1.16369,0,0,0,0,0,20,0.351114,0.702229,,0.897605,1.16369,0,0,0,0,0,20
HOBBIES_1_022__CA_1,intermittent,28,0.2907,0.581399,,0.941466,1.14292,0,0,0,0,0,18,0.232143,0.464286,,0.941466,1.14292,0.642857,1,0.782609,18,10,0
HOBBIES_1_023__CA_1,intermittent,28,0.540441,1.08088,,1.20148,1.67892,0,0,0,0,0,10,0.540441,1.08088,,1.20148,1.67892,0,0,0,0,0,10
HOBBIES_1_024__CA_1,intermittent,28,0.120658,0.241317,,1.34662,1.43726,0,0,0,0,0,26,0.0535714,0.107143,,1.34662,1.43726,0.928571,1,0.962963,26,2,0
