series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.583707,1.16741,,1.58546,1.58855,0,0,0,0,0,1,0.58105,1.1621,,1.58546,1.58855,0.5,1,0.666667,1,1,0
part_21091739,intermittent,3,0.333333,0.666667,,1,1,0.333333,1,0.5,1,2,0,0.333333,0.666667,,1,1,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.308444,0.616888,,0.932082,0.932082,0,0,0,0,0,2,0.280552,0.561103,,0.932082,0.932082,0.5,0.5,0.5,1,1,1
part_21068915,intermittent,3,0.00728792,0.0145758,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.214938,0.429875,,0.433461,0.443961,0,0,0,0,0,1,0.222913,0.445825,,0.433461,0.443961,0.5,1,0.666667,1,1,0
part_21029651,intermittent,3,0.6299,1.2598,,1.57271,1.57647,0,0,0,0,0,1,0.682965,1.36593,,1.57271,1.57647,0,0,0,0,1,1
part_21048956,intermittent,3,0.0714661,0.142932,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.102993,0.205987,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.352861,0.705723,,0.792453,0.800271,0,0,0,0,0,1,0.422044,0.844087,,0.792453,0.800271,0,0,0,0,2,1
part_21137158,intermittent,3,0.309126,0.618252,,,,1,0.666667,0.8,2,0,1,0.309126,0.618252,,,,1,0.666667,0.8,2,0,1
part_15369646,intermittent,3,0.460129,0.920257,,0.990288,0.990482,0,0,0,0,0,1,0.460129,0.920257,,0.990288,0.990482,0,0,0,0,0,1
part_21048462,intermittent,3,0.186936,0.373873,,0.571466,0.571466,1,0.5,0.666667,1,0,1,0.258359,0.516718,,0.571466,0.571466,0.5,0.5,0.5,1,1,1
part_21051544,intermittent,3,0.200319,0.400637,,0.880903,0.880903,1,0.5,0.666667,1,0,1,0.166667,0.333333,,0.880903,0.880903,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.422429,0.844858,,,,0,0,0,0,0,3,0.422429,0.844858,,,,0,0,0,0,0,3
part_21060309,intermittent,3,0.0281893,0.0563786,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.486183,0.972366,,0.972366,1.37498,0,0,0,0,0,0,0.486183,0.972366,,0.972366,1.37498,0,0,0,0,0,0
part_90451378,intermittent,3,0.486536,0.973072,,1.43151,1.9208,0,0,0,0,0,1,0.525131,1.05026,,1.43151,1.9208,0.5,1,0.666667,1,1,0
part_90451465,intermittent,3,0.452699,0.905397,,,,0,0,0,0,0,3,0.452699,0.905397,,,,0,0,0,0,0,3
part_21041727,intermittent,3,0.0797562,0.159512,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054756,intermittent,3,0.293618,0.587236,,,,0,0,0,0,0,3,0.282436,0.564871,,,,1,0.333333,0.5,1,0,2
part_21054788,intermittent,3,0.0450714,0.0901428,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21055097,intermittent,3,0.234006,0.468012,,,,1,0.333333,0.5,1,0,2,0.156896,0.313792,,,,1,0.666667,0.8,2,0,1
part_21056274,intermittent,3,0.0893637,0.178727,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21056514,intermittent,3,0.231783,0.463567,,0.225849,0.225849,0,0,0,0,0,2,0.165403,0.330806,,0.225849,0.225849,1,0.5,0.666667,1,0,1
part_21060750,intermittent,3,0.14934,0.298679,,,,1,0.333333,0.5,1,0,2,0.083648,0.167296,,,,1,0.666667,0.8,2,0,1
part_21064875,intermittent,3,0.315117,0.630234,,0.574616,0.578046,0,0,0,0,0,1,0.456912,0.913823,,0.574616,0.578046,0,0,0,0,2,1
part_21068004,intermittent,3,0.143117,0.286234,,0.532351,0.532351,1,0.5,0.666667,1,0,1,0.166667,0.333333,,0.532351,0.532351,0.666667,1,0.8,2,1,0
part_21081243,intermittent,3,0.17092,0.34184,,,,1,0.333333,0.5,1,0,2,0.17092,0.34184,,,,1,0.333333,0.5,1,0,2
part_21314113,intermittent,3,0.303605,0.60721,,0.382444,0.496072,0,0,0,0,0,1,0.303605,0.60721,,0.382444,0.496072,0,0,0,0,0,1
part_21034119,intermittent,3,0.330219,0.660438,,0.660438,0.704548,0,0,0,0,1,0,0.404786,0.809571,,0.660438,0.704548,0,0,0,0,2,0
part_21046251,intermittent,3,0.365685,0.73137,,,,0,0,0,0,0,3,0.365685,0.73137,,,,0,0,0,0,0,3
part_21048468,lumpy,3,0.0685498,0.1371,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21049101,intermittent,3,0.242496,0.484992,,1,1,0.5,0.5,0.5,1,1,1,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21049345,intermittent,3,0.309897,0.619795,,0.495219,0.495219,0,0,0,0,0,2,0.309897,0.619795,,0.495219,0.495219,0,0,0,0,0,2
part_21052143,lumpy,3,0.0985657,0.197131,,,,1,0.666667,0.8,2,0,1,0.0985657,0.197131,,,,1,0.666667,0.8,2,0,1
part_21053172,intermittent,3,0.349887,0.699774,,0.290647,0.290647,0,0,0,0,0,2,0.349887,0.699774,,0.290647,0.290647,0,0,0,0,0,2
part_21056307,intermittent,3,0.344973,0.689947,,,,0,0,0,0,0,3,0.305998,0.611995,,,,1,0.333333,0.5,1,0,2
part_21057243,intermittent,3,0.115597,0.231193,,,,1,0.666667,0.8,2,0,1,0.115597,0.231193,,,,1,0.666667,0.8,2,0,1
part_21058486,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21059826,intermittent,3,0.298467,0.596933,,0.90291,0.90291,1,0.5,0.666667,1,0,1,0.314648,0.629297,,0.90291,0.90291,0.5,0.5,0.5,1,1,1
