series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.599792,1.19958,,1.59875,1.59875,0,0,0,0,0,1,0.666667,1.33333,,1.59875,1.59875,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.267545,0.53509,,0.605269,0.605269,0,0,0,0,0,1,0.333333,0.666667,,0.605269,0.605269,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.20137,0.402739,,0.791782,0.791782,0,0,0,0,0,2,0.166667,0.333333,,0.791782,0.791782,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.230221,0.460443,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.29538,0.590761,,0.772282,0.772282,0,0,0,0,0,1,0.333333,0.666667,,0.772282,0.772282,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.643753,1.28751,,1.86252,1.86252,0,0,0,0,0,1,0.666667,1.33333,,1.86252,1.86252,0.333333,1,0.5,1,2,0
part_21048956,intermittent,3,0.263524,0.527049,,,,0,0,0,0,0,3,0.263524,0.527049,,,,0,0,0,0,0,3
part_21053093,intermittent,3,0.216643,0.433286,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.280355,0.56071,,0.682129,0.682129,0,0,0,0,0,1,0.333333,0.666667,,0.682129,0.682129,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.294069,0.588138,,,,0,0,0,0,0,3,0.294069,0.588138,,,,0,0,0,0,0,3
part_15369646,intermittent,3,0.642581,1.28516,,1.85549,1.85549,0,0,0,0,0,1,0.666667,1.33333,,1.85549,1.85549,0.333333,1,0.5,1,2,0
part_21048462,intermittent,3,0.251983,0.503965,,0.488105,0.488105,0,0,0,0,0,2,0.251983,0.503965,,0.488105,0.488105,0,0,0,0,0,2
part_21051544,intermittent,3,0.258095,0.51619,,0.45143,0.45143,0,0,0,0,0,2,0.258095,0.51619,,0.45143,0.45143,0,0,0,0,0,2
part_21053057,intermittent,3,0.241401,0.482802,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.280804,0.561608,,,,0,0,0,0,0,3,0.280804,0.561608,,,,0,0,0,0,0,3
part_21091738,intermittent,3,0.235546,0.471092,,0.586723,0.586723,0,0,0,0,0,2,0.166667,0.333333,,0.586723,0.586723,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.264875,0.529749,,,,0,0,0,0,0,3,0.264875,0.529749,,,,0,0,0,0,0,3
part_90289102,intermittent,3,0.754748,1.5095,,1.5095,1.77974,0,0,0,0,0,0,0.833333,1.66667,,1.5095,1.77974,0,0,0,0,3,0
part_90451378,intermittent,3,0.640601,1.2812,,1.84361,2.09735,0,0,0,0,0,1,0.666667,1.33333,,1.84361,2.09735,0.333333,1,0.5,1,2,0
part_90451465,intermittent,3,0.131958,0.263916,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21041727,intermittent,3,0.253372,0.506745,,,,0,0,0,0,0,3,0.253372,0.506745,,,,0,0,0,0,0,3
part_21054756,intermittent,3,0.245412,0.490825,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.256278,0.512557,,,,0,0,0,0,0,3,0.256278,0.512557,,,,0,0,0,0,0,3
part_21055097,intermittent,3,0.235496,0.470993,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.194432,0.388864,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056514,intermittent,3,0.23474,0.46948,,0.591561,0.591561,0,0,0,0,0,2,0.166667,0.333333,,0.591561,0.591561,0.666667,1,0.8,2,1,0
part_21060750,intermittent,3,0.223263,0.446526,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21064875,intermittent,3,0.272483,0.544965,,0.634896,0.634896,0,0,0,0,0,1,0.333333,0.666667,,0.634896,0.634896,0.333333,1,0.5,1,2,0
