series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.607896,1.21579,,1.74647,1.74925,0,0,0,0,0,1,0.666667,1.33333,,1.74647,1.74925,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.181106,0.362212,,0.543318,0.558474,1,1,1,1,0,0,0.235683,0.471365,,0.543318,0.558474,0.5,1,0.666667,1,1,0
part_21314374,intermittent,3,0.11439,0.228779,,0.498243,0.498243,0,0,0,0,0,2,0.0830405,0.166081,,0.498243,0.498243,1,1,1,2,0,0
part_21068915,intermittent,3,0.23923,0.478459,,,,0,0,0,0,0,3,0.18339,0.366781,,,,1,0.333333,0.5,1,0,2
part_21313797,intermittent,3,0.270979,0.541958,,0.729965,0.778311,0,0,0,0,1,1,0.243322,0.486643,,0.729965,0.778311,0.5,1,0.666667,1,1,0
part_21029651,intermittent,3,0.729204,1.45841,,2,2,0,0,0,0,2,1,0.666667,1.33333,,2,2,0.333333,1,0.5,1,2,0
part_21048956,intermittent,3,0.274027,0.548053,,,,0,0,0,0,0,3,0.248666,0.497331,,,,1,0.333333,0.5,1,0,2
part_21053093,intermittent,3,0.127203,0.254406,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.116795,0.23359,,0.22561,0.265307,0,0,0,0,0,1,0.0752033,0.150407,,0.22561,0.265307,1,1,1,1,0,0
part_21137158,intermittent,3,0.150946,0.301891,,,,1,0.333333,0.5,1,0,2,0.0985267,0.197053,,,,1,0.666667,0.8,2,0,1
part_15369646,intermittent,3,0.683734,1.36747,,2,2,0,0,0,0,2,1,0.666667,1.33333,,2,2,0.333333,1,0.5,1,2,0
part_21048462,intermittent,3,0.405302,0.810603,,0.693199,0.693199,0,0,0,0,0,2,0.456435,0.91287,,0.693199,0.693199,0,0,0,0,1,2
part_21051544,intermittent,3,0.442748,0.885496,,1,1,0,0,0,0,1,2,0.442748,0.885496,,1,1,0,0,0,0,1,2
part_21053057,intermittent,3,0.199871,0.399742,,,,0,0,0,0,0,3,0.178558,0.357115,,,,1,0.333333,0.5,1,0,2
part_21060309,intermittent,3,0.116089,0.232179,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.162254,0.324508,,0.345867,0.345867,0,0,0,0,0,2,0.149796,0.299591,,0.345867,0.345867,1,0.5,0.666667,1,0,1
part_21091776,intermittent,3,0.165876,0.331752,,,,1,0.333333,0.5,1,0,2,0.0950367,0.190073,,,,1,0.666667,0.8,2,0,1
part_90289102,intermittent,3,0.814746,1.62949,,1.62949,1.85681,0,0,0,0,2,0,0.833333,1.66667,,1.62949,1.85681,0,0,0,0,3,0
part_90451378,intermittent,3,0.628898,1.2578,,1.88669,2.08467,0.5,1,0.666667,1,1,0,0.666667,1.33333,,1.88669,2.08467,0.333333,1,0.5,1,2,0
part_90451465,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21041727,intermittent,3,0.275514,0.551028,,,,0,0,0,0,0,3,0.255129,0.510258,,,,1,0.333333,0.5,1,0,2
part_21054756,intermittent,3,0.264174,0.528348,,,,0,0,0,0,0,3,0.19499,0.38998,,,,1,0.333333,0.5,1,0,2
part_21054788,intermittent,3,0.312359,0.624718,,,,0,0,0,0,0,3,0.298111,0.596222,,,,1,0.333333,0.5,1,0,2
part_21055097,intermittent,3,0.146541,0.293083,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.44174,0.883479,,,,0,0,0,0,0,3,0.407121,0.814242,,,,1,0.333333,0.5,1,0,2
part_21056514,intermittent,3,0.168273,0.336547,,1,1,0.5,0.5,0.5,1,1,1,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21060750,intermittent,3,0.237599,0.475197,,,,1,0.333333,0.5,1,0,2,0.237599,0.475197,,,,1,0.333333,0.5,1,0,2
part_21064875,intermittent,3,0.295023,0.590046,,0.573822,0.692884,0,0,0,0,0,1,0.301328,0.602655,,0.573822,0.692884,0,0,0,0,1,1
part_21068004,intermittent,3,0.22421,0.44842,,0.891522,0.891522,1,0.5,0.666667,1,0,1,0.166667,0.333333,,0.891522,0.891522,0.666667,1,0.8,2,1,0
part_21081243,intermittent,3,0.184642,0.369284,,,,0,0,0,0,0,3,0.0966548,0.19331,,,,1,0.666667,0.8,2,0,1
part_21314113,intermittent,3,0.5,1,,1.5,1.58114,0.333333,1,0.5,1,2,0,0.5,1,,1.5,1.58114,0.333333,1,0.5,1,2,0
part_21034119,intermittent,3,0.376916,0.753831,,0.753831,0.778792,0,0,0,0,1,0,0.5,1,,0.753831,0.778792,0,0,0,0,3,0
part_21046251,intermittent,3,0.191848,0.383695,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21048468,lumpy,3,0.200417,0.400833,,,,1,0.333333,0.5,1,0,2,0.127248,0.254496,,,,1,0.666667,0.8,2,0,1
part_21049101,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
