series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.666667,1.33333,,2,2,0,0,0,0,0,1,0.666667,1.33333,,2,2,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.281383,0.562767,,0.822992,0.823898,0,0,0,0,0,1,0.333333,0.666667,,0.822992,0.823898,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.131349,0.262697,,0.455698,0.455698,0,0,0,0,0,2,0.0759496,0.151899,,0.455698,0.455698,1,1,1,2,0,0
part_21068915,intermittent,3,4.96871e-13,9.93742e-13,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.325093,0.650185,,0.641403,0.710414,0,0,0,0,0,1,0.333953,0.667906,,0.641403,0.710414,0,0,0,0,1,1
part_21029651,intermittent,3,0.658357,1.31671,,1.74902,1.76233,0,0,0,0,0,1,0.666667,1.33333,,1.74902,1.76233,0.333333,1,0.5,1,2,0
part_21048956,intermittent,3,4.6472e-13,9.2944e-13,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.0795436,0.159087,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.274312,0.548623,,0.808543,0.81605,0,0,0,0,0,1,0.333333,0.666667,,0.808543,0.81605,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,1.04742e-12,2.09484e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.463604,0.927208,,1.36485,1.37291,0,0,0,0,0,1,0.536052,1.0721,,1.36485,1.37291,0.5,1,0.666667,1,1,0
part_21048462,intermittent,3,0.166667,0.333333,,1,1,0,0,0,0,0,2,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.166667,0.333333,,1,1,0,0,0,0,0,2,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,1.23111e-12,2.46222e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,6.03458e-12,1.20692e-11,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.194771,0.389542,,1.00141,1.00141,0,0,0,0,0,2,0.166667,0.333333,,1.00141,1.00141,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,6.91723e-13,1.38345e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.560856,1.12171,,1.12171,1.40637,0,0,0,0,0,0,0.607647,1.21529,,1.12171,1.40637,0,0,0,0,1,0
part_90451378,intermittent,3,0.501641,1.00328,,1.4858,1.81106,0,0,0,0,0,1,0.575042,1.15008,,1.4858,1.81106,0.5,1,0.666667,1,1,0
part_90451465,intermittent,3,0.364406,0.728812,,,,0,0,0,0,0,3,0.364406,0.728812,,,,0,0,0,0,0,3
part_21041727,intermittent,3,0.120194,0.240388,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054756,intermittent,3,9.8518e-13,1.97036e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.0570031,0.114006,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055097,intermittent,3,2.32245e-12,4.64491e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.132582,0.265164,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056514,intermittent,3,0.214522,0.429044,,0.504871,0.504871,0,0,0,0,0,2,0.265478,0.530956,,0.504871,0.504871,0.5,0.5,0.5,1,1,1
part_21060750,intermittent,3,1.50898e-12,3.01795e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21064875,intermittent,3,0.308494,0.616988,,0.667247,0.728234,0,0,0,0,0,1,0.315332,0.630663,,0.667247,0.728234,0,0,0,0,1,1
part_21068004,intermittent,3,0.216521,0.433041,,0.788049,0.788049,0,0,0,0,0,2,0.166667,0.333333,,0.788049,0.788049,0.666667,1,0.8,2,1,0
part_21081243,intermittent,3,3.9605e-13,7.92101e-13,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21314113,intermittent,3,0.317519,0.635038,,0.854893,1.08413,0,0,0,0,0,1,0.364698,0.729396,,0.854893,1.08413,0.5,1,0.666667,1,1,0
part_21034119,intermittent,3,0.386424,0.772848,,0.772848,0.78903,0,0,0,0,0,0,0.5,1,,0.772848,0.78903,0,0,0,0,3,0
part_21046251,intermittent,3,0.0448626,0.0897253,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21048468,lumpy,3,2.51025e-13,5.02051e-13,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049101,intermittent,3,0.23307,0.466141,,0.954741,0.954741,0,0,0,0,0,2,0.166667,0.333333,,0.954741,0.954741,0.666667,1,0.8,2,1,0
part_21049345,intermittent,3,0.166667,0.333333,,1,1,0,0,0,0,0,2,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21052143,lumpy,3,0.106622,0.213243,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053172,intermittent,3,0.175425,0.350851,,0.829875,0.829875,0,0,0,0,0,2,0.166667,0.333333,,0.829875,0.829875,0.666667,1,0.8,2,1,0
part_21056307,intermittent,3,0.160338,0.320676,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057243,intermittent,3,0.0879201,0.17584,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21058486,intermittent,3,0.238248,0.476497,,1.00254,1.00254,0,0,0,0,0,2,0.166667,0.333333,,1.00254,1.00254,0.666667,1,0.8,2,1,0
part_21059826,intermittent,3,0.172599,0.345199,,0.784621,0.784621,0,0,0,0,0,2,0.166667,0.333333,,0.784621,0.784621,0.666667,1,0.8,2,1,0
part_21063282,intermittent,3,9.77773e-13,1.95555e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21066522,lumpy,3,0.253293,0.506586,,0.289035,0.289035,0,0,0,0,0,2,0.253293,0.506586,,0.289035,0.289035,0,0,0,0,0,2
part_21068926,intermittent,3,0.0412524,0.0825049,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091641,intermittent,3,1.09733e-12,2.19466e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21135776,intermittent,3,0.44482,0.889641,,0.889641,1.01713,0,0,0,0,0,0,0.666667,1.33333,,0.889641,1.01713,0,0,0,0,3,0
part_21035345,intermittent,3,1.05761e-12,2.11523e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049344,intermittent,3,0.30696,0.61392,,0.830433,0.830524,0,0,0,0,0,1,0.333333,0.666667,,0.830433,0.830524,0.333333,1,0.5,1,2,0
part_21049908,lumpy,3,0.10408,0.208159,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21050118,intermittent,3,0.0595927,0.119185,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054524,intermittent,3,8.70635e-13,1.74127e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055106,intermittent,3,7.76223e-13,1.55245e-12,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055773,intermittent,3,0.0735636,0.147127,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21069784,intermittent,3,0.271349,0.542698,,0.906828,0.906828,0,0,0,0,0,2,0.166667,0.333333,,0.906828,0.906828,0.666667,1,0.8,2,1,0
part_21088599,intermittent,3,0.321789,0.643578,,0.951068,1.10076,0,0,0,0,0,1,0.399478,0.798957,,0.951068,1.10076,0.5,1,0.666667,1,1,0
part_21091929,intermittent,3,0.0260529,0.0521057,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21312136,intermittent,3,0.247212,0.494424,,,,0,0,0,0,0,3,0.22805,0.456101,,,,1,0.333333,0.5,1,0,2
part_21315505,intermittent,3,0.126203,0.252406,,0.358049,0.358049,0,0,0,0,0,2,0.0596748,0.11935,,0.358049,0.358049,1,1,1,2,0,0
part_21034604,intermittent,3,0.124301,0.248603,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21046875,intermittent,3,0.134726,0.269453,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049208,intermittent,3,0.165714,0.331429,,0.726736,0.726736,0,0,0,0,0,2,0.166667,0.333333,,0.726736,0.726736,0.666667,1,0.8,2,1,0
part_21050411,intermittent,3,0.23661,0.47322,,0.632542,0.633342,0,0,0,0,0,1,0.333333,0.666667,,0.632542,0.633342,0.333333,1,0.5,1,2,0
part_21053489,intermittent,3,0.464503,0.929007,,1.33197,1.45847,0,0,0,0,0,1,0.5,1,,1.33197,1.45847,0.333333,1,0.5,1,2,0
part_21054132,intermittent,3,0.148751,0.297503,,0.75808,0.75808,0,0,0,0,0,2,0.166667,0.333333,,0.75808,0.75808,0.666667,1,0.8,2,1,0
part_21054575,intermittent,3,0.103138,0.206276,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054763,lumpy,3,0.153291,0.306583,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057478,intermittent,3,0.162852,0.325704,,0.841525,0.841525,0,0,0,0,0,2,0.166667,0.333333,,0.841525,0.841525,0.666667,1,0.8,2,1,0
part_21058481,intermittent,3,0.434978,0.869955,,0.869955,0.876458,0,0,0,0,0,0,0.5,1,,0.869955,0.876458,0,0,0,0,3,0
part_21059366,intermittent,3,0.166595,0.333189,,,,0,0,0,0,0,3,0.087146,0.174292,,,,1,0.666667,0.8,2,0,1
part_21060802,intermittent,3,0.0729107,0.145821,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063074,intermittent,3,0.306113,0.612227,,,,0,0,0,0,0,3,0.263262,0.526524,,,,1,0.333333,0.5,1,0,2
part_21063128,lumpy,3,0.113343,0.226687,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063276,intermittent,3,0.0410078,0.0820156,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063285,intermittent,3,1.2206e-11,2.44119e-11,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21051523,intermittent,3,0.311648,0.623296,,1.00324,1.00324,0,0,0,0,0,2,0.250154,0.500309,,1.00324,1.00324,0.5,0.5,0.5,1,1,1
part_21054577,intermittent,3,0.166667,0.333333,,1,1,0,0,0,0,0,2,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21056927,intermittent,3,0.137593,0.275186,,0.712596,0.712596,0,0,0,0,0,2,0.166667,0.333333,,0.712596,0.712596,0.666667,1,0.8,2,1,0
part_21057234,lumpy,3,0.0500757,0.100151,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21059355,intermittent,3,0.150495,0.300991,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21062996,intermittent,3,0.16436,0.328719,,0.280405,0.280405,0,0,0,0,0,2,0.162604,0.325208,,0.280405,0.280405,1,0.5,0.666667,1,0,1
part_21063040,intermittent,3,0.226077,0.452154,,0.651569,0.65157,0,0,0,0,0,1,0.333333,0.666667,,0.651569,0.65157,0.333333,1,0.5,1,2,0
part_21063131,intermittent,3,0.0494228,0.0988455,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063293,lumpy,3,5.71257e-12,1.14251e-11,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063312,intermittent,3,0.169004,0.338007,,0.568924,0.568924,0,0,0,0,0,2,0.166667,0.333333,,0.568924,0.568924,0.666667,1,0.8,2,1,0
