series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.540594,1.08119,,1.62178,1.6653,0.5,1,0.666667,1,1,0,0.540594,1.08119,,1.62178,1.6653,0.5,1,0.666667,1,1,0
part_21091739,intermittent,3,0.273798,0.547595,,0.669361,0.671455,0,0,0,0,0,1,0.333333,0.666667,,0.669361,0.671455,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.339729,0.679458,,0.879022,0.879022,0,0,0,0,0,2,0.354065,0.708129,,0.879022,0.879022,0.5,0.5,0.5,1,1,1
part_21068915,intermittent,3,0.161983,0.323965,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.370019,0.740038,,0.623732,0.626735,0,0,0,0,0,1,0.495441,0.990883,,0.623732,0.626735,0,0,0,0,2,1
part_21029651,intermittent,3,0.514411,1.02882,,1.19911,1.2005,0,0,0,0,0,1,0.514411,1.02882,,1.19911,1.2005,0,0,0,0,0,1
part_21048956,intermittent,3,0.0779891,0.155978,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.262085,0.524169,,,,1,0.333333,0.5,1,0,2,0.262085,0.524169,,,,1,0.333333,0.5,1,0,2
part_21057481,intermittent,3,0.28283,0.56566,,0.749438,0.790215,0,0,0,0,1,1,0.249813,0.499626,,0.749438,0.790215,0.5,1,0.666667,1,1,0
part_21137158,intermittent,3,0.234523,0.469047,,,,0,0,0,0,0,3,0.11874,0.237479,,,,1,0.666667,0.8,2,0,1
part_15369646,intermittent,3,0.527433,1.05487,,1.18488,1.18563,0,0,0,0,0,1,0.527433,1.05487,,1.18488,1.18563,0,0,0,0,0,1
part_21048462,intermittent,3,0.188362,0.376723,,0.628944,0.628944,1,0.5,0.666667,1,0,1,0.250204,0.500409,,0.628944,0.628944,0.5,0.5,0.5,1,1,1
part_21051544,intermittent,3,0.156796,0.313591,,0.940773,0.940773,1,1,1,2,0,0,0.166667,0.333333,,0.940773,0.940773,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.305105,0.610209,,,,1,0.333333,0.5,1,0,2,0.305105,0.610209,,,,1,0.333333,0.5,1,0,2
part_21091738,intermittent,3,0.211844,0.423687,,0.94109,0.94109,0,0,0,0,0,2,0.166667,0.333333,,0.94109,0.94109,0.666667,1,0.8,2,1,0
