series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.666667,1.33333,,2,2,0.333333,1,0.5,1,2,0,0.666667,1.33333,,2,2,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.241524,0.483048,,0.724571,0.775155,0.5,1,0.666667,1,1,0,0.241524,0.483048,,0.724571,0.775155,0.5,1,0.666667,1,1,0
part_21314374,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.358916,0.717832,,1,1,0,0,0,0,2,1,0.333333,0.666667,,1,1,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.728341,1.45668,,2,2,0,0,0,0,2,1,0.666667,1.33333,,2,2,0.333333,1,0.5,1,2,0
part_21048956,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.0492408,0.0984816,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.381112,0.762224,,1,1,0,0,0,0,2,1,0.333333,0.666667,,1,1,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.0982906,0.196581,,,,1,0.333333,0.5,1,0,2,0.0937036,0.187407,,,,1,0.666667,0.8,2,0,1
part_15369646,intermittent,3,0.666667,1.33333,,2,2,0.333333,1,0.5,1,2,0,0.666667,1.33333,,2,2,0.333333,1,0.5,1,2,0
part_21048462,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.157588,0.315176,,0.945527,0.945527,1,1,1,2,0,0,0.166667,0.333333,,0.945527,0.945527,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.0251495,0.0502989,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.10737,0.214739,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.183053,0.366107,,1,1,0.5,0.5,0.5,1,1,1,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.154913,0.309825,,,,1,0.333333,0.5,1,0,2,0.0894147,0.178829,,,,1,0.666667,0.8,2,0,1
part_90289102,intermittent,3,0.833333,1.66667,,1.66667,1.91485,0,0,0,0,3,0,0.833333,1.66667,,1.66667,1.91485,0,0,0,0,3,0
part_90451378,intermittent,3,0.666667,1.33333,,2,2.23607,0.333333,1,0.5,1,2,0,0.666667,1.33333,,2,2.23607,0.333333,1,0.5,1,2,0
part_90451465,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21041727,intermittent,3,0.240808,0.481617,,,,1,0.333333,0.5,1,0,2,0.240808,0.481617,,,,1,0.333333,0.5,1,0,2
part_21054756,intermittent,3,0.173254,0.346508,,,,1,0.333333,0.5,1,0,2,0.103221,0.206443,,,,1,0.666667,0.8,2,0,1
part_21054788,intermittent,3,0.18034,0.36068,,,,1,0.666667,0.8,2,0,1,0.18034,0.36068,,,,1,0.666667,0.8,2,0,1
part_21055097,intermittent,3,0.0895485,0.179097,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.206892,0.413784,,,,1,0.666667,0.8,2,0,1,0.206892,0.413784,,,,1,0.666667,0.8,2,0,1
part_21056514,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21060750,intermittent,3,0.22278,0.44556,,,,1,0.333333,0.5,1,0,2,0.144406,0.288812,,,,1,0.666667,0.8,2,0,1
part_21064875,intermittent,3,0.431243,0.862487,,1,1,0,0,0,0,2,1,0.431243,0.862487,,1,1,0,0,0,0,2,1
part_21068004,intermittent,3,0.217643,0.435286,,0.884403,0.884403,1,0.5,0.666667,1,0,1,0.166667,0.333333,,0.884403,0.884403,0.666667,1,0.8,2,1,0
part_21081243,intermittent,3,0.0152661,0.0305323,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21314113,intermittent,3,0.5,1,,1.5,1.58114,0.333333,1,0.5,1,2,0,0.5,1,,1.5,1.58114,0.333333,1,0.5,1,2,0
part_21034119,intermittent,3,0.426268,0.852536,,0.852536,0.877673,0,0,0,0,2,0,0.5,1,,0.852536,0.877673,0,0,0,0,3,0
part_21046251,intermittent,3,0.0622752,0.12455,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21048468,lumpy,3,0.121096,0.242192,,,,1,0.666667,0.8,2,0,1,0.121096,0.242192,,,,1,0.666667,0.8,2,0,1
part_21049101,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21049345,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21052143,lumpy,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21053172,intermittent,3,0.156107,0.312213,,0.93664,0.93664,1,1,1,2,0,0,0.166667,0.333333,,0.93664,0.93664,0.666667,1,0.8,2,1,0
part_21056307,intermittent,3,0.154146,0.308292,,,,1,0.333333,0.5,1,0,2,0.107922,0.215844,,,,1,0.666667,0.8,2,0,1
part_21057243,intermittent,3,0.387001,0.774003,,,,0,0,0,0,0,3,0.344087,0.688174,,,,1,0.333333,0.5,1,0,2
part_21058486,intermittent,3,0.405038,0.810076,,1,1,0,0,0,0,1,2,0.405038,0.810076,,1,1,0,0,0,0,1,2
part_21059826,intermittent,3,0.152625,0.30525,,0.384996,0.384996,1,0.5,0.666667,1,0,1,0.152625,0.30525,,0.384996,0.384996,1,0.5,0.666667,1,0,1
part_21063282,intermittent,3,0.00980802,0.019616,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21066522,lumpy,3,0.102306,0.204612,,0.445924,0.445924,1,0.5,0.666667,1,0,1,0.0743207,0.148641,,0.445924,0.445924,1,1,1,2,0,0
part_21068926,intermittent,3,0.127888,0.255776,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091641,intermittent,3,0.0799119,0.159824,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21135776,intermittent,3,0.666667,1.33333,,1.33333,1.41421,0,0,0,0,3,0,0.666667,1.33333,,1.33333,1.41421,0,0,0,0,3,0
part_21035345,intermittent,3,0.00587897,0.0117579,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21049344,intermittent,3,0.33167,0.663341,,0.963721,0.964404,0,0,0,0,1,1,0.333333,0.666667,,0.963721,0.964404,0.333333,1,0.5,1,2,0
part_21049908,lumpy,3,0.150949,0.301898,,,,1,0.666667,0.8,2,0,1,0.150949,0.301898,,,,1,0.666667,0.8,2,0,1
part_21050118,intermittent,3,0.148249,0.296498,,,,1,0.666667,0.8,2,0,1,0.148249,0.296498,,,,1,0.666667,0.8,2,0,1
part_21054524,intermittent,3,0.0271795,0.054359,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21055106,intermittent,3,0.0297573,0.0595146,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21055773,intermittent,3,0.00691676,0.0138335,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21069784,intermittent,3,0.232263,0.464527,,1,1,0.5,0.5,0.5,1,1,1,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21088599,intermittent,3,0.388231,0.776462,,1.04419,1.21963,0,0,0,0,0,1,0.402329,0.804657,,1.04419,1.21963,0.5,1,0.666667,1,1,0
part_21091929,intermittent,3,0.0312934,0.0625867,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21312136,intermittent,3,0.352119,0.704238,,,,1,0.333333,0.5,1,0,2,0.352119,0.704238,,,,1,0.333333,0.5,1,0,2
part_21315505,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21034604,intermittent,3,0.149699,0.299398,,,,1,0.666667,0.8,2,0,1,0.149699,0.299398,,,,1,0.666667,0.8,2,0,1
part_21046875,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21049208,intermittent,3,0.177807,0.355614,,1,1,0.5,0.5,0.5,1,1,1,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21050411,intermittent,3,0.333333,0.666667,,1,1,0.333333,1,0.5,1,2,0,0.333333,0.666667,,1,1,0.333333,1,0.5,1,2,0
part_21053489,intermittent,3,0.5,1,,1.5,1.58114,0.333333,1,0.5,1,2,0,0.5,1,,1.5,1.58114,0.333333,1,0.5,1,2,0
part_21054132,intermittent,3,0.270586,0.541171,,1,1,0.5,0.5,0.5,1,1,1,0.270586,0.541171,,1,1,0.5,0.5,0.5,1,1,1
part_21054575,intermittent,3,0.099629,0.199258,,,,1,0.666667,0.8,2,0,1,0.099629,0.199258,,,,1,0.666667,0.8,2,0,1
part_21054763,lumpy,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21057478,intermittent,3,0.220179,0.440359,,1,1,0.5,0.5,0.5,1,1,1,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21058481,intermittent,3,0.343448,0.686895,,0.686895,0.817248,0,0,0,0,2,0,0.343448,0.686895,,0.686895,0.817248,0,0,0,0,2,0
part_21059366,intermittent,3,0.617048,1.2341,,,,0,0,0,0,0,3,0.617048,1.2341,,,,0,0,0,0,0,3
part_21060802,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21063074,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21063128,lumpy,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21063276,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21063285,intermittent,3,0.116388,0.232776,,,,1,0.666667,0.8,2,0,1,0.116388,0.232776,,,,1,0.666667,0.8,2,0,1
part_21051523,intermittent,3,0.54494,1.08988,,0.914852,0.914852,0,0,0,0,0,2,0.559131,1.11826,,0.914852,0.914852,0,0,0,0,1,2
part_21054577,intermittent,3,0.172708,0.345416,,1,1,0.5,0.5,0.5,1,1,1,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21056927,intermittent,3,0.0821581,0.164316,,0.492949,0.492949,1,1,1,2,0,0,0.0821581,0.164316,,0.492949,0.492949,1,1,1,2,0,0
part_21057234,lumpy,3,0.175285,0.35057,,,,1,0.333333,0.5,1,0,2,0.152314,0.304629,,,,1,0.666667,0.8,2,0,1
part_21059355,intermittent,3,0.00223547,0.00447094,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21062996,intermittent,3,0.351161,0.702322,,1,1,0.5,0.5,0.5,1,1,1,0.351161,0.702322,,1,1,0.5,0.5,0.5,1,1,1
part_21063040,intermittent,3,0.215805,0.43161,,0.647416,0.737199,0.5,1,0.666667,1,1,0,0.215805,0.43161,,0.647416,0.737199,0.5,1,0.666667,1,1,0
part_21063131,intermittent,3,0.0607132,0.121426,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21063293,lumpy,3,0.189975,0.379951,,,,1,0.333333,0.5,1,0,2,0.109006,0.218012,,,,1,0.666667,0.8,2,0,1
part_21063312,intermittent,3,0.318401,0.636801,,1,1,0.5,0.5,0.5,1,1,1,0.318401,0.636801,,1,1,0.5,0.5,0.5,1,1,1
part_21070196,intermittent,3,0.124676,0.249352,,,,1,0.666667,0.8,2,0,1,0.124676,0.249352,,,,1,0.666667,0.8,2,0,1
part_21312114,lumpy,3,0.183949,0.367899,,,,1,0.666667,0.8,2,0,1,0.183949,0.367899,,,,1,0.666667,0.8,2,0,1
part_21034225,intermittent,3,0.333333,0.666667,,1,1,0.333333,1,0.5,1,2,0,0.333333,0.666667,,1,1,0.333333,1,0.5,1,2,0
part_21035077,intermittent,3,0.0605222,0.121044,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21049124,intermittent,3,0.333333,0.666667,,1,1,0.333333,1,0.5,1,2,0,0.333333,0.666667,,1,1,0.333333,1,0.5,1,2,0
part_21050806,intermittent,3,0.266966,0.533932,,,,1,0.333333,0.5,1,0,2,0.266966,0.533932,,,,1,0.333333,0.5,1,0,2
part_21054143,intermittent,3,0.666667,1.33333,,4,4,0.666667,1,0.8,2,1,0,0.666667,1.33333,,4,4,0.666667,1,0.8,2,1,0
part_21057242,intermittent,3,0.214474,0.428948,,,,1,0.333333,0.5,1,0,2,0.159952,0.319905,,,,1,0.666667,0.8,2,0,1
part_21061145,lumpy,3,0.202763,0.405526,,1,1,0.5,0.5,0.5,1,1,1,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21064864,intermittent,3,0.420065,0.84013,,1.2602,1.28678,0.5,1,0.666667,1,1,0,0.5,1,,1.2602,1.28678,0.333333,1,0.5,1,2,0
