series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.618344,1.23669,,1.71687,1.71687,0,0,0,0,0,1,0.666667,1.33333,,1.71687,1.71687,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.28066,0.56132,,0.669183,0.669197,0,0,0,0,0,1,0.333333,0.666667,,0.669183,0.669197,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.219273,0.438545,,0.688073,0.688073,0,0,0,0,0,2,0.166667,0.333333,,0.688073,0.688073,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.190364,0.380728,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.277704,0.555409,,0.680643,0.680665,0,0,0,0,0,1,0.333333,0.666667,,0.680643,0.680665,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.624761,1.24952,,1.75027,1.75034,0,0,0,0,0,1,0.666667,1.33333,,1.75027,1.75034,0.333333,1,0.5,1,2,0
part_21048956,intermittent,3,0.185199,0.370398,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.200699,0.401398,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.262224,0.524448,,0.572465,0.572465,0,0,0,0,0,1,0.333333,0.666667,,0.572465,0.572465,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.207883,0.415766,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.639287,1.27857,,1.81559,1.8156,0,0,0,0,0,1,0.666667,1.33333,,1.81559,1.8156,0.333333,1,0.5,1,2,0
part_21048462,intermittent,3,0.22885,0.4577,,0.655225,0.655225,0,0,0,0,0,2,0.166667,0.333333,,0.655225,0.655225,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.249236,0.498472,,0.52347,0.52347,0,0,0,0,0,2,0.166667,0.333333,,0.52347,0.52347,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.219989,0.439978,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.219989,0.439978,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.238872,0.477745,,0.566959,0.566959,0,0,0,0,0,2,0.166667,0.333333,,0.566959,0.566959,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.219989,0.439978,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.713416,1.42683,,1.42683,1.71078,0,0,0,0,0,0,0.833333,1.66667,,1.42683,1.71078,0,0,0,0,3,0
part_90451378,intermittent,3,0.636767,1.27353,,1.80825,2.06464,0,0,0,0,0,1,0.666667,1.33333,,1.80825,2.06464,0.333333,1,0.5,1,2,0
part_90451465,intermittent,3,0.195407,0.390815,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21041727,intermittent,3,0.235543,0.471085,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054756,intermittent,3,0.207883,0.415766,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.223907,0.447814,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055097,intermittent,3,0.232464,0.464928,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.231295,0.46259,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056514,intermittent,3,0.246899,0.493799,,0.596441,0.596441,0,0,0,0,0,2,0.166667,0.333333,,0.596441,0.596441,0.666667,1,0.8,2,1,0
part_21060750,intermittent,3,0.249019,0.498038,,,,0,0,0,0,0,3,0.0841055,0.168211,,,,1,0.666667,0.8,2,0,1
part_21064875,intermittent,3,0.257979,0.515958,,0.568607,0.568663,0,0,0,0,0,1,0.333333,0.666667,,0.568607,0.568663,0.333333,1,0.5,1,2,0
part_21068004,intermittent,3,0.240822,0.481644,,0.559046,0.559046,0,0,0,0,0,2,0.166667,0.333333,,0.559046,0.559046,0.666667,1,0.8,2,1,0
part_21081243,intermittent,3,0.241413,0.482825,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21314113,intermittent,3,0.476288,0.952576,,1.33836,1.43064,0,0,0,0,0,1,0.5,1,,1.33836,1.43064,0.333333,1,0.5,1,2,0
part_21034119,intermittent,3,0.289799,0.579598,,0.579598,0.579602,0,0,0,0,0,0,0.5,1,,0.579598,0.579602,0,0,0,0,3,0
part_21046251,intermittent,3,0.224327,0.448654,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21048468,lumpy,3,0.233659,0.467318,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049101,intermittent,3,0.244729,0.489458,,0.461059,0.461059,0,0,0,0,0,2,0.162458,0.324916,,0.461059,0.461059,1,0.5,0.666667,1,0,1
part_21049345,intermittent,3,0.241203,0.482405,,0.582961,0.582961,0,0,0,0,0,2,0.166667,0.333333,,0.582961,0.582961,0.666667,1,0.8,2,1,0
part_21052143,lumpy,3,0.273682,0.547363,,,,0,0,0,0,0,3,0.273682,0.547363,,,,0,0,0,0,0,3
part_21053172,intermittent,3,0.237925,0.47585,,0.566686,0.566686,0,0,0,0,0,2,0.166667,0.333333,,0.566686,0.566686,0.666667,1,0.8,2,1,0
part_21056307,intermittent,3,0.276808,0.553616,,,,0,0,0,0,0,3,0.276808,0.553616,,,,0,0,0,0,0,3
part_21057243,intermittent,3,0.274434,0.548868,,,,0,0,0,0,0,3,0.274434,0.548868,,,,0,0,0,0,0,3
part_21058486,intermittent,3,0.249563,0.499126,,0.514932,0.514932,0,0,0,0,0,2,0.166667,0.333333,,0.514932,0.514932,0.666667,1,0.8,2,1,0
part_21059826,intermittent,3,0.252194,0.504389,,0.490353,0.490353,0,0,0,0,0,2,0.1696,0.3392,,0.490353,0.490353,1,0.5,0.666667,1,0,1
part_21063282,intermittent,3,0.265479,0.530957,,,,0,0,0,0,0,3,0.265479,0.530957,,,,0,0,0,0,0,3
part_21066522,lumpy,3,0.242611,0.485223,,0.550529,0.550529,0,0,0,0,0,2,0.166667,0.333333,,0.550529,0.550529,0.666667,1,0.8,2,1,0
part_21068926,intermittent,3,0.224334,0.448667,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091641,intermittent,3,0.210939,0.421878,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21135776,intermittent,3,0.459024,0.918049,,0.918049,1.03461,0,0,0,0,0,0,0.666667,1.33333,,0.918049,1.03461,0,0,0,0,3,0
part_21035345,intermittent,3,0.261487,0.522974,,,,0,0,0,0,0,3,0.261487,0.522974,,,,0,0,0,0,0,3
part_21049344,intermittent,3,0.248637,0.497273,,0.493455,0.493677,0,0,0,0,0,1,0.330598,0.661196,,0.493455,0.493677,0,0,0,0,1,1
part_21049908,lumpy,3,0.24825,0.496501,,,,0,0,0,0,0,3,0.0846197,0.169239,,,,1,0.666667,0.8,2,0,1
part_21050118,intermittent,3,0.212063,0.424126,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054524,intermittent,3,0.271132,0.542264,,,,0,0,0,0,0,3,0.271132,0.542264,,,,0,0,0,0,0,3
