series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.666667,1.33333,,2,2,0.333333,1,0.5,1,2,0,0.666667,1.33333,,2,2,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.330656,0.661311,,0.987243,0.987243,0,0,0,0,0,1,0.333333,0.666667,,0.987243,0.987243,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.178807,0.357614,,0.941748,0.941748,0,0,0,0,0,2,0.166667,0.333333,,0.941748,0.941748,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.331892,0.663784,,0.99275,0.992751,0,0,0,0,0,1,0.333333,0.666667,,0.99275,0.992751,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.57839,1.15678,,1.48074,1.48205,0,0,0,0,0,1,0.654559,1.30912,,1.48074,1.48205,0,0,0,0,1,1
part_21048956,intermittent,3,0.0550742,0.110148,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.305789,0.611578,,,,0,0,0,0,0,3,0.1669,0.3338,,,,1,0.666667,0.8,2,0,1
part_21057481,intermittent,3,0.309432,0.618864,,0.903297,0.908439,0,0,0,0,0,1,0.333333,0.666667,,0.903297,0.908439,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,7.47119e-05,0.000149424,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.5738,1.1476,,1.39057,1.39091,0,0,0,0,0,1,0.5738,1.1476,,1.39057,1.39091,0,0,0,0,0,1
part_21048462,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.166667,0.333333,,1,1,1,0.5,0.666667,1,0,1,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.168098,0.336197,,0.989002,0.989002,0,0,0,0,0,2,0.166667,0.333333,,0.989002,0.989002,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.135213,0.270426,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.423239,0.846478,,0.846478,1.11554,0,0,0,0,0,0,0.498819,0.997638,,0.846478,1.11554,0,0,0,0,1,0
part_90451378,intermittent,3,0.588893,1.17779,,1.64486,1.87367,0,0,0,0,0,1,0.666667,1.33333,,1.64486,1.87367,0.333333,1,0.5,1,2,0
part_90451465,intermittent,3,0.438783,0.877566,,,,0,0,0,0,0,3,0.438783,0.877566,,,,0,0,0,0,0,3
part_21041727,intermittent,3,0.00334842,0.00669684,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054756,intermittent,3,0.000129198,0.000258396,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.000143501,0.000287001,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055097,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.0396399,0.0792799,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056514,intermittent,3,0.250612,0.501224,,0.466449,0.466449,0,0,0,0,0,2,0.250612,0.501224,,0.466449,0.466449,0,0,0,0,0,2
part_21060750,intermittent,3,0.0860801,0.17216,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21064875,intermittent,3,0.327068,0.654136,,0.77287,0.804149,0,0,0,0,0,1,0.333333,0.666667,,0.77287,0.804149,0.333333,1,0.5,1,2,0
part_21068004,intermittent,3,0.348299,0.696597,,0.800186,0.800186,0,0,0,0,0,2,0.381601,0.763202,,0.800186,0.800186,0,0,0,0,1,2
part_21081243,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21314113,intermittent,3,0.305396,0.610791,,0.474602,0.633629,0,0,0,0,0,1,0.305396,0.610791,,0.474602,0.633629,0,0,0,0,0,1
part_21034119,intermittent,3,0.362191,0.724382,,0.724382,0.74768,0,0,0,0,0,0,0.5,1,,0.724382,0.74768,0,0,0,0,3,0
part_21046251,intermittent,3,0.120737,0.241473,,,,0,0,0,0,0,3,0.10768,0.21536,,,,1,0.666667,0.8,2,0,1
part_21048468,lumpy,3,7.67546e-05,0.000153509,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049101,intermittent,3,0.166965,0.333929,,0.997611,0.997611,0,0,0,0,0,2,0.166667,0.333333,,0.997611,0.997611,0.666667,1,0.8,2,1,0
part_21049345,intermittent,3,0.166633,0.333266,,0.999275,0.999275,0,0,0,0,0,2,0.166667,0.333333,,0.999275,0.999275,0.666667,1,0.8,2,1,0
part_21052143,lumpy,3,0.00981871,0.0196374,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053172,intermittent,3,0.166731,0.333463,,0.999627,0.999627,0,0,0,0,0,2,0.166667,0.333333,,0.999627,0.999627,0.666667,1,0.8,2,1,0
part_21056307,intermittent,3,0.206763,0.413526,,,,0,0,0,0,0,3,0.188617,0.377234,,,,1,0.333333,0.5,1,0,2
part_21057243,intermittent,3,0.0088307,0.0176614,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21058486,intermittent,3,0.121756,0.243511,,0.538403,0.538403,0,0,0,0,0,2,0.166667,0.333333,,0.538403,0.538403,0.666667,1,0.8,2,1,0
part_21059826,intermittent,3,0.22172,0.44344,,0.75,0.75,0,0,0,0,0,2,0.26305,0.526099,,0.75,0.75,0.5,0.5,0.5,1,1,1
part_21063282,intermittent,3,8.83298e-10,1.7666e-09,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21066522,lumpy,3,0.303118,0.606236,,0.019902,0.019902,0,0,0,0,0,2,0.303118,0.606236,,0.019902,0.019902,0,0,0,0,0,2
part_21068926,intermittent,3,0.00281717,0.00563434,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091641,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21135776,intermittent,3,0.274673,0.549346,,0.549346,0.773667,0,0,0,0,0,0,0.274673,0.549346,,0.549346,0.773667,0,0,0,0,0,0
part_21035345,intermittent,3,4.92285e-05,9.84569e-05,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049344,intermittent,3,0.329296,0.658591,,0.984713,0.984759,0,0,0,0,0,1,0.333333,0.666667,,0.984713,0.984759,0.333333,1,0.5,1,2,0
part_21049908,lumpy,3,0.00733083,0.0146617,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21050118,intermittent,3,0.295786,0.591572,,,,0,0,0,0,0,3,0.295786,0.591572,,,,0,0,0,0,0,3
part_21054524,intermittent,3,8.05048e-05,0.00016101,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055106,intermittent,3,8.6007e-05,0.000172014,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055773,intermittent,3,0.444644,0.889287,,,,0,0,0,0,0,3,0.444644,0.889287,,,,0,0,0,0,0,3
part_21069784,intermittent,3,0.230809,0.461618,,0.727982,0.727982,0,0,0,0,0,2,0.166667,0.333333,,0.727982,0.727982,0.666667,1,0.8,2,1,0
part_21088599,intermittent,3,0.453912,0.907824,,0.952494,1.0833,0,0,0,0,0,1,0.453912,0.907824,,0.952494,1.0833,0,0,0,0,0,1
part_21091929,intermittent,3,0.00986127,0.0197225,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21312136,intermittent,3,0.103799,0.207599,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21315505,intermittent,3,0.386635,0.77327,,0.819809,0.819809,0,0,0,0,0,2,0.416667,0.833333,,0.819809,0.819809,0,0,0,0,1,2
part_21034604,intermittent,3,0.00090904,0.00181808,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21046875,intermittent,3,0.173043,0.346086,,,,0,0,0,0,0,3,0.101283,0.202566,,,,1,0.666667,0.8,2,0,1
part_21049208,intermittent,3,0.193425,0.386849,,0.833333,0.833333,0,0,0,0,0,2,0.166667,0.333333,,0.833333,0.833333,0.666667,1,0.8,2,1,0
part_21050411,intermittent,3,0.230009,0.460018,,0.233155,0.234352,0,0,0,0,0,1,0.230009,0.460018,,0.233155,0.234352,0,0,0,0,0,1
part_21053489,intermittent,3,0.499889,0.999778,,1.49932,1.58051,0,0,0,0,0,1,0.5,1,,1.49932,1.58051,0.333333,1,0.5,1,2,0
part_21054132,intermittent,3,0.166768,0.333536,,0.999361,0.999361,0,0,0,0,0,2,0.166667,0.333333,,0.999361,0.999361,0.666667,1,0.8,2,1,0
part_21054575,intermittent,3,0.0771044,0.154209,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054763,lumpy,3,0.131348,0.262696,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057478,intermittent,3,0.174958,0.349915,,0.999809,0.999809,0,0,0,0,0,2,0.166667,0.333333,,0.999809,0.999809,0.666667,1,0.8,2,1,0
part_21058481,intermittent,3,0.495337,0.990673,,0.990673,0.990674,0,0,0,0,0,0,0.5,1,,0.990673,0.990674,0,0,0,0,3,0
part_21059366,intermittent,3,0.0425032,0.0850065,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060802,intermittent,3,0.0084532,0.0169064,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063074,intermittent,3,0.164616,0.329233,,,,0,0,0,0,0,3,0.0902509,0.180502,,,,1,0.666667,0.8,2,0,1
part_21063128,lumpy,3,0.00096338,0.00192676,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
