series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.663622,1.32724,,1.9699,1.96992,0,0,0,0,0,1,0.666667,1.33333,,1.9699,1.96992,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.313578,0.627157,,0.87957,0.879606,0,0,0,0,0,1,0.333333,0.666667,,0.87957,0.879606,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.224144,0.448288,,0.701742,0.701742,0,0,0,0,0,2,0.166667,0.333333,,0.701742,0.701742,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.0305521,0.0611043,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.272046,0.544091,,0.617692,0.619209,0,0,0,0,0,1,0.333333,0.666667,,0.617692,0.619209,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.579244,1.15849,,1.48421,1.48423,0,0,0,0,0,1,0.579244,1.15849,,1.48421,1.48423,0,0,0,0,0,1
part_21048956,intermittent,3,0.00215777,0.00431554,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.0865666,0.173133,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.332306,0.664612,,0.985777,0.985796,0,0,0,0,0,1,0.333333,0.666667,,0.985777,0.985796,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.00407102,0.00814204,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.568256,1.13651,,1.3938,1.39413,0,0,0,0,0,1,0.568256,1.13651,,1.3938,1.39413,0,0,0,0,0,1
part_21048462,intermittent,3,0.170944,0.341888,,1.00488,1.00488,0,0,0,0,0,2,0.166667,0.333333,,1.00488,1.00488,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.166906,0.333811,,1.00041,1.00041,0,0,0,0,0,2,0.166667,0.333333,,1.00041,1.00041,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.0167721,0.0335441,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.0224023,0.0448045,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.192612,0.385225,,0.908175,0.908175,0,0,0,0,0,2,0.166667,0.333333,,0.908175,0.908175,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.0181699,0.0363398,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.472016,0.944033,,0.944033,1.38825,0,0,0,0,0,0,0.472016,0.944033,,0.944033,1.38825,0,0,0,0,0,0
part_90451378,intermittent,3,0.59382,1.18764,,1.52726,1.83237,0,0,0,0,0,1,0.751398,1.5028,,1.52726,1.83237,0,0,0,0,2,1
part_90451465,intermittent,3,0.337573,0.675146,,,,0,0,0,0,0,3,0.337573,0.675146,,,,0,0,0,0,0,3
part_21041727,intermittent,3,0.125534,0.251067,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054756,intermittent,3,0.0598429,0.119686,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.011116,0.0222321,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055097,intermittent,3,0.0147368,0.0294736,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.14849,0.29698,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056514,intermittent,3,0.27002,0.54004,,0.525855,0.525855,0,0,0,0,0,2,0.349044,0.698088,,0.525855,0.525855,0,0,0,0,1,2
part_21060750,intermittent,3,0.00266559,0.00533117,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21064875,intermittent,3,0.283411,0.566822,,0.698188,0.698202,0,0,0,0,0,1,0.333333,0.666667,,0.698188,0.698202,0.333333,1,0.5,1,2,0
part_21068004,intermittent,3,0.21127,0.42254,,0.625869,0.625869,0,0,0,0,0,2,0.166667,0.333333,,0.625869,0.625869,0.666667,1,0.8,2,1,0
part_21081243,intermittent,3,0.014197,0.028394,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21314113,intermittent,3,0.379215,0.75843,,0.800067,0.970512,0,0,0,0,0,1,0.379215,0.75843,,0.800067,0.970512,0,0,0,0,0,1
part_21034119,intermittent,3,0.39054,0.78108,,0.78108,0.781545,0,0,0,0,0,0,0.5,1,,0.78108,0.781545,0,0,0,0,3,0
part_21046251,intermittent,3,0.122707,0.245414,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21048468,lumpy,3,0.00732042,0.0146408,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049101,intermittent,3,0.204629,0.409258,,0.835041,0.835041,0,0,0,0,0,2,0.166667,0.333333,,0.835041,0.835041,0.666667,1,0.8,2,1,0
part_21049345,intermittent,3,0.182648,0.365296,,0.902634,0.902634,0,0,0,0,0,2,0.166667,0.333333,,0.902634,0.902634,0.666667,1,0.8,2,1,0
part_21052143,lumpy,3,0.111912,0.223823,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053172,intermittent,3,0.191426,0.382852,,0.937581,0.937581,0,0,0,0,0,2,0.166667,0.333333,,0.937581,0.937581,0.666667,1,0.8,2,1,0
part_21056307,intermittent,3,0.152324,0.304647,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057243,intermittent,3,0.0466015,0.0932031,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21058486,intermittent,3,0.176447,0.352893,,0.904124,0.904124,0,0,0,0,0,2,0.166667,0.333333,,0.904124,0.904124,0.666667,1,0.8,2,1,0
part_21059826,intermittent,3,0.181912,0.363824,,0.855537,0.855537,0,0,0,0,0,2,0.166667,0.333333,,0.855537,0.855537,0.666667,1,0.8,2,1,0
part_21063282,intermittent,3,0.000329794,0.000659587,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21066522,lumpy,3,0.273797,0.547594,,0.390086,0.390086,0,0,0,0,0,2,0.273797,0.547594,,0.390086,0.390086,0,0,0,0,0,2
part_21068926,intermittent,3,0.062527,0.125054,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091641,intermittent,3,0.0179583,0.0359165,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21135776,intermittent,3,0.352182,0.704364,,0.704364,0.849872,0,0,0,0,0,0,0.352182,0.704364,,0.704364,0.849872,0,0,0,0,0,0
part_21035345,intermittent,3,0.0102981,0.0205962,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049344,intermittent,3,0.289737,0.579474,,0.746824,0.746841,0,0,0,0,0,1,0.333333,0.666667,,0.746824,0.746841,0.333333,1,0.5,1,2,0
