series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.644189,1.28838,,1.92596,1.92738,0,0,0,0,1,1,0.666667,1.33333,,1.92596,1.92738,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.293941,0.587881,,0.791503,0.795121,0,0,0,0,0,1,0.333333,0.666667,,0.791503,0.795121,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.26957,0.53914,,0.802953,0.802953,0,0,0,0,0,2,0.166667,0.333333,,0.802953,0.802953,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.0535167,0.107033,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.30758,0.61516,,0.75382,0.753842,0,0,0,0,0,1,0.333333,0.666667,,0.75382,0.753842,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.569817,1.13963,,1.50819,1.50976,0,0,0,0,0,1,0.573201,1.1464,,1.50819,1.50976,0.5,1,0.666667,1,1,0
part_21048956,intermittent,3,0.0532734,0.106547,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.21567,0.43134,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.339219,0.678438,,0.956027,0.957038,0,0,0,0,1,1,0.333333,0.666667,,0.956027,0.957038,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.0225315,0.045063,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.576555,1.15311,,1.40199,1.40222,0,0,0,0,0,1,0.576555,1.15311,,1.40199,1.40222,0,0,0,0,0,1
part_21048462,intermittent,3,0.190131,0.380263,,0.900668,0.900668,0,0,0,0,0,2,0.166667,0.333333,,0.900668,0.900668,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.0268845,0.0537689,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.0317737,0.0635475,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.231305,0.462611,,0.937241,0.937241,0,0,0,0,0,2,0.166667,0.333333,,0.937241,0.937241,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.0452175,0.090435,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.465548,0.931096,,0.931096,1.36126,0,0,0,0,0,0,0.465548,0.931096,,0.931096,1.36126,0,0,0,0,0,0
part_90451378,intermittent,3,0.580502,1.161,,1.52734,1.90352,0,0,0,0,0,1,0.565213,1.13043,,1.52734,1.90352,0.5,1,0.666667,1,1,0
part_90451465,intermittent,3,0.371863,0.743726,,,,0,0,0,0,0,3,0.371863,0.743726,,,,0,0,0,0,0,3
part_21041727,intermittent,3,0.139076,0.278152,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054756,intermittent,3,0.0334852,0.0669703,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.0392305,0.078461,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055097,intermittent,3,0.0401395,0.080279,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.147125,0.294249,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056514,intermittent,3,0.311184,0.622369,,0.172563,0.172563,0,0,0,0,0,2,0.311184,0.622369,,0.172563,0.172563,0,0,0,0,0,2
part_21060750,intermittent,3,0.00347344,0.00694687,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21064875,intermittent,3,0.252588,0.505176,,0.602894,0.603366,0,0,0,0,0,1,0.333333,0.666667,,0.602894,0.603366,0.333333,1,0.5,1,2,0
part_21068004,intermittent,3,0.228732,0.457465,,0.57586,0.57586,0,0,0,0,0,2,0.166667,0.333333,,0.57586,0.57586,0.666667,1,0.8,2,1,0
part_21081243,intermittent,3,0.0213376,0.0426751,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21314113,intermittent,3,0.338138,0.676276,,0.632067,0.884989,0,0,0,0,0,1,0.338138,0.676276,,0.632067,0.884989,0,0,0,0,0,1
part_21034119,intermittent,3,0.3776,0.755199,,0.755199,0.755912,0,0,0,0,0,0,0.5,1,,0.755199,0.755912,0,0,0,0,3,0
part_21046251,intermittent,3,0.141063,0.282127,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21048468,lumpy,3,0.0225311,0.0450622,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049101,intermittent,3,0.203536,0.407071,,0.639982,0.639982,0,0,0,0,0,2,0.166667,0.333333,,0.639982,0.639982,0.666667,1,0.8,2,1,0
part_21049345,intermittent,3,0.189801,0.379602,,0.861282,0.861282,0,0,0,0,0,2,0.166667,0.333333,,0.861282,0.861282,0.666667,1,0.8,2,1,0
part_21052143,lumpy,3,0.129644,0.259289,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053172,intermittent,3,0.177952,0.355904,,0.693256,0.693256,0,0,0,0,0,2,0.166667,0.333333,,0.693256,0.693256,0.666667,1,0.8,2,1,0
part_21056307,intermittent,3,0.151978,0.303957,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057243,intermittent,3,0.0880987,0.176197,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21058486,intermittent,3,0.176623,0.353246,,0.881173,0.881173,0,0,0,0,0,2,0.166667,0.333333,,0.881173,0.881173,0.666667,1,0.8,2,1,0
part_21059826,intermittent,3,0.193104,0.386207,,0.799057,0.799057,0,0,0,0,0,2,0.166667,0.333333,,0.799057,0.799057,0.666667,1,0.8,2,1,0
part_21063282,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21066522,lumpy,3,0.300141,0.600282,,0.313907,0.313907,0,0,0,0,0,2,0.300141,0.600282,,0.313907,0.313907,0,0,0,0,0,2
part_21068926,intermittent,3,0.0808878,0.161776,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091641,intermittent,3,0.0317737,0.0635474,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21135776,intermittent,3,0.416869,0.833738,,0.833738,0.983744,0,0,0,0,0,0,0.54838,1.09676,,0.833738,0.983744,0,0,0,0,2,0
part_21035345,intermittent,3,0.0340388,0.0680776,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049344,intermittent,3,0.2501,0.500199,,0.588316,0.588511,0,0,0,0,0,1,0.333333,0.666667,,0.588316,0.588511,0.333333,1,0.5,1,2,0
part_21049908,lumpy,3,0.151657,0.303314,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21050118,intermittent,3,0.142639,0.285277,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054524,intermittent,3,0.00220729,0.00441457,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21055106,intermittent,3,0.00220728,0.00441455,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21055773,intermittent,3,0.296928,0.593855,,,,0,0,0,0,0,3,0.296928,0.593855,,,,0,0,0,0,0,3
part_21069784,intermittent,3,0.180176,0.360351,,0.473031,0.473031,0,0,0,0,0,2,0.0788385,0.157677,,0.473031,0.473031,1,1,1,2,0,0
part_21088599,intermittent,3,0.443888,0.887777,,1.08913,1.19088,0,0,0,0,0,1,0.5,1,,1.08913,1.19088,0.333333,1,0.5,1,2,0
part_21091929,intermittent,3,0.131131,0.262262,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21312136,intermittent,3,0.187769,0.375539,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21315505,intermittent,3,0.247263,0.494527,,0.275712,0.275712,0,0,0,0,0,2,0.247263,0.494527,,0.275712,0.275712,0,0,0,0,0,2
part_21034604,intermittent,3,0.135594,0.271189,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21046875,intermittent,3,0.133944,0.267888,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049208,intermittent,3,0.206728,0.413457,,0.827649,0.827649,0,0,0,0,0,2,0.166667,0.333333,,0.827649,0.827649,0.666667,1,0.8,2,1,0
part_21050411,intermittent,3,0.267247,0.534494,,0.5236,0.52885,0,0,0,0,0,1,0.334257,0.668514,,0.5236,0.52885,0,0,0,0,1,1
part_21053489,intermittent,3,0.496882,0.993764,,1.42839,1.51563,0,0,0,0,0,1,0.5,1,,1.42839,1.51563,0.333333,1,0.5,1,2,0
part_21054132,intermittent,3,0.193171,0.386343,,0.913549,0.913549,0,0,0,0,0,2,0.166667,0.333333,,0.913549,0.913549,0.666667,1,0.8,2,1,0
part_21054575,intermittent,3,0.10475,0.209499,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054763,lumpy,3,0.103699,0.207399,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057478,intermittent,3,0.172552,0.345105,,0.912054,0.912054,1,0.5,0.666667,1,0,1,0.166667,0.333333,,0.912054,0.912054,0.666667,1,0.8,2,1,0
part_21058481,intermittent,3,0.425122,0.850243,,0.850243,0.85174,0,0,0,0,0,0,0.5,1,,0.850243,0.85174,0,0,0,0,3,0
part_21059366,intermittent,3,0.188465,0.37693,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060802,intermittent,3,0.0839769,0.167954,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063074,intermittent,3,0.166064,0.332128,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063128,lumpy,3,0.083791,0.167582,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063276,intermittent,3,0.0969031,0.193806,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063285,intermittent,3,0.0294794,0.0589588,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21051523,intermittent,3,0.242109,0.484218,,0.749422,0.749422,0,0,0,0,0,2,0.166667,0.333333,,0.749422,0.749422,0.666667,1,0.8,2,1,0
part_21054577,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21056927,intermittent,3,0.191006,0.382012,,0.819659,0.819659,0,0,0,0,0,2,0.166667,0.333333,,0.819659,0.819659,0.666667,1,0.8,2,1,0
part_21057234,lumpy,3,0.054167,0.108334,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21059355,intermittent,3,0.137864,0.275729,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21062996,intermittent,3,0.240246,0.480492,,0.43077,0.43077,0,0,0,0,0,2,0.183066,0.366131,,0.43077,0.43077,1,0.5,0.666667,1,0,1
part_21063040,intermittent,3,0.296898,0.593796,,0.768438,0.768591,0,0,0,0,0,1,0.333333,0.666667,,0.768438,0.768591,0.333333,1,0.5,1,2,0
part_21063131,intermittent,3,0.0584869,0.116974,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063293,lumpy,3,0.0267744,0.0535489,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21063312,intermittent,3,0.273838,0.547677,,0.692685,0.692685,0,0,0,0,0,2,0.166667,0.333333,,0.692685,0.692685,0.666667,1,0.8,2,1,0
part_21070196,intermittent,3,0.206975,0.413949,,,,0,0,0,0,0,3,0.097082,0.194164,,,,1,0.666667,0.8,2,0,1
part_21312114,lumpy,3,0.161765,0.32353,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21034225,intermittent,3,0.251858,0.503715,,0.472756,0.507532,0,0,0,0,0,1,0.308959,0.617917,,0.472756,0.507532,0,0,0,0,1,1
part_21035077,intermittent,3,0.0922667,0.184533,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049124,intermittent,3,0.249727,0.499454,,0.587032,0.591164,0,0,0,0,0,1,0.333333,0.666667,,0.587032,0.591164,0.333333,1,0.5,1,2,0
part_21050806,intermittent,3,0.0769816,0.153963,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054143,intermittent,3,0.706519,1.41304,,3.72826,3.72826,0,0,0,0,0,2,0.666667,1.33333,,3.72826,3.72826,0.666667,1,0.8,2,1,0
part_21057242,intermittent,3,0.0880987,0.176197,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21061145,lumpy,3,0.201868,0.403736,,1,1,0,0,0,0,1,2,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21064864,intermittent,3,0.408696,0.817391,,0.881698,0.972442,0,0,0,0,0,1,0.408696,0.817391,,0.881698,0.972442,0,0,0,0,0,1
part_21067075,intermittent,3,0.267633,0.535265,,0.729726,0.729753,0,0,0,0,0,1,0.333333,0.666667,,0.729726,0.729753,0.333333,1,0.5,1,2,0
part_21072246,intermittent,3,0.17657,0.353141,,0.10797,0.107972,0,0,0,0,0,1,0.17657,0.353141,,0.10797,0.107972,0,0,0,0,0,1
part_21081263,intermittent,3,0.0044141,0.0088282,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21086551,intermittent,3,0.227038,0.454077,,0.741404,0.741404,0,0,0,0,0,2,0.166667,0.333333,,0.741404,0.741404,0.666667,1,0.8,2,1,0
part_21091946,intermittent,3,0.00347365,0.00694729,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21104651,intermittent,3,0.272859,0.545718,,0.758202,0.758202,0,0,0,0,0,2,0.166667,0.333333,,0.758202,0.758202,0.666667,1,0.8,2,1,0
part_21105273,intermittent,3,0.617674,1.23535,,1.85302,1.85455,1,1,1,1,0,0,0.666667,1.33333,,1.85302,1.85455,0.333333,1,0.5,1,2,0
part_21122714,intermittent,3,0.292991,0.585982,,0.436673,0.436673,0,0,0,0,0,2,0.292991,0.585982,,0.436673,0.436673,0,0,0,0,0,2
part_21312917,intermittent,3,0.304728,0.609456,,,,0,0,0,0,0,3,0.304728,0.609456,,,,0,0,0,0,0,3
part_90147113,intermittent,3,0.264969,0.529939,,0.716329,0.716329,0,0,0,0,0,2,0.166667,0.333333,,0.716329,0.716329,0.666667,1,0.8,2,1,0
part_90522960,intermittent,3,0.181812,0.363624,,0.115022,0.136271,0,0,0,0,0,1,0.181812,0.363624,,0.115022,0.136271,0,0,0,0,0,1
part_90606357,intermittent,3,0.204991,0.409982,,0.559859,0.559859,0,0,0,0,0,2,0.166667,0.333333,,0.559859,0.559859,0.666667,1,0.8,2,1,0
part_90606397,intermittent,3,0.198301,0.396601,,0.175703,0.212079,0,0,0,0,0,1,0.198301,0.396601,,0.175703,0.212079,0,0,0,0,0,1
part_90606410,intermittent,3,0.550129,1.10026,,0.630032,0.630032,0,0,0,0,0,2,0.550129,1.10026,,0.630032,0.630032,0,0,0,0,0,2
part_12140431,intermittent,3,0.280319,0.560638,,0.670814,0.670967,0,0,0,0,0,1,0.333333,0.666667,,0.670814,0.670967,0.333333,1,0.5,1,2,0
