series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.637903,1.27581,,1.83204,1.83204,0,0,0,0,0,1,0.666667,1.33333,,1.83204,1.83204,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.290441,0.580881,,0.749419,0.749419,0,0,0,0,0,1,0.333333,0.666667,,0.749419,0.749419,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.248657,0.497314,,0.498548,0.498548,0,0,0,0,0,2,0.0830913,0.166183,,0.498548,0.498548,1,1,1,2,0,0
part_21068915,intermittent,3,0.123871,0.247741,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.250501,0.501001,,0.499269,0.499275,0,0,0,0,0,1,0.333561,0.667122,,0.499269,0.499275,0,0,0,0,1,1
part_21029651,intermittent,3,0.555568,1.11114,,1.33245,1.33245,0,0,0,0,0,1,0.555568,1.11114,,1.33245,1.33245,0,0,0,0,0,1
part_21048956,intermittent,3,0.0814605,0.162921,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.210251,0.420502,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.320164,0.640328,,0.917819,0.917819,0,0,0,0,0,1,0.333333,0.666667,,0.917819,0.917819,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.0409732,0.0819464,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.53011,1.06022,,1.17119,1.1712,0,0,0,0,0,1,0.53011,1.06022,,1.17119,1.1712,0,0,0,0,0,1
part_21048462,intermittent,3,0.205956,0.411911,,0.752154,0.752154,0,0,0,0,0,2,0.166667,0.333333,,0.752154,0.752154,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.0832084,0.166417,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.0830519,0.166104,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.208189,0.416378,,0.748313,0.748313,0,0,0,0,0,2,0.166667,0.333333,,0.748313,0.748313,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.0829409,0.165882,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.464035,0.92807,,0.92807,1.32139,0,0,0,0,0,0,0.464035,0.92807,,0.92807,1.32139,0,0,0,0,0,0
part_90451378,intermittent,3,0.552941,1.10588,,1.32818,1.66433,0,0,0,0,0,1,0.552941,1.10588,,1.32818,1.66433,0,0,0,0,0,1
part_90451465,intermittent,3,0.374492,0.748985,,,,0,0,0,0,0,3,0.374492,0.748985,,,,0,0,0,0,0,3
part_21041727,intermittent,3,0.208674,0.417348,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054756,intermittent,3,0.163234,0.326468,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.121519,0.243038,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055097,intermittent,3,0.0820806,0.164161,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.248228,0.496455,,,,0,0,0,0,0,3,0.0846367,0.169273,,,,1,0.666667,0.8,2,0,1
part_21056514,intermittent,3,0.278122,0.556245,,0.326528,0.326528,0,0,0,0,0,2,0.278122,0.556245,,0.326528,0.326528,0,0,0,0,0,2
part_21060750,intermittent,3,0.041834,0.083668,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21064875,intermittent,3,0.264542,0.529084,,0.586099,0.586099,0,0,0,0,0,1,0.333333,0.666667,,0.586099,0.586099,0.333333,1,0.5,1,2,0
part_21068004,intermittent,3,0.247317,0.494634,,0.497686,0.497686,0,0,0,0,0,2,0.0829477,0.165895,,0.497686,0.497686,1,1,1,2,0,0
part_21081243,intermittent,3,0.0820633,0.164127,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21314113,intermittent,3,0.333708,0.667417,,0.505563,0.70932,0,0,0,0,0,1,0.333708,0.667417,,0.505563,0.70932,0,0,0,0,0,1
part_21034119,intermittent,3,0.332831,0.665663,,0.665663,0.665663,0,0,0,0,0,0,0.5,1,,0.665663,0.665663,0,0,0,0,3,0
part_21046251,intermittent,3,0.206839,0.413677,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21048468,lumpy,3,0.0409732,0.0819464,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049101,intermittent,3,0.235607,0.471215,,0.590254,0.590254,0,0,0,0,0,2,0.166667,0.333333,,0.590254,0.590254,0.666667,1,0.8,2,1,0
part_21049345,intermittent,3,0.209095,0.41819,,0.75123,0.75123,0,0,0,0,0,2,0.166667,0.333333,,0.75123,0.75123,0.666667,1,0.8,2,1,0
part_21052143,lumpy,3,0.164884,0.329768,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053172,intermittent,3,0.220154,0.440309,,0.662784,0.662784,0,0,0,0,0,2,0.166667,0.333333,,0.662784,0.662784,0.666667,1,0.8,2,1,0
part_21056307,intermittent,3,0.249361,0.498722,,,,0,0,0,0,0,3,0.167049,0.334097,,,,1,0.333333,0.5,1,0,2
part_21057243,intermittent,3,0.0837783,0.167557,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21058486,intermittent,3,0.193583,0.387167,,0.82969,0.82969,0,0,0,0,0,2,0.166667,0.333333,,0.82969,0.82969,0.666667,1,0.8,2,1,0
part_21059826,intermittent,3,0.207475,0.414951,,0.750874,0.750874,0,0,0,0,0,2,0.166667,0.333333,,0.750874,0.750874,0.666667,1,0.8,2,1,0
part_21063282,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21066522,lumpy,3,0.277316,0.554633,,0.330823,0.330823,0,0,0,0,0,2,0.277316,0.554633,,0.330823,0.330823,0,0,0,0,0,2
part_21068926,intermittent,3,0.124949,0.249898,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
