series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.649311,1.29862,,1.91428,1.91531,0,0,0,0,0,1,0.666667,1.33333,,1.91428,1.91531,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.309236,0.618473,,0.826836,0.826915,0,0,0,0,0,1,0.333333,0.666667,,0.826836,0.826915,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.251979,0.503959,,0.649262,0.649262,0,0,0,0,0,2,0.166667,0.333333,,0.649262,0.649262,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.0498326,0.0996652,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.268149,0.536297,,0.463117,0.463449,0,0,0,0,0,1,0.268149,0.536297,,0.463117,0.463449,0,0,0,0,0,1
part_21029651,intermittent,3,0.539489,1.07898,,1.34459,1.34522,0,0,0,0,0,1,0.539489,1.07898,,1.34459,1.34522,0,0,0,0,0,1
part_21048956,intermittent,3,0.0323947,0.0647894,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.169422,0.338843,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.324306,0.648612,,0.932379,0.932734,0,0,0,0,0,1,0.333333,0.666667,,0.932379,0.932734,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.0331314,0.0662628,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.491003,0.982005,,1.13311,1.13311,0,0,0,0,0,1,0.491003,0.982005,,1.13311,1.13311,0,0,0,0,0,1
part_21048462,intermittent,3,0.205553,0.411106,,0.993627,0.993627,0,0,0,0,0,2,0.166667,0.333333,,0.993627,0.993627,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.0397885,0.079577,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.0697593,0.139519,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.222187,0.444375,,0.898296,0.898296,0,0,0,0,0,2,0.166667,0.333333,,0.898296,0.898296,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.0479452,0.0958904,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.404329,0.808658,,0.808658,1.13699,0,0,0,0,0,0,0.404329,0.808658,,0.808658,1.13699,0,0,0,0,0,0
part_90451378,intermittent,3,0.56553,1.13106,,1.37398,1.73145,0,0,0,0,0,1,0.56553,1.13106,,1.37398,1.73145,0,0,0,0,0,1
part_90451465,intermittent,3,0.42836,0.85672,,,,0,0,0,0,0,3,0.42836,0.85672,,,,0,0,0,0,0,3
