series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.603136,1.20627,,1.61881,1.61881,0,0,0,0,0,1,0.666667,1.33333,,1.61881,1.61881,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.270834,0.541668,,0.625005,0.625005,0,0,0,0,0,1,0.333333,0.666667,,0.625005,0.625005,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.199634,0.399269,,0.802193,0.802193,0,0,0,0,0,2,0.166667,0.333333,,0.802193,0.802193,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.21871,0.437421,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.297278,0.594556,,0.783668,0.783668,0,0,0,0,0,1,0.333333,0.666667,,0.783668,0.783668,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.644899,1.2898,,1.86939,1.86939,0,0,0,0,0,1,0.666667,1.33333,,1.86939,1.86939,0.333333,1,0.5,1,2,0
part_21048956,intermittent,3,0.250348,0.500696,,,,0,0,0,0,0,3,0.250348,0.500696,,,,0,0,0,0,0,3
part_21053093,intermittent,3,0.205811,0.411622,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.283004,0.566007,,0.698022,0.698022,0,0,0,0,0,1,0.333333,0.666667,,0.698022,0.698022,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.279366,0.558731,,,,0,0,0,0,0,3,0.279366,0.558731,,,,0,0,0,0,0,3
part_15369646,intermittent,3,0.643785,1.28757,,1.86271,1.86271,0,0,0,0,0,1,0.666667,1.33333,,1.86271,1.86271,0.333333,1,0.5,1,2,0
part_21048462,intermittent,3,0.247717,0.495434,,0.513699,0.513699,0,0,0,0,0,2,0.166667,0.333333,,0.513699,0.513699,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.253524,0.507047,,0.478859,0.478859,0,0,0,0,0,2,0.253524,0.507047,,0.478859,0.478859,0,0,0,0,0,2
part_21053057,intermittent,3,0.229331,0.458662,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.266764,0.533527,,,,0,0,0,0,0,3,0.266764,0.533527,,,,0,0,0,0,0,3
part_21091738,intermittent,3,0.232102,0.464204,,0.607387,0.607387,0,0,0,0,0,2,0.166667,0.333333,,0.607387,0.607387,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.251631,0.503262,,,,0,0,0,0,0,3,0.251631,0.503262,,,,0,0,0,0,0,3
part_90289102,intermittent,3,0.758678,1.51736,,1.51736,1.78641,0,0,0,0,0,0,0.833333,1.66667,,1.51736,1.78641,0,0,0,0,3,0
part_90451378,intermittent,3,0.641904,1.28381,,1.85143,2.10423,0,0,0,0,0,1,0.666667,1.33333,,1.85143,2.10423,0.333333,1,0.5,1,2,0
part_90451465,intermittent,3,0.12536,0.250721,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21041727,intermittent,3,0.240704,0.481407,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054756,intermittent,3,0.233142,0.466283,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.243465,0.486929,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055097,intermittent,3,0.223722,0.447443,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.18471,0.36942,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056514,intermittent,3,0.231336,0.462672,,0.611983,0.611983,0,0,0,0,0,2,0.166667,0.333333,,0.611983,0.611983,0.666667,1,0.8,2,1,0
part_21060750,intermittent,3,0.2121,0.4242,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21064875,intermittent,3,0.275525,0.55105,,0.653151,0.653151,0,0,0,0,0,1,0.333333,0.666667,,0.653151,0.653151,0.333333,1,0.5,1,2,0
part_21068004,intermittent,3,0.257756,0.515512,,0.453463,0.453463,0,0,0,0,0,2,0.257756,0.515512,,0.453463,0.453463,0,0,0,0,0,2
part_21081243,intermittent,3,0.25253,0.50506,,,,0,0,0,0,0,3,0.25253,0.50506,,,,0,0,0,0,0,3
part_21314113,intermittent,3,0.471638,0.943277,,1.32983,1.42072,0,0,0,0,0,1,0.5,1,,1.32983,1.42072,0.333333,1,0.5,1,2,0
part_21034119,intermittent,3,0.318462,0.636923,,0.636923,0.636923,0,0,0,0,0,0,0.5,1,,0.636923,0.636923,0,0,0,0,3,0
part_21046251,intermittent,3,0.286312,0.572623,,,,0,0,0,0,0,3,0.286312,0.572623,,,,0,0,0,0,0,3
part_21048468,lumpy,3,0.229861,0.459722,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049101,intermittent,3,0.240125,0.48025,,0.55925,0.55925,0,0,0,0,0,2,0.166667,0.333333,,0.55925,0.55925,0.666667,1,0.8,2,1,0
part_21049345,intermittent,3,0.261384,0.522769,,0.431694,0.431694,0,0,0,0,0,2,0.261384,0.522769,,0.431694,0.431694,0,0,0,0,0,2
part_21052143,lumpy,3,0.222898,0.445796,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053172,intermittent,3,0.243692,0.487383,,0.537851,0.537851,0,0,0,0,0,2,0.166667,0.333333,,0.537851,0.537851,0.666667,1,0.8,2,1,0
part_21056307,intermittent,3,0.231003,0.462006,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057243,intermittent,3,0.171756,0.343513,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21058486,intermittent,3,0.237132,0.474264,,0.577209,0.577209,0,0,0,0,0,2,0.166667,0.333333,,0.577209,0.577209,0.666667,1,0.8,2,1,0
part_21059826,intermittent,3,0.229148,0.458296,,0.625113,0.625113,0,0,0,0,0,2,0.166667,0.333333,,0.625113,0.625113,0.666667,1,0.8,2,1,0
part_21063282,intermittent,3,0.28497,0.569941,,,,0,0,0,0,0,3,0.28497,0.569941,,,,0,0,0,0,0,3
part_21066522,lumpy,3,0.249068,0.498136,,0.505593,0.505593,0,0,0,0,0,2,0.166667,0.333333,,0.505593,0.505593,0.666667,1,0.8,2,1,0
part_21068926,intermittent,3,0.241278,0.482557,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091641,intermittent,3,0.32295,0.645901,,,,0,0,0,0,0,3,0.32295,0.645901,,,,0,0,0,0,0,3
part_21135776,intermittent,3,0.598155,1.19631,,1.19631,1.28584,0,0,0,0,0,0,0.666667,1.33333,,1.19631,1.28584,0,0,0,0,3,0
part_21035345,intermittent,3,0.33197,0.66394,,,,0,0,0,0,0,3,0.33197,0.66394,,,,0,0,0,0,0,3
part_21049344,intermittent,3,0.257522,0.515043,,0.54513,0.54513,0,0,0,0,0,1,0.333333,0.666667,,0.54513,0.54513,0.333333,1,0.5,1,2,0
part_21049908,lumpy,3,0.210955,0.42191,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21050118,intermittent,3,0.261076,0.522153,,,,0,0,0,0,0,3,0.261076,0.522153,,,,0,0,0,0,0,3
part_21054524,intermittent,3,0.24274,0.485479,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055106,intermittent,3,0.25492,0.509839,,,,0,0,0,0,0,3,0.25492,0.509839,,,,0,0,0,0,0,3
part_21055773,intermittent,3,0.217901,0.435802,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21069784,intermittent,3,0.21178,0.42356,,0.729319,0.729319,0,0,0,0,0,2,0.166667,0.333333,,0.729319,0.729319,0.666667,1,0.8,2,1,0
part_21088599,intermittent,3,0.44229,0.884581,,1.15374,1.25743,0,0,0,0,0,1,0.5,1,,1.15374,1.25743,0.333333,1,0.5,1,2,0
part_21091929,intermittent,3,0.253776,0.507552,,,,0,0,0,0,0,3,0.253776,0.507552,,,,0,0,0,0,0,3
part_21312136,intermittent,3,0.202819,0.405637,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21315505,intermittent,3,0.204907,0.409814,,0.770558,0.770558,0,0,0,0,0,2,0.166667,0.333333,,0.770558,0.770558,0.666667,1,0.8,2,1,0
part_21034604,intermittent,3,0.237915,0.47583,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21046875,intermittent,3,0.311202,0.622403,,,,0,0,0,0,0,3,0.311202,0.622403,,,,0,0,0,0,0,3
part_21049208,intermittent,3,0.231602,0.463204,,0.610389,0.610389,0,0,0,0,0,2,0.166667,0.333333,,0.610389,0.610389,0.666667,1,0.8,2,1,0
part_21050411,intermittent,3,0.273041,0.546083,,0.638249,0.638249,0,0,0,0,0,1,0.333333,0.666667,,0.638249,0.638249,0.333333,1,0.5,1,2,0
part_21053489,intermittent,3,0.433785,0.86757,,1.10271,1.21077,0,0,0,0,0,1,0.5,1,,1.10271,1.21077,0.333333,1,0.5,1,2,0
part_21054132,intermittent,3,0.246209,0.492418,,0.522747,0.522747,0,0,0,0,0,2,0.166667,0.333333,,0.522747,0.522747,0.666667,1,0.8,2,1,0
part_21054575,intermittent,3,0.287207,0.574415,,,,0,0,0,0,0,3,0.287207,0.574415,,,,0,0,0,0,0,3
part_21054763,lumpy,3,0.249494,0.498988,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057478,intermittent,3,0.236506,0.473013,,0.580962,0.580962,0,0,0,0,0,2,0.166667,0.333333,,0.580962,0.580962,0.666667,1,0.8,2,1,0
part_21058481,intermittent,3,0.241037,0.482074,,0.482074,0.482074,0,0,0,0,0,0,0.241037,0.482074,,0.482074,0.482074,0,0,0,0,0,0
part_21059366,intermittent,3,0.225369,0.450739,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060802,intermittent,3,0.24713,0.494259,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063074,intermittent,3,0.227083,0.454166,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063128,lumpy,3,0.337377,0.674755,,,,0,0,0,0,0,3,0.337377,0.674755,,,,0,0,0,0,0,3
part_21063276,intermittent,3,0.205487,0.410974,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063285,intermittent,3,0.242383,0.484766,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21051523,intermittent,3,0.267051,0.534101,,0.397697,0.397697,0,0,0,0,0,2,0.267051,0.534101,,0.397697,0.397697,0,0,0,0,0,2
part_21054577,intermittent,3,0.242779,0.485558,,0.543325,0.543325,0,0,0,0,0,2,0.166667,0.333333,,0.543325,0.543325,0.666667,1,0.8,2,1,0
part_21056927,intermittent,3,0.237268,0.474536,,0.576393,0.576393,0,0,0,0,0,2,0.166667,0.333333,,0.576393,0.576393,0.666667,1,0.8,2,1,0
part_21057234,lumpy,3,0.27967,0.559341,,,,0,0,0,0,0,3,0.27967,0.559341,,,,0,0,0,0,0,3
part_21059355,intermittent,3,0.244832,0.489663,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21062996,intermittent,3,0.248608,0.497216,,0.508351,0.508351,0,0,0,0,0,2,0.166667,0.333333,,0.508351,0.508351,0.666667,1,0.8,2,1,0
part_21063040,intermittent,3,0.254973,0.509945,,0.529836,0.529836,0,0,0,0,0,1,0.333333,0.666667,,0.529836,0.529836,0.333333,1,0.5,1,2,0
part_21063131,intermittent,3,0.209248,0.418496,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063293,lumpy,3,0.312138,0.624276,,,,0,0,0,0,0,3,0.312138,0.624276,,,,0,0,0,0,0,3
part_21063312,intermittent,3,0.230828,0.461655,,0.615034,0.615034,0,0,0,0,0,2,0.166667,0.333333,,0.615034,0.615034,0.666667,1,0.8,2,1,0
part_21070196,intermittent,3,0.187999,0.375998,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21312114,lumpy,3,0.17628,0.35256,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21034225,intermittent,3,0.230237,0.460473,,0.381419,0.381419,0,0,0,0,0,1,0.230237,0.460473,,0.381419,0.381419,0,0,0,0,0,1
part_21035077,intermittent,3,0.246654,0.493307,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
