series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.608145,1.21629,,1.69079,1.69079,0,0,0,0,0,1,0.666667,1.33333,,1.69079,1.69079,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.269717,0.539434,,0.643671,0.643677,0,0,0,0,0,1,0.333333,0.666667,,0.643671,0.643677,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.211162,0.422324,,0.672122,0.672122,0,0,0,0,0,2,0.166667,0.333333,,0.672122,0.672122,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.198994,0.397989,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.274272,0.548543,,0.658821,0.658821,0,0,0,0,0,1,0.333333,0.666667,,0.658821,0.658821,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.622647,1.24529,,1.70877,1.7089,0,0,0,0,0,1,0.666667,1.33333,,1.70877,1.7089,0.333333,1,0.5,1,2,0
part_21048956,intermittent,3,0.194958,0.389917,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.187178,0.374355,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.246572,0.493144,,0.54154,0.541576,0,0,0,0,0,1,0.333333,0.666667,,0.54154,0.541576,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.218929,0.437857,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.639894,1.27979,,1.8021,1.80234,0,0,0,0,0,1,0.666667,1.33333,,1.8021,1.80234,0.333333,1,0.5,1,2,0
part_21048462,intermittent,3,0.244591,0.489182,,0.671628,0.671628,0,0,0,0,0,2,0.166667,0.333333,,0.671628,0.671628,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.259933,0.519866,,0.539685,0.539685,0,0,0,0,0,2,0.336652,0.673304,,0.539685,0.539685,0,0,0,0,1,2
part_21053057,intermittent,3,0.23157,0.463141,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.23157,0.463141,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.246192,0.492383,,0.563244,0.563244,0,0,0,0,0,2,0.166667,0.333333,,0.563244,0.563244,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.23157,0.463141,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.666392,1.33278,,1.33278,1.69074,0,0,0,0,0,0,0.833333,1.66667,,1.33278,1.69074,0,0,0,0,3,0
part_90451378,intermittent,3,0.614281,1.22856,,1.7169,1.98833,0,0,0,0,0,1,0.666667,1.33333,,1.7169,1.98833,0.333333,1,0.5,1,2,0
part_90451465,intermittent,3,0.257471,0.514941,,,,0,0,0,0,0,3,0.179522,0.359043,,,,1,0.333333,0.5,1,0,2
part_21041727,intermittent,3,0.237556,0.475112,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054756,intermittent,3,0.218929,0.437857,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.239829,0.479659,,,,0,0,0,0,0,3,0.0839135,0.167827,,,,1,0.666667,0.8,2,0,1
part_21055097,intermittent,3,0.244604,0.489208,,,,0,0,0,0,0,3,0.171111,0.342222,,,,1,0.333333,0.5,1,0,2
part_21056274,intermittent,3,0.222717,0.445434,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
