series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.639862,1.27972,,1.83917,1.83917,0,0,0,0,0,1,0.666667,1.33333,,1.83917,1.83917,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.286594,0.573187,,0.719561,0.719561,0,0,0,0,0,1,0.333333,0.666667,,0.719561,0.719561,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.241695,0.48339,,0.549831,0.549831,0,0,0,0,0,2,0.166667,0.333333,,0.549831,0.549831,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.105401,0.210803,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.2466,0.4932,,0.479599,0.479599,0,0,0,0,0,1,0.2466,0.4932,,0.479599,0.479599,0,0,0,0,0,1
part_21029651,intermittent,3,0.574165,1.14833,,1.44499,1.44499,0,0,0,0,0,1,0.574165,1.14833,,1.44499,1.44499,0,0,0,0,0,1
part_21048956,intermittent,3,0.093316,0.186632,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.142646,0.285292,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.307927,0.615853,,0.84756,0.84756,0,0,0,0,0,1,0.333333,0.666667,,0.84756,0.84756,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.129277,0.258553,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.559105,1.11821,,1.35463,1.35463,0,0,0,0,0,1,0.559105,1.11821,,1.35463,1.35463,0,0,0,0,0,1
part_21048462,intermittent,3,0.198133,0.396266,,0.811201,0.811201,0,0,0,0,0,2,0.166667,0.333333,,0.811201,0.811201,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.195557,0.391114,,0.826659,0.826659,0,0,0,0,0,2,0.166667,0.333333,,0.826659,0.826659,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.0926784,0.185357,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.13281,0.265621,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.210811,0.421621,,0.735136,0.735136,0,0,0,0,0,2,0.166667,0.333333,,0.735136,0.735136,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.133985,0.267971,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.521895,1.04379,,1.04379,1.40655,0,0,0,0,0,0,0.521895,1.04379,,1.04379,1.40655,0,0,0,0,0,0
part_90451378,intermittent,3,0.569384,1.13877,,1.4163,1.73376,0,0,0,0,0,1,0.569384,1.13877,,1.4163,1.73376,0,0,0,0,0,1
part_90451465,intermittent,3,0.434331,0.868662,,,,0,0,0,0,0,3,0.434331,0.868662,,,,0,0,0,0,0,3
