series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.697993,1.39599,,1.87609,1.87616,0,0,0,0,0,1,0.666667,1.33333,,1.87609,1.87616,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.383692,0.767384,,0.858928,0.868173,0,0,0,0,0,1,0.430716,0.861432,,0.858928,0.868173,0,0,0,0,2,1
part_21314374,intermittent,3,0.390974,0.781948,,0.535115,0.535115,0,0,0,0,0,2,0.468455,0.93691,,0.535115,0.535115,0,0,0,0,1,2
part_21068915,intermittent,3,0.131881,0.263761,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.0923863,0.184773,,0.172771,0.192974,0,0,0,0,0,1,0.0575902,0.11518,,0.172771,0.192974,1,1,1,1,0,0
part_21029651,intermittent,3,0.53534,1.07068,,1.39549,1.40592,0,0,0,0,0,1,0.537425,1.07485,,1.39549,1.40592,0.5,1,0.666667,1,1,0
part_21048956,intermittent,3,0.0858429,0.171686,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.09589,0.19178,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.356688,0.713376,,0.933463,0.933468,0,0,0,0,0,1,0.333333,0.666667,,0.933463,0.933468,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.0311629,0.0623257,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.586258,1.17252,,1.37413,1.37705,0,0,0,0,0,1,0.586258,1.17252,,1.37413,1.37705,0,0,0,0,0,1
part_21048462,intermittent,3,0.185592,0.371185,,0.737679,0.737679,0,0,0,0,0,2,0.166667,0.333333,,0.737679,0.737679,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.166508,0.333016,,0.998842,0.998842,0,0,0,0,0,2,0.166667,0.333333,,0.998842,0.998842,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.113933,0.227866,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0.0358728,0.0717456,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.293141,0.586281,,0.874769,0.874769,0,0,0,0,0,2,0.281191,0.562383,,0.874769,0.874769,0.5,0.5,0.5,1,1,1
part_21091776,intermittent,3,0.0512379,0.102476,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.496544,0.993087,,0.993087,1.33961,0,0,0,0,0,0,0.496544,0.993087,,0.993087,1.33961,0,0,0,0,0,0
part_90451378,intermittent,3,0.615061,1.23012,,1.42291,1.68776,0,0,0,0,0,1,0.695857,1.39171,,1.42291,1.68776,0,0,0,0,1,1
part_90451465,intermittent,3,0.412323,0.824646,,,,0,0,0,0,0,3,0.412323,0.824646,,,,0,0,0,0,0,3
part_21041727,intermittent,3,0.188953,0.377905,,,,0,0,0,0,0,3,0.104215,0.20843,,,,1,0.666667,0.8,2,0,1
part_21054756,intermittent,3,0.0774778,0.154956,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.152256,0.304513,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055097,intermittent,3,0.0439934,0.0879867,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.185921,0.371841,,,,0,0,0,0,0,3,0.0964149,0.19283,,,,1,0.666667,0.8,2,0,1
part_21056514,intermittent,3,0.257808,0.515616,,0.380388,0.380388,0,0,0,0,0,2,0.195913,0.391825,,0.380388,0.380388,1,0.5,0.666667,1,0,1
part_21060750,intermittent,3,0.0270938,0.0541876,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21064875,intermittent,3,0.154691,0.309382,,0.319481,0.343863,0,0,0,0,0,1,0.106494,0.212987,,0.319481,0.343863,1,1,1,1,0,0
part_21068004,intermittent,3,0.376242,0.752484,,0.745771,0.745771,0,0,0,0,0,2,0.418614,0.837227,,0.745771,0.745771,0,0,0,0,1,2
part_21081243,intermittent,3,0.0876328,0.175266,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21314113,intermittent,3,0.353035,0.70607,,0.411988,0.564974,0,0,0,0,0,1,0.353035,0.70607,,0.411988,0.564974,0,0,0,0,0,1
part_21034119,intermittent,3,0.311884,0.623767,,0.623767,0.68651,0,0,0,0,0,0,0.369717,0.739434,,0.623767,0.68651,0,0,0,0,2,0
part_21046251,intermittent,3,0.124032,0.248064,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21048468,lumpy,3,0.0311633,0.0623266,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21049101,intermittent,3,0.134562,0.269124,,0.29416,0.29416,0,0,0,0,0,2,0.0490267,0.0980533,,0.29416,0.29416,1,1,1,2,0,0
part_21049345,intermittent,3,0.131995,0.26399,,0.65968,0.65968,0,0,0,0,0,2,0.166667,0.333333,,0.65968,0.65968,0.666667,1,0.8,2,1,0
part_21052143,lumpy,3,0.274058,0.548117,,,,0,0,0,0,0,3,0.164201,0.328401,,,,1,0.666667,0.8,2,0,1
part_21053172,intermittent,3,0.160602,0.321203,,0.743227,0.743227,0,0,0,0,0,2,0.166667,0.333333,,0.743227,0.743227,0.666667,1,0.8,2,1,0
part_21056307,intermittent,3,0.326533,0.653067,,,,0,0,0,0,0,3,0.246061,0.492121,,,,1,0.333333,0.5,1,0,2
part_21057243,intermittent,3,0.110636,0.221272,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21058486,intermittent,3,0.138072,0.276144,,0.710731,0.710731,0,0,0,0,0,2,0.166667,0.333333,,0.710731,0.710731,0.666667,1,0.8,2,1,0
part_21059826,intermittent,3,0.241015,0.482029,,0.955845,0.955845,0,0,0,0,0,2,0.166667,0.333333,,0.955845,0.955845,0.666667,1,0.8,2,1,0
part_21063282,intermittent,3,0.000250866,0.000501732,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21066522,lumpy,3,0.332305,0.66461,,0.389904,0.389904,0,0,0,0,0,2,0.332305,0.66461,,0.389904,0.389904,0,0,0,0,0,2
part_21068926,intermittent,3,0.0861352,0.17227,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091641,intermittent,3,0.035873,0.071746,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21135776,intermittent,3,0.33356,0.66712,,0.66712,0.860492,0,0,0,0,0,0,0.33356,0.66712,,0.66712,0.860492,0,0,0,0,0,0
part_21035345,intermittent,3,0.152136,0.304272,,,,0,0,0,0,0,3,0.0889504,0.177901,,,,1,0.666667,0.8,2,0,1
part_21049344,intermittent,3,0.217259,0.434518,,0.608944,0.615941,0,0,0,0,0,1,0.333333,0.666667,,0.608944,0.615941,0.333333,1,0.5,1,2,0
part_21049908,lumpy,3,0.139834,0.279668,,,,0,0,0,0,0,3,0.0966415,0.193283,,,,1,0.666667,0.8,2,0,1
part_21050118,intermittent,3,0.226693,0.453386,,,,0,0,0,0,0,3,0.180149,0.360299,,,,1,0.333333,0.5,1,0,2
part_21054524,intermittent,3,0.0559085,0.111817,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21055106,intermittent,3,0.0559084,0.111817,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21055773,intermittent,3,0.251485,0.50297,,,,0,0,0,0,0,3,0.115241,0.230482,,,,1,0.666667,0.8,2,0,1
part_21069784,intermittent,3,0.248349,0.496698,,0.639966,0.639966,0,0,0,0,0,2,0.166667,0.333333,,0.639966,0.639966,0.666667,1,0.8,2,1,0
part_21088599,intermittent,3,0.562358,1.12472,,1.25192,1.33278,0,0,0,0,0,1,0.645051,1.2901,,1.25192,1.33278,0,0,0,0,2,1
part_21091929,intermittent,3,0.11335,0.2267,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21312136,intermittent,3,0.277784,0.555568,,,,0,0,0,0,0,3,0.177628,0.355255,,,,1,0.666667,0.8,2,0,1
part_21315505,intermittent,3,0.399943,0.799886,,0.365277,0.365277,0,0,0,0,0,2,0.399943,0.799886,,0.365277,0.365277,0,0,0,0,0,2
part_21034604,intermittent,3,0.26236,0.52472,,,,0,0,0,0,0,3,0.124806,0.249613,,,,1,0.666667,0.8,2,0,1
part_21046875,intermittent,3,0.117484,0.234969,,,,1,0.333333,0.5,1,0,2,0.100484,0.200968,,,,1,0.666667,0.8,2,0,1
part_21049208,intermittent,3,0.243336,0.486672,,0.898189,0.898189,0,0,0,0,0,2,0.166667,0.333333,,0.898189,0.898189,0.666667,1,0.8,2,1,0
