series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.666451,1.3329,,1.99935,1.99935,0.5,1,0.666667,1,1,0,0.666667,1.33333,,1.99935,1.99935,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.498406,0.996811,,0.996578,0.996584,0,0,0,0,1,1,0.499546,0.999092,,0.996578,0.996584,0,0,0,0,2,1
part_21314374,intermittent,3,0.192585,0.385171,,0.858625,0.858625,0,0,0,0,0,2,0.166667,0.333333,,0.858625,0.858625,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.000935348,0.0018707,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.303279,0.606558,,0.792669,0.792701,0,0,0,0,0,1,0.333333,0.666667,,0.792669,0.792701,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.509528,1.01906,,1.0483,1.04837,0,0,0,0,0,1,0.509528,1.01906,,1.0483,1.04837,0,0,0,0,0,1
part_21048956,intermittent,3,0.00269381,0.00538763,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.0078887,0.0157774,,,,1,0.333333,0.5,1,0,2,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.332952,0.665904,,0.998303,0.998303,0,0,0,0,0,1,0.333333,0.666667,,0.998303,0.998303,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,2.8265e-05,5.653e-05,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.396402,0.792804,,1.05877,1.06934,0,0,0,0,0,1,0.352924,0.705848,,1.05877,1.06934,1,1,1,1,0,0
part_21048462,intermittent,3,0.169216,0.338431,,0.998313,0.998313,0,0,0,0,0,2,0.166667,0.333333,,0.998313,0.998313,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0,0.166667,0.333333,,1,1,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.000216016,0.000432032,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21060309,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21091738,intermittent,3,0.167451,0.334901,,0.99876,0.99876,1,0.5,0.666667,1,0,1,0.166667,0.333333,,0.99876,0.99876,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,9.66179e-05,0.000193236,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.469198,0.938396,,0.938396,1.36279,0,0,0,0,0,0,0.469198,0.938396,,0.938396,1.36279,0,0,0,0,0,0
part_90451378,intermittent,3,0.549695,1.09939,,1.34201,1.68861,0,0,0,0,0,1,0.549695,1.09939,,1.34201,1.68861,0,0,0,0,0,1
part_90451465,intermittent,3,0.492048,0.984095,,,,0,0,0,0,0,3,0.492048,0.984095,,,,0,0,0,0,0,3
part_21041727,intermittent,3,0,0,,,,1,1,1,3,0,0,0,0,,,,1,1,1,3,0,0
part_21054756,intermittent,3,0.0039974,0.0079948,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.000109492,0.000218985,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21055097,intermittent,3,0.000820105,0.00164021,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.0551732,0.110346,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056514,intermittent,3,0.270969,0.541938,,0.408507,0.408507,0,0,0,0,0,2,0.270969,0.541938,,0.408507,0.408507,0,0,0,0,0,2
part_21060750,intermittent,3,0.000186473,0.000372945,,,,1,0.666667,0.8,2,0,1,0,0,,,,1,1,1,3,0,0
