series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.610814,1.22163,,1.71874,1.71876,0,0,0,0,0,1,0.666667,1.33333,,1.71874,1.71876,0.333333,1,0.5,1,2,0
part_21091739,intermittent,3,0.28593,0.571859,,0.691189,0.691227,0,0,0,0,0,1,0.333333,0.666667,,0.691189,0.691227,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.208877,0.417754,,0.692133,0.692133,0,0,0,0,0,2,0.166667,0.333333,,0.692133,0.692133,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.175986,0.351971,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.288948,0.577897,,0.729099,0.729601,0,0,0,0,0,1,0.333333,0.666667,,0.729099,0.729601,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.624781,1.24956,,1.74539,1.74554,0,0,0,0,0,1,0.666667,1.33333,,1.74539,1.74554,0.333333,1,0.5,1,2,0
part_21048956,intermittent,3,0.174981,0.349963,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.20302,0.40604,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.258088,0.516176,,0.584181,0.584273,0,0,0,0,0,1,0.333333,0.666667,,0.584181,0.584273,0.333333,1,0.5,1,2,0
part_21137158,intermittent,3,0.196684,0.393368,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.665763,1.33153,,1.86097,1.86115,0,0,0,0,0,1,0.666667,1.33333,,1.86097,1.86115,0.333333,1,0.5,1,2,0
