dataset,model,c,ql_trunc,precision0,recall0,f1
parts,Autoformer,0.1,0.418003,0.733766,0.328298,0.453633
parts,Autoformer,0.25,0.415944,0.729463,0.386984,0.505695
parts,Autoformer,0.5,0.406112,0.727874,0.511331,0.600683
parts,Autoformer,0.75,0.393969,0.716378,0.625218,0.667701
parts,Autoformer,1.0,0.379782,0.708286,0.72516,0.716624
parts,Autoformer,1.5,0.289077,0.88681,0.850606,0.868331
parts,Autoformer,2.0,0.242854,0.878967,0.931808,0.904617
parts,Chronos,0.1,0.304618,0.710784,0.75828,0.733764
parts,Chronos,0.25,0.304586,0.710712,0.759442,0.73427
parts,Chronos,0.5,0.303468,0.706499,0.783266,0.742904
parts,Chronos,0.75,0.298309,0.707041,0.834399,0.765458
parts,Chronos,1.0,0.299849,0.690444,0.877397,0.772774
parts,Chronos,1.5,0.196255,0.879562,0.973082,0.923962
parts,Chronos,2.0,0.192557,0.875598,0.985195,0.927169
parts,Croston,0.1,0.435152,0,0,0
parts,Croston,0.25,0.436369,0.22807,0.00755375,0.0146232
parts,Croston,0.5,0.430675,0.52588,0.147589,0.23049
parts,Croston,0.75,0.384041,0.651786,0.509006,0.571615
parts,Croston,1.0,0.332456,0.674487,0.801859,0.732679
parts,Croston,1.5,0.198691,0.867222,0.981606,0.920875
parts,Croston,2.0,0.188856,0.866822,0.998654,0.92808
parts,DLinear,0.1,0.521346,0.6,0.21441,0.315925
parts,DLinear,0.25,0.51948,0.612565,0.271935,0.37666
parts,DLinear,0.5,0.512978,0.627772,0.378268,0.472081
parts,DLinear,0.75,0.502214,0.634017,0.485183,0.549704
parts,DLinear,1.0,0.482439,0.648289,0.594422,0.620188
parts,DLinear,1.5,0.372371,0.863456,0.78017,0.819703
parts,DLinear,2.0,0.301994,0.867105,0.886945,0.876913
parts,DeepAR,0.1,0.319077,0.726161,0.345148,0.467901
parts,DeepAR,0.25,0.313597,0.719298,0.500291,0.59013
parts,DeepAR,0.5,0.295515,0.715075,0.752469,0.733296
parts,DeepAR,0.75,0.280415,0.702099,0.913422,0.793939
parts,DeepAR,1.0,0.280487,0.684468,0.975596,0.804504
parts,DeepAR,1.5,0.18844,0.868308,0.99686,0.928154
parts,DeepAR,2.0,0.18767,0.866978,1,0.92875
parts,DeepAR-negbin,0.1,0.295994,0.706593,0.815805,0.757282
parts,DeepAR-negbin,0.25,0.295994,0.706593,0.815805,0.757282
parts,DeepAR-negbin,0.5,0.295994,0.706593,0.815805,0.757282
parts,DeepAR-negbin,0.75,0.295994,0.706593,0.815805,0.757282
parts,DeepAR-negbin,1.0,0.295994,0.706593,0.815805,0.757282
parts,DeepAR-negbin,1.5,0.187281,0.868175,0.998654,0.928855
parts,DeepAR-negbin,2.0,0.187281,0.868175,0.998654,0.928855
parts,FEDformer,0.1,0.419848,0.737127,0.316095,0.442456
parts,FEDformer,0.25,0.417,0.742188,0.386403,0.508216
parts,FEDformer,0.5,0.408259,0.735642,0.506101,0.599656
parts,FEDformer,0.75,0.398637,0.719178,0.61011,0.66017
parts,FEDformer,1.0,0.383674,0.709362,0.717606,0.71346
parts,FEDformer,1.5,0.286105,0.894068,0.851952,0.872502
parts,FEDformer,2.0,0.249866,0.881523,0.92463,0.902562
parts,HurdleDLinear,0.1,0.363294,0.657471,0.66473,0.661081
parts,HurdleDLinear,0.25,0.361589,0.662493,0.707147,0.684092
parts,HurdleDLinear,0.5,0.356732,0.665167,0.773388,0.715207
parts,HurdleDLinear,0.75,0.352237,0.664165,0.822777,0.735012
parts,HurdleDLinear,1.0,0.344614,0.667265,0.863451,0.752786
parts,HurdleDLinear,1.5,0.238965,0.86639,0.936743,0.900194
parts,HurdleDLinear,2.0,0.220137,0.866747,0.965904,0.913643
parts,LSTM,0.1,0.471139,0,0,0
parts,LSTM,0.25,0.47163,0.24,0.00348635,0.00687285
parts,LSTM,0.5,0.468214,0.519886,0.106334,0.176556
parts,LSTM,0.75,0.428364,0.658144,0.403835,0.50054
parts,LSTM,1.0,0.388585,0.675261,0.639163,0.656716
parts,LSTM,1.5,0.243025,0.868297,0.908031,0.887719
parts,LSTM,2.0,0.190901,0.867136,0.995514,0.926901
parts,MOMENT,0.1,0.358789,0.656109,0.0842533,0.149331
parts,MOMENT,0.25,0.352433,0.664021,0.291691,0.405329
parts,MOMENT,0.5,0.329784,0.664925,0.665311,0.665118
parts,MOMENT,0.75,0.303123,0.672663,0.890761,0.7665
parts,MOMENT,1.0,0.293372,0.67056,0.967461,0.792103
parts,MOMENT,1.5,0.187674,0.867264,0.999551,0.92872
parts,MOMENT,2.0,0.18767,0.866978,1,0.92875
parts,Moirai,0.1,0.331886,0.759454,0.420105,0.540965
parts,Moirai,0.25,0.329206,0.759025,0.488669,0.594556
parts,Moirai,0.5,0.320522,0.742698,0.620569,0.676163
parts,Moirai,0.75,0.308638,0.723964,0.751307,0.737382
parts,Moirai,1.0,0.294829,0.707489,0.872748,0.781478
parts,Moirai,1.5,0.196314,0.884868,0.965455,0.923407
parts,Moirai,2.0,0.18947,0.876592,0.987887,0.928918
parts,PatchMixer,0.1,0.311102,0.799582,0.222545,0.348182
parts,PatchMixer,0.25,0.301426,0.777778,0.471819,0.587342
parts,PatchMixer,0.5,0.283502,0.735574,0.762929,0.749002
parts,PatchMixer,0.75,0.273224,0.718105,0.889599,0.794705
parts,PatchMixer,1.0,0.273352,0.696791,0.958745,0.807043
parts,PatchMixer,1.5,0.181631,0.878427,0.991925,0.931732
