Dataset,Model,Overall Metrics,Zero Metrics,,,Nonzero Metrics,,,,,,,,,,,
,,QL(0.5),Precision,Recall,F1 score,MAE,RMSE,"[0, q10] RMSE","(q10, q25] RMSE","(q25, q50] RMSE","(q50, q75] RMSE","(q75, q90] RMSE","(q90, ∞) RMSE",intermittent RMSE,lumpy RMSE,smooth RMSE,erratic RMSE,,
"Fresh
",PatchTST,0.290,-,-,-,0.618,0.916,0.512,-,-,0.862,1.159,2.421,0.617,1.117,1.103,2.313,,
,PatchTST(τ=0.5),0.287,0.576,0.608,0.592,0.686,0.978,0.512,-,-,0.862,1.159,2.421,0.686,1.175,1.106,2.313,,
,PatchMixer,0.284,-,-,-,0.619,0.906,0.517,-,-,0.861,1.141,2.374,0.609,1.076,1.088,2.151,,
,PatchMixer(τ=0.5),0.282,0.578,0.642,0.608,0.688,0.969,0.517,-,-,0.861,1.141,2.374,0.678,1.141,1.094,2.152,,
,PatchTSMixer,0.297,-,-,-,0.639,0.948,0.527,-,-,0.888,1.196,2.520,0.624,1.135,1.133,2.565,,
,PatchTSMixer(τ=0.5),0.295,0.566,0.616,0.590,0.713,1.014,0.527,-,-,0.888,1.196,2.520,0.699,1.237,1.135,2.565,,
,PatchTCN,0.290,-,-,-,0.605,0.895,0.514,-,-,0.854,1.121,2.335,0.610,1.105,1.090,2.362,,
,PatchTCN(τ=0.5),0.286,0.584,0.572,0.578,0.671,0.956,0.514,-,-,0.854,1.121,2.335,0.675,1.156,1.093,2.362,,
,TTM,0.298,-,-,-,0.644,0.963,0.532,-,-,0.899,1.221,2.566,0.635,1.145,1.149,2.556,,
,TTM(τ=0.5),0.297,0.560,0.609,0.583,0.715,1.027,0.532,-,-,0.899,1.221,2.566,0.707,1.214,1.152,2.556,,
,TimesFM,0.270,-,-,-,0.611,0.925,0.581,-,-,0.892,1.184,2.289,0.662,1.165,1.080,1.934,,
,TimesFM(τ=0.5),0.271,0.571,0.644,0.605,0.640,0.953,0.581,-,-,0.892,1.184,2.289,0.694,1.198,1.082,1.936,,
,Autoformer,0.328,-,-,-,0.718,1.093,0.634,-,-,1.007,1.352,2.876,0.697,1.313,1.283,3.383,,
,Autoformer(τ=0.5),0.331,0.506,0.564,0.534,0.782,1.146,0.634,-,-,1.007,1.352,2.876,0.756,1.345,1.294,3.387,,
,MOMENT,0.459,-,-,-,0.895,2.210,0.350,-,-,1.070,2.026,7.578,0.945,1.034,2.560,8.888,,
,MOMENT(τ=0.5),0.461,0.365,0.049,0.086,0.911,2.220,0.350,-,-,1.070,2.026,7.578,0.954,1.042,2.570,8.893,,
,DLinear,0.368,-,-,-,0.828,1.480,0.628,-,-,1.105,1.584,4.525,0.804,1.236,1.582,5.932,,
,DLinear(τ=0.5),0.372,0.467,0.554,0.507,0.903,1.528,0.628,-,-,1.105,1.584,4.525,0.871,1.287,1.589,5.932,,
,LSTM,0.361,-,-,-,0.804,1.423,0.589,-,-,1.070,1.581,4.346,0.786,1.133,1.515,5.664,,
,LSTM(τ=0.5),0.359,0.492,0.596,0.539,0.890,1.478,0.589,-,-,1.070,1.581,4.346,0.864,1.224,1.515,5.664,,
,TCN,0.355,-,-,-,0.787,1.416,0.590,-,-,1.050,1.547,4.337,0.780,1.128,1.501,5.711,,
,TCN(τ=0.5),0.352,0.502,0.597,0.545,0.871,1.468,0.590,-,-,1.050,1.547,4.337,0.853,1.194,1.502,5.711,,
,WaveNet-like,0.348,-,-,-,0.771,1.362,0.573,-,-,1.027,1.503,4.153,0.761,1.173,1.442,5.488,,
,WaveNet-like(τ=0.5),0.347,0.505,0.598,0.547,0.857,1.419,0.573,-,-,1.027,1.503,4.153,0.840,1.251,1.442,5.488,,
,Moirai,0.286,-,-,-,0.632,0.942,0.566,-,-,0.893,1.202,2.404,0.659,1.191,1.129,1.977,,
,Moirai(τ=0.5),0.285,0.570,0.601,0.585,0.666,0.975,0.566,-,-,0.893,1.202,2.404,0.695,1.213,1.132,1.977,,
,DeepAR,0.296,-,-,-,0.683,0.991,0.543,-,-,0.938,1.309,2.619,0.645,1.127,1.185,2.054,,
,DeepAR(τ=0.5),0.299,0.562,0.620,0.590,0.738,1.037,0.543,-,-,0.938,1.309,2.619,0.698,1.147,1.191,2.055,,
,TweedieGP,0.326,-,-,-,0.859,1.235,0.809,-,-,1.083,1.415,3.135,0.840,1.239,1.275,3.416,,
,TweedieGP(τ=0.5),0.326,0.484,0.812,0.607,0.859,1.235,0.809,-,-,1.083,1.415,3.135,0.841,1.240,1.275,3.416,,
,HurdleDLinear,0.475,-,-,-,1.277,2.080,0.841,-,-,1.625,2.402,6.317,0.938,1.350,2.421,6.771,,
,HurdleDLinear(τ=0.5),0.477,0.360,0.782,0.493,1.315,2.097,0.841,-,-,1.625,2.402,6.317,0.968,1.369,2.423,6.772,,
,Croston,0.301,-,-,-,0.641,0.932,0.531,-,-,0.899,1.174,2.427,0.638,1.190,1.102,2.341,,
,Croston(τ=0.5),0.296,0.539,0.638,0.584,0.727,1.010,0.531,-,-,0.899,1.174,2.427,0.723,1.242,1.103,2.341,,
,SBA,0.307,-,-,-,0.672,0.985,0.533,-,-,0.921,1.222,2.650,0.647,1.181,1.149,2.562,,
,SBA(τ=0.5),0.303,0.532,0.673,0.594,0.764,1.064,0.533,-,-,0.921,1.222,2.650,0.738,1.232,1.151,2.562,,
,TSB,0.289,-,-,-,0.617,0.914,0.508,-,-,0.860,1.154,2.427,0.612,1.100,1.101,2.308,,
,TSB(τ=0.5),0.285,0.579,0.614,0.596,0.687,0.978,0.508,-,-,0.860,1.154,2.427,0.683,1.157,1.104,2.308,,
,Chronos,0.275,-,-,-,0.623,1.006,0.637,-,-,0.950,1.287,2.497,0.719,1.191,1.174,2.095,,
,Chronos(τ=0.5),0.276,0.550,0.635,0.590,0.632,1.014,0.637,-,-,0.950,1.287,2.497,0.726,1.201,1.176,2.097,,
,FEDformer,0.326,-,-,-,0.713,1.082,0.633,-,-,1.015,1.347,2.820,0.696,1.267,1.268,3.339,,
,FEDformer(τ=0.5),0.329,0.509,0.567,0.537,0.778,1.136,0.633,-,-,1.015,1.347,2.820,0.756,1.302,1.279,3.342,,
,DeepAR(negbin),0.301,-,-,-,0.773,1.128,0.752,-,-,1.049,1.371,2.752,0.765,1.203,1.259,2.287,,
,DeepAR(negbin)(τ=0.5),0.301,0.499,0.778,0.608,0.773,1.128,0.752,-,-,1.049,1.371,2.752,0.765,1.203,1.259,2.287,,
